Zeit [s];r [rad];d;y2Systune [rad];y2Genetic [rad];y2DifferentialEvol [rad]
;-;-;-;-;-
0;4;1;1;1;1
0;ebbd34;e0162e;3189f5;2cf533;cc2cf5
0;0;0;0;0;4.150043895
0.01;0;0;0;0;4.150043895
0.02;0;0;0;0;4.150043895
0.03;0;0;0;0;4.150043895
0.04;0;0;0;0;4.150043895
0.05;0;0;0;0;4.153185488
0.06;0;0;0;0;4.153185488
0.07;0;0;0;0;4.153185488
0.08;0;0;0;0;4.153185488
0.09;0;0;0;0;4.153185488
0.1;0;0;0;0;4.153185488
0.11;0;0;0;0;4.153185488
0.12;0;0;0;0;4.153185488
0.13;0;0;0;0;4.153185488
0.14;0;0;0;0;4.153185488
0.15;0;0;0;0;4.153185488
0.16;0;0;0;0;4.150043895
0.17;0;0;0;0;4.150043895
0.18;0;0;0;0;4.150043895
0.19;0;0;0;0;4.150043895
0.2;0;0;0;0;4.14376071
0.21;0;0;0;0;4.14376071
0.22;0;0;0;0;4.134335932
0.23;0;0;0;0;4.121769562
0.24;0;0;0;0;4.121769562
0.25;0;0;0;0;4.09663682
0.26;0;0;0;0;4.068362486
0.27;0;0;0;0;4.068362486
0.28;0;0;0;0;4.030663375
0.29;0;0;0;0;3.980397892
0.3;0;0;0;0;3.980397892
0.31;0;0;0;0;3.923849224
0.32;0;0;0;0;3.854734186
0.33;0;0;0;0;3.854734186
0.34;0;0;0;0;3.751061628
0.35;0;0;0;0;3.751061628
0.36;0;0;0;0;3.678804997
0.37;0;0;0;0;3.58769881
0.38;0;0;0;0;3.58769881
0.39;0;0;0;0;3.48088466
0.4;0;0;0;0;3.380353695
0.41;0;0;0;0;3.380353695
0.42;0;0;0;0;3.273539545
0.43;0;0;0;0;3.179291765
0.44;0;0;0;0;3.179291765
0.45;0;0;0;0;3.069336023
0.46;0;0;0;0;2.984513021
0.47;0;0;0;0;2.984513021
0.48;0;0;0;0;2.874557278
0.49;0;0;0;0;2.789734276
0.5;31.415927;0;0;0;2.789734276
0.51;31.415927;0;0;0;2.692344904
0.52;31.415927;0;0;0;2.692344904
0.53;31.415927;0;0;0;2.607521902
0.54;31.415927;0;0;0;2.522698901
0.55;31.415927;0;0;0;2.522698901
0.56;31.415927;0;0.003141593;0;2.441017492
0.57;31.415927;0;0.006283185;0;2.368760861
0.58;31.415927;0;0.006283185;0.006283185;2.368760861
0.59;31.415927;0;0.018849556;0.012566371;2.293362637
0.6;31.415927;0;0.031415927;0.012566371;2.233672377
0.61;31.415927;0;0.031415927;0.028274334;2.233672377
0.62;31.415927;0;0.056548668;0.050265482;2.180265302
0.63;31.415927;0;0.056548668;0.050265482;2.180265302
0.64;31.415927;0;0.09424778;0.084823002;2.136283004
0.65;31.415927;0;0.138230077;0.084823002;2.136283004
0.66;31.415927;0;0.138230077;0.131946891;2.0954423
0.67;31.415927;0;0.197920337;0.194778745;2.079734337
0.68;31.415927;0;0.197920337;0.194778745;2.070309559
0.69;31.415927;0;0.26075219;0.270176968;2.070309559
0.7;31.415927;0;0.358141563;0.351858377;2.073451151
0.71;31.415927;0;0.358141563;0.351858377;2.089159115
0.72;31.415927;0;0.455530935;0.468097305;2.089159115
0.73;31.415927;0;0.549778714;0.468097305;2.117433449
0.74;31.415927;0;0.549778714;0.562345085;2.117433449
0.75;31.415927;0;0.678584013;0.697433569;2.15513256
0.76;31.415927;0;0.779114978;0.697433569;2.20225645
0.77;31.415927;0;0.779114978;0.829380461;2.20225645
0.78;31.415927;0;0.914203462;0.955044167;2.258805118
0.79;31.415927;0;1.024159205;0.955044167;2.315353786
0.8;31.415927;0;1.024159205;1.108982207;2.315353786
0.81;31.415927;0;1.174955652;1.228362728;2.384468824
0.82;31.415927;0;1.281769803;1.228362728;2.447300677
0.83;31.415927;0;1.281769803;1.388583953;2.447300677
0.84;31.415927;0;1.435707843;1.529955622;2.522698901
0.85;31.415927;0;1.435707843;1.529955622;2.522698901
0.86;31.415927;0;1.561371549;1.702743218;2.598097125
0.87;31.415927;0;1.690176848;1.702743218;2.66407057
0.88;31.415927;0;1.690176848;1.825265332;2.66407057
0.89;31.415927;0;1.837831702;1.982344964;2.748893572
0.9;31.415927;0;1.950929038;1.982344964;2.824291796
0.91;31.415927;0;1.950929038;2.120575041;2.824291796
0.92;31.415927;0;2.104867078;2.293362637;2.918539575
0.93;31.415927;0;2.230530784;2.293362637;3.000220984
0.94;31.415927;0;2.230530784;2.441017492;3.000220984
0.95;31.415927;0;2.406459973;2.629513051;3.103893542
0.96;31.415927;0;2.541548457;2.629513051;3.198141321
0.97;31.415927;0;2.541548457;2.827433388;3.198141321
0.98;31.415927;0;2.739468794;3.000220984;3.32694662
0.99;31.415927;0;2.739468794;3.000220984;3.440043956
1;31.415927;0;2.890265241;3.235840433;3.440043956
1.01;31.415927;0;3.094468764;3.235840433;3.590840403
1.02;31.415927;0;3.094468764;3.411769622;3.590840403
1.03;31.415927;0;3.270397952;3.641105886;3.74163685
1.04;31.415927;0;3.493451031;3.641105886;3.88300852
1.05;31.415927;0;3.493451031;3.851592593;3.88300852
1.06;31.415927;0;3.691371368;4.131194339;4.065220894
1.07;31.415927;0;3.89557489;4.131194339;4.209734156
1.08;31.415927;0;3.89557489;4.385663344;4.209734156
1.09;31.415927;0;4.137477525;4.596150052;4.395088122
1.1;31.415927;0;4.325973084;4.596150052;4.574158904
1.11;31.415927;0;4.325973084;4.894601354;4.574158904
1.12;31.415927;0;4.564734126;5.127079211;4.768937648
1.13;31.415927;0;4.564734126;5.127079211;4.954291615
1.14;31.415927;0;4.772079241;5.416105735;4.954291615
1.15;31.415927;0;4.9605748;5.416105735;5.167919915
1.16;31.415927;0;4.9605748;5.654866776;5.346990696
1.17;31.415927;0;5.164778323;5.925043745;5.346990696
1.18;31.415927;0;5.318716363;5.925043745;5.56376059
