Zeit [s];r [rad];u1;d;y2 [rad]
;-;-;-;-
0;4;2;1;1
0;ebbd34;8888FF;e0162e;0000AA
0;0;10;0;4.150043895
0.01;0;10;0;4.150043895
0.02;0;10;0;4.150043895
0.03;0;10;0;4.150043895
0.04;0;10;0;4.150043895
0.05;0;10;0;4.153185488
0.06;0;10;0;4.153185488
0.07;0;10;0;4.153185488
0.08;0;10;0;4.153185488
0.09;0;10;0;4.153185488
0.1;0;10;0;4.153185488
0.11;0;10;0;4.153185488
0.12;0;10;0;4.153185488
0.13;0;10;0;4.153185488
0.14;0;9.776886043;0;4.153185488
0.15;0;9.514461328;0;4.153185488
0.16;0;9.251968416;0;4.150043895
0.17;0;9.011920281;0;4.150043895
0.18;0;8.782159265;0;4.150043895
0.19;0;8.562244527;0;4.150043895
0.2;0;8.329125649;0;4.14376071
0.21;0;8.128388575;0;4.14376071
0.22;0;7.902311292;0;4.134335932
0.23;0;7.674252931;0;4.121769562
0.24;0;7.500751142;0;4.121769562
0.25;0;7.244170837;0;4.09663682
0.26;0;6.986324521;0;4.068362486
0.27;0;6.840290374;0;4.068362486
0.28;0;6.564743679;0;4.030663375
0.29;0;6.254327368;0;3.980397892
0.3;0;6.136346746;0;3.980397892
0.31;0;5.819765967;0;3.923849224
0.32;0;5.469363512;0;3.854734186
0.33;0;5.380285184;0;3.854734186
0.34;0;4.921654605;0;3.751061628
0.35;0;4.852140089;0;3.751061628
0.36;0;4.525377282;0;3.678804997
0.37;0;4.142008558;0;3.58769881
0.38;0;4.099747382;0;3.58769881
0.39;0;3.674613421;0;3.48088466
0.4;0;3.286300364;0;3.380353695
0.41;0;3.272894174;0;3.380353695
0.42;0;2.875378647;0;3.273539545
0.43;0;2.536128933;0;3.179291765
0.44;0;2.547291902;0;3.179291765
0.45;0;2.161978412;0;3.069336023
0.46;0;1.879546344;0;2.984513021
0.47;0;1.911504659;0;2.984513021
0.48;0;1.54609535;0;2.874557278
0.49;0;1.282714487;0;2.789734276
0.5;31.415927;-10;0;2.789734276
0.51;31.415927;-10;0;2.692344904
0.52;31.415927;-10;0;2.692344904
0.53;31.415927;-10;0;2.607521902
0.54;31.415927;-10;0;2.522698901
0.55;31.415927;-10;0;2.522698901
0.56;31.415927;-10;0;2.441017492
0.57;31.415927;-10;0;2.368760861
0.58;31.415927;-10;0;2.368760861
0.59;31.415927;-10;0;2.293362637
0.6;31.415927;-10;0;2.233672377
0.61;31.415927;-10;0;2.233672377
0.62;31.415927;-10;0;2.180265302
0.63;31.415927;-10;0;2.180265302
0.64;31.415927;-10;0;2.136283004
0.65;31.415927;-10;0;2.136283004
0.66;31.415927;-10;0;2.0954423
0.67;31.415927;-10;0;2.079734337
0.68;31.415927;-10;0;2.070309559
0.69;31.415927;-10;0;2.070309559
0.7;31.415927;-10;0;2.073451151
0.71;31.415927;-10;0;2.089159115
0.72;31.415927;-10;0;2.089159115
0.73;31.415927;-10;0;2.117433449
0.74;31.415927;-10;0;2.117433449
0.75;31.415927;-10;0;2.15513256
0.76;31.415927;-10;0;2.20225645
0.77;31.415927;-10;0;2.20225645
0.78;31.415927;-10;0;2.258805118
0.79;31.415927;-10;0;2.315353786
0.8;31.415927;-10;0;2.315353786
0.81;31.415927;-10;0;2.384468824
0.82;31.415927;-10;0;2.447300677
0.83;31.415927;-10;0;2.447300677
0.84;31.415927;-10;0;2.522698901
0.85;31.415927;-10;0;2.522698901
0.86;31.415927;-10;0;2.598097125
0.87;31.415927;-10;0;2.66407057
0.88;31.415927;-10;0;2.66407057
0.89;31.415927;-10;0;2.748893572
0.9;31.415927;-10;0;2.824291796
0.91;31.415927;-10;0;2.824291796
0.92;31.415927;-10;0;2.918539575
