Zeit [s];r [rad];u1;d;y2 [rad]
;-;-;-;-
0;4;2;1;1
0;ebbd34;8888FF;e0162e;0000AA
0;0;0;0;0
0.01;0;0;0;0
0.02;0;0;0;0
0.03;0;0;0;0
0.04;0;0;0;0
0.05;0;0;0;0
0.06;0;0;0;0
0.07;0;0;0;0
0.08;0;0;0;0
0.09;0;0;0;0
0.1;0;0;0;0
0.11;0;0;0;0
0.12;0;0;0;0
0.13;0;0;0;0
0.14;0;0;0;0
0.15;0;0;0;0
0.16;0;0;0;0
0.17;0;0;0;0
0.18;0;0;0;0
0.19;0;0;0;0
0.2;0;0;0;0
0.21;0;0;0;0
0.22;0;0;0;0
0.23;0;0;0;0
0.24;0;0;0;0
0.25;0;0;0;0
0.26;0;0;0;0
0.27;0;0;0;0
0.28;0;0;0;0
0.29;0;0;0;0
0.3;0;0;0;0
0.31;0;0;0;0
0.32;0;0;0;0
0.33;0;0;0;0
0.34;0;0;0;0
0.35;0;0;0;0
0.36;0;0;0;0
0.37;0;0;0;0
0.38;0;0;0;0
0.39;0;0;0;0
0.4;0;0;0;0
0.41;0;0;0;0
0.42;0;0;0;0
0.43;0;0;0;0
0.44;0;0;0;0
0.45;0;0;0;0
0.46;0;0;0;0
0.47;0;0;0;0
0.48;0;0;0;0
0.49;0;0;0;0
0.5;31.415927;-10;0;0
0.51;31.415927;-10;0;0
0.52;31.415927;-10;0;0
0.53;31.415927;-10;0;0
0.54;31.415927;-10;0;0
0.55;31.415927;-10;0;0
0.56;31.415927;-10;0;0
0.57;31.415927;-10;0;0
0.58;31.415927;-10;0;0.006283185
0.59;31.415927;-10;0;0.012566371
0.6;31.415927;-10;0;0.012566371
0.61;31.415927;-10;0;0.028274334
0.62;31.415927;-10;0;0.050265482
0.63;31.415927;-10;0;0.050265482
0.64;31.415927;-10;0;0.084823002
0.65;31.415927;-10;0;0.084823002
0.66;31.415927;-10;0;0.131946891
0.67;31.415927;-10;0;0.194778745
0.68;31.415927;-10;0;0.194778745
0.69;31.415927;-10;0;0.270176968
0.7;31.415927;-10;0;0.351858377
0.71;31.415927;-10;0;0.351858377
0.72;31.415927;-10;0;0.468097305
0.73;31.415927;-10;0;0.468097305
0.74;31.415927;-10;0;0.562345085
0.75;31.415927;-10;0;0.697433569
0.76;31.415927;-10;0;0.697433569
0.77;31.415927;-10;0;0.829380461
0.78;31.415927;-10;0;0.955044167
0.79;31.415927;-10;0;0.955044167
0.8;31.415927;-10;0;1.108982207
0.81;31.415927;-10;0;1.228362728
0.82;31.415927;-10;0;1.228362728
0.83;31.415927;-10;0;1.388583953
0.84;31.415927;-10;0;1.529955622
0.85;31.415927;-10;0;1.529955622
0.86;31.415927;-10;0;1.702743218
0.87;31.415927;-10;0;1.702743218
0.88;31.415927;-10;0;1.825265332
0.89;31.415927;-10;0;1.982344964
0.9;31.415927;-10;0;1.982344964
0.91;31.415927;-10;0;2.120575041
0.92;31.415927;-10;0;2.293362637
0.93;31.415927;-10;0;2.293362637
0.94;31.415927;-10;0;2.441017492
0.95;31.415927;-10;0;2.629513051
0.96;31.415927;-10;0;2.629513051
0.97;31.415927;-10;0;2.827433388
0.98;31.415927;-10;0;3.000220984
0.99;31.415927;-10;0;3.000220984
1;31.415927;-10;0;3.235840433
1.01;31.415927;-10;0;3.235840433
1.02;31.415927;-10;0;3.411769622
1.03;31.415927;-10;0;3.641105886
1.04;31.415927;-10;0;3.641105886
1.05;31.415927;-10;0;3.851592593
1.06;31.415927;-10;0;4.131194339
1.07;31.415927;-10;0;4.131194339
1.08;31.415927;-10;0;4.385663344
1.09;31.415927;-10;0;4.596150052
1.1;31.415927;-10;0;4.596150052
1.11;31.415927;-10;0;4.894601354
