Zeit [s];y_1Modell;y_1Ref;y_2Modell;y_2Ref
Winkel [rad];-;--;-;--
0;1;1;1;1
0;008fcf;008fcf;00e47d;00e47d
0;0;1.14E-13;0;5.68E-14
0.01;0;1.14E-13;0;5.68E-14
0.02;0;1.14E-13;0;5.68E-14
0.03;0;1.14E-13;0;5.68E-14
0.04;0;1.14E-13;0;5.68E-14
0.05;0;1.14E-13;0;5.68E-14
0.06;0;1.14E-13;0;5.68E-14
0.07;0;1.14E-13;0;5.68E-14
0.08;0;1.14E-13;0;5.68E-14
0.09;0;1.14E-13;0;5.68E-14
0.1;0;1.14E-13;0;5.68E-14
0.11;0;1.14E-13;0;5.68E-14
0.12;0;1.14E-13;0;5.68E-14
0.13;0;1.14E-13;0;5.68E-14
0.14;0;1.14E-13;0;5.68E-14
0.15;0;1.14E-13;0;5.68E-14
0.16;0;1.14E-13;0;5.68E-14
0.17;0;1.14E-13;0;5.68E-14
0.18;0;1.14E-13;0;5.68E-14
0.19;0;1.14E-13;0;5.68E-14
0.2;0;1.14E-13;0;5.68E-14
0.21;0;1.14E-13;0;5.68E-14
0.22;0;1.14E-13;0;5.68E-14
0.23;0;1.14E-13;0;5.68E-14
0.24;0;1.14E-13;0;5.68E-14
0.25;0;1.14E-13;0;5.68E-14
0.26;0;1.14E-13;0;5.68E-14
0.27;0;1.14E-13;0;5.68E-14
0.28;0;1.14E-13;0;5.68E-14
0.29;0;1.14E-13;0;5.68E-14
0.3;0;1.14E-13;0;5.68E-14
0.31;0;1.14E-13;0;5.68E-14
0.32;0;1.14E-13;0;5.68E-14
0.33;0;1.14E-13;0;5.68E-14
0.34;0;1.14E-13;0;5.68E-14
0.35;0;1.14E-13;0;5.68E-14
0.36;0;1.14E-13;0;5.68E-14
0.37;0;1.14E-13;0;5.68E-14
0.38;0;1.14E-13;0;5.68E-14
0.39;0;1.14E-13;0;5.68E-14
0.4;0;1.14E-13;0;5.68E-14
0.41;0;1.14E-13;0;5.68E-14
0.42;0;1.14E-13;0;5.68E-14
0.43;0;1.14E-13;0;5.68E-14
0.44;0;1.14E-13;0;5.68E-14
0.45;0;1.14E-13;0;5.68E-14
0.46;0;1.14E-13;0;5.68E-14
0.47;0;1.14E-13;0;5.68E-14
0.48;0;1.14E-13;0;5.68E-14
0.486127952;4.76E-05;1.14E-13;-5.80E-08;5.68E-14
0.49;0.000206663;1.14E-13;-6.65E-07;5.68E-14
0.495975904;0.000842676;1.14E-13;-6.77E-06;5.68E-14
0.5;0.001653171;1.14E-13;-2.05E-05;5.68E-14
0.51;0.005369987;0.004712389;-0.000149065;5.68E-14
0.52;0.01155357;0.009424778;-0.000584746;5.68E-14
0.53;0.020184519;0.015707963;-0.00161849;5.68E-14
0.54;0.03123532;0.021991149;-0.003598725;5.68E-14
0.55;0.044671964;0.034557519;-0.006898253;-0.001570796
0.56;0.060455696;0.04712389;-0.011885364;-0.003141593
0.57;0.078544777;0.061261057;-0.018900245;-0.004712389
0.58;0.098896143;0.075398224;-0.028237228;-0.006283185
0.59;0.121466873;0.09424778;-0.040132964;-0.009424778
0.6;0.146215405;0.113097336;-0.054760253;-0.012566371
0.61;0.173102485;0.15393804;-0.072226902;-0.026703538
0.62;0.202091807;0.194778745;-0.092578847;-0.040840704
0.63;0.23315039;0.218340689;-0.115806578;-0.053407075
0.64;0.266248686;0.241902634;-0.141853919;-0.065973446
0.65;0.301360477;0.274889357;-0.170628195;-0.091106187
0.66;0.338462597;0.30787608;-0.202010926;-0.116238928
0.67;0.377534524;0.329867229;-0.235868285;-0.138230077
0.68;0.418557895;0.351858377;-0.272060712;-0.160221225
0.69;0.461515985;0.375420322;-0.310451246;-0.185353967
0.7;0.506393185;0.398982267;-0.350912254;-0.210486708
0.71;0.553174518;0.446106157;-0.393330447;-0.271747765
0.72;0.601845212;0.493230047;-0.437610136;-0.333008821
0.73;0.652390345;0.527787566;-0.483674861;-0.378561915
0.74;0.70479458;0.562345085;-0.531467548;-0.424115008
0.75;0.759041974;0.584336234;-0.580949453;-0.453960138
0.76;0.815115885;0.606327382;-0.632098166;-0.483805269
0.77;0.872998936;0.639314105;-0.684904952;-0.529358362
0.78;0.932673055;0.672300828;-0.739371726;-0.574911456
0.79;0.994119558;0.741415866;-0.795507894;-0.656592865
0.8;1.05731927;0.810530905;-0.853327295;-0.738274274
0.81;1.122252667;0.854513202;-0.912845404;-0.785398163
0.82;1.188900025;0.898495499;-0.974076932;-0.832522053
0.83;1.257241575;0.939336203;-1.037033901;-0.874933554
0.84;1.327257636;0.980176908;-1.101724233;-0.917345055
0.85;1.398928737;1.032013187;-1.168150841;-0.966039741
0.86;1.472235717;1.083849465;-1.236311214;-1.014734427
0.87;1.547159798;1.187522023;-1.306197407;-1.105840614
0.88;1.623682631;1.291194581;-1.377796396;-1.196946801
0.89;1.701786324;1.350884841;-1.451090687;-1.250353876
0.9;1.781453441;1.410575101;-1.526059114;-1.303760951
0.91;1.862666992;1.496968899;-1.602677741;-1.382300768
0.92;1.945410401;1.583362697;-1.680920784;-1.460840584
0.93;2.029667465;1.652477736;-1.760761503;-1.520530844
0.94;2.115422314;1.721592774;-1.842173012;-1.580221105
0.95;2.20265936;1.776570646;-1.925128966;-1.635198976
0.96;2.291363253;1.831548517;-2.009604109;-1.690176848
0.97;2.381518836;1.899092759;-2.095574665;-1.756150293
0.98;2.473111111;1.966637001;-2.183018586;-1.822123739
0.99;2.565918543;2.092300707;-2.271914995;-1.952499834
1;2.658893182;2.217964413;-2.362226978;-2.082875929
1.01;2.750989883;2.29650423;-2.453848303;-2.166128135
1.02;2.841997588;2.375044046;-2.546565369;-2.24938034
1.03;2.931921174;2.453583862;-2.640073322;-2.337344934
1.04;3.02077371;2.532123679;-2.734010814;-2.425309529
1.05;3.108574848;2.598097125;-2.827992849;-2.505420141
1.06;3.195349081;2.66407057;-2.921639401;-2.585530754
1.07;3.281123993;2.722190034;-3.014598775;-2.657787385
1.08;3.365928612;2.780309498;-3.106565157;-2.730044016
1.09;3.449791955;2.846282944;-3.197290277;-2.811725425
1.1;3.532741816;2.91225639;-3.286589478;-2.893406834
1.11;3.614803835;3.028495318;-3.374342775;-3.044203281
1.12;3.696000857;3.144734246;-3.460491715;-3.194999729
1.13;3.776352563;3.218561674;-3.545032952;-3.284535119
1.14;3.855875365;3.292389101;-3.628009508;-3.37407051
1.15;3.934582506;3.348937769;-3.709500657;-3.443185548
1.16;4.012484338;3.405486436;-3.789611305;-3.512300587
1.17;4.089588729;3.463605901;-3.868461611;-3.570420051
1.18;4.165901542;3.521725365;-3.946177444;-3.628539515
1.19;4.241427152;3.647389071;-4.022882137;-3.752632425
1.2;4.316168961;3.773052777;-4.098689814;-3.876725335
1.21;4.39012988;3.845309408;-4.17370044;-3.937986391
1.22;4.463312747;3.917566039;-4.247996594;-3.999247448
