Zeit [s];y_1Modell;y_1Ref;y_2Modell;y_2Ref;a;b;c;d;e;f;g;h
Winkel [rad];-;--;-;--;-;--;-;--;-;--;-;--
0;1;1;1;1;1;1;1;1;1;1;1;1
0;1d56e9;1d56e9;046be1;046be1;007ed8;007ed8;008fcf;008fcf;009ec5;009ec5;00adba;00adba
0;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;-0.002587194
0.01;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;-0.001016398
0.02;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;0.000554399
0.03;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;0.000554399
0.04;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;0.000554399
0.05;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;-0.001016398
0.06;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;-0.002587194
0.07;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;-0.002587194
0.08;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;-0.002587194
0.09;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;-0.001016398
0.1;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;0.000554399
0.11;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;0.000554399
0.12;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;0.000554399
0.13;0;-5.68E-14;0;2.84E-14;0;-5.68E-14;0;1.14E-13;0;8.53E-14;0;0.000554399
