Zeit [s];i;j;k;l;m;n;o;p;w;ds;e;g
Winkel [rad];-;--;-;--;-;--;-;--;-;--;-;--
0;1;1;1;1;1;1;1;1;1;1;1;1
0;00bbae;00bbae;00c9a0;00cab8;00d791;00d791;00e47d;00e47d;00f165;00f165;1bfe3f;1bfe3f
0;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.01;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.02;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.03;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.04;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.05;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.06;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.07;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.08;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.09;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.1;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.11;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.12;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.13;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.14;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.15;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
0.16;0;0;0;-5.68E-14;0;0;0;5.68E-14;0;-2.84E-14;0;2.84E-14
