Zeit [s];r [rad];u1;d;y2 [rad]
;-;-;-;-
0;4;2;1;1
0;ebbd34;8888FF;e0162e;0000AA
0;0;0;0;0
0.01;0;0;0;0
0.02;0;0;0;0
0.03;0;0;0;0
0.04;0;0;0;0
0.05;0;0;0;0
0.06;0;0;0;0
0.07;0;0;0;0
0.08;0;0;0;0
0.09;0;0;0;0
0.1;0;0;0;0
0.11;0;0;0;0
0.12;0;0;0;0
0.13;0;0;0;0
0.14;0;0;0;0
0.15;0;0;0;0
0.16;0;0;0;0
0.17;0;0;0;0
0.18;0;0;0;0
0.19;0;0;0;0
0.2;0;0;0;0
0.21;0;0;0;0
0.22;0;0;0;0
0.23;0;0;0;0
0.24;0;0;0;0
0.25;0;0;0;0
0.26;0;0;0;0
0.27;0;0;0;0
0.28;0;0;0;0
0.29;0;0;0;0
0.3;0;0;0;0
0.31;0;0;0;0
0.32;0;0;0;0
0.33;0;0;0;0
0.34;0;0;0;0
0.35;0;0;0;0
0.36;0;0;0;0
0.37;0;0;0;0
0.38;0;0;0;0
0.39;0;0;0;0
0.4;0;0;0;0
0.41;0;0;0;0
0.42;0;0;0;0
0.43;0;0;0;0
0.44;0;0;0;0
0.45;0;0;0;0
0.46;0;0;0;0
0.47;0;0;0;0
0.48;0;0;0;0
0.49;0;0;0;0
0.5;31.415927;-10;0;0
0.51;31.415927;-10;0;0
0.52;31.415927;-10;0;0
0.53;31.415927;-10;0;0
0.54;31.415927;-10;0;0
0.55;31.415927;-10;0;0
0.56;31.415927;-10;0;0.003141593
0.57;31.415927;-10;0;0.006283185
0.58;31.415927;-10;0;0.006283185
0.59;31.415927;-10;0;0.018849556
0.6;31.415927;-10;0;0.031415927
0.61;31.415927;-10;0;0.031415927
0.62;31.415927;-10;0;0.056548668
0.63;31.415927;-10;0;0.056548668
0.64;31.415927;-10;0;0.09424778
0.65;31.415927;-10;0;0.138230077
0.66;31.415927;-10;0;0.138230077
0.67;31.415927;-10;0;0.197920337
0.68;31.415927;-10;0;0.197920337
0.69;31.415927;-10;0;0.26075219
0.7;31.415927;-10;0;0.358141563
0.71;31.415927;-10;0;0.358141563
0.72;31.415927;-10;0;0.455530935
0.73;31.415927;-10;0;0.549778714
0.74;31.415927;-10;0;0.549778714
0.75;31.415927;-10;0;0.678584013
0.76;31.415927;-10;0;0.779114978
0.77;31.415927;-10;0;0.779114978
0.78;31.415927;-10;0;0.914203462
0.79;31.415927;-10;0;1.024159205
0.8;31.415927;-10;0;1.024159205
0.81;31.415927;-10;0;1.174955652
0.82;31.415927;-10;0;1.281769803
0.83;31.415927;-10;0;1.281769803
0.84;31.415927;-9.880595573;0;1.435707843
0.85;31.415927;-10;0;1.435707843
0.86;31.415927;-9.250409174;0;1.561371549
0.87;31.415927;-8.396732083;0;1.690176848
0.88;31.415927;-8.871869038;0;1.690176848
0.89;31.415927;-7.878880766;0;1.837831702
0.9;31.415927;-7.331762937;0;1.950929038
0.91;31.415927;-7.9261944;0;1.950929038
0.92;31.415927;-6.977687889;0;2.104867078
0.93;31.415927;-6.409235095;0;2.230530784
0.94;31.415927;-7.104256398;0;2.230530784
0.95;31.415927;-6.033968278;0;2.406459973
0.96;31.415927;-5.477686514;0;2.541548457
0.97;31.415927;-6.27281376;0;2.541548457
0.98;31.415927;-5.080320399;0;2.739468794
0.99;31.415927;-5.914810815;0;2.739468794
1;31.415927;-5.206442957;0;2.890265241
1.01;31.415927;-4.068962707;0;3.094468764
1.02;31.415927;-5.011248499;0;3.094468764
1.03;31.415927;-4.157429507;0;3.270397952
1.04;31.415927;-2.951282621;0;3.493451031
1.05;31.415927;-4.012355298;0;3.493451031
1.06;31.415927;-3.052685404;0;3.691371368
