Epoche;Durchschnitt
Fehler;-
0;1
0;5F089C
0;35829.584254
1;34637.440554
2;32727.158694
3;30350.373244
4;27564.780934
5;24851.592171
6;22404.338501
7;20200.179543
8;18213.298658
9;16424.137056
10;14812.672264
11;13361.469066
12;12054.472745
13;10877.318775
14;9817.306409
15;8862.956760
16;8002.565326
17;7227.376758
18;6528.109877
19;5895.546463
20;5325.359202
21;4810.997307
22;4347.086274
23;3928.243671
24;3550.092391
25;3209.538463
26;2902.800754
27;2626.437064
28;2377.586866
29;2153.462129
30;1951.656385
31;1769.872475
32;1606.200181
33;1458.775913
34;1325.962959
35;1206.386293
36;1098.739290
37;1001.757985
38;914.417638
39;835.716970
40;764.744508
41;700.772870
42;643.158922
43;591.247673
44;544.426513
45;502.262030
46;464.292415
47;430.058437
48;399.176166
49;371.296903
50;346.198158
51;323.547650
52;303.104542
53;284.638371
54;267.895891
55;252.793515
56;239.085789
57;226.705757
58;215.498676
59;205.370941
60;196.219734
61;187.929928
62;180.424264
63;173.634774
64;167.512821
65;161.992325
66;157.021837
67;152.502979
68;148.422211
69;144.700380
70;141.348135
71;138.328386
72;135.604298
73;133.145805
74;130.928174
75;128.927378
76;127.111279
77;125.464811
78;123.973895
79;122.619876
80;121.370644
81;120.229567
82;119.189478
83;118.232610
84;117.339098
85;116.525368
86;115.784251
87;115.108273
88;114.498497
89;113.940112
90;113.429391
91;112.969058
92;112.554757
93;112.177832
94;111.821921
95;111.500004
96;111.210279
97;110.943952
98;110.703898
99;110.484177
100;110.280840
101;110.076104
102;109.891841
103;109.726004
104;109.575265
105;109.424370
106;109.285640
107;109.155601
108;109.038567
109;108.932547
110;108.821809
111;108.715063
112;108.595668
113;108.488212
114;108.384627
115;108.284230
116;108.187683
117;108.100790
118;107.989693
119;107.872680
120;107.699436
121;107.512941
122;107.312625
123;107.085546
124;106.830715
125;106.545723
126;106.173251
127;105.769002
128;105.345974
129;104.910561
130;104.478309
131;104.063628
132;103.672318
133;103.311037
134;102.979401
135;102.670333
136;102.382329
137;102.120095
138;101.881160
139;101.646463
140;101.433321
141;101.239308
142;101.061794
143;100.887463
144;100.729155
145;100.571289
146;100.428758
147;100.300094
148;100.182560
149;100.076779
150;99.959966
151;99.854112
152;99.758637
153;99.672569
154;99.595108
155;99.525393
156;99.462650
157;99.405163
158;99.353425
159;99.306861
160;99.264953
161;99.227236
162;99.193290
163;99.162603
164;99.134984
165;99.109858
166;99.087244
167;99.066892
168;99.048575
169;99.032090
170;99.017253
171;99.003900
172;98.991883
173;98.981067
174;98.971332
175;98.961591
176;98.952666
177;98.944634
178;98.937405
179;98.930899
180;98.925044
181;98.919774
182;98.915031
183;98.910763
184;98.904453
185;98.898773
186;98.893662
187;98.889062
188;98.884921
189;98.880193
190;98.875938
191;98.869887
192;98.864442
