Epoche;Durchschnitt
Fehler;-
0;1
0;"2A84FF"
0;47344.807774
1;45096.052497
2;42395.687553
3;39553.077386
4;36338.907156
5;33004.106509
6;29876.348508
7;26989.633782
8;24386.368357
9;22023.744436
10;19889.746970
11;17966.684863
12;16227.245209
13;14648.784700
14;13226.083701
15;11945.998125
16;10791.911759
17;9751.889107
18;8815.789009
19;7972.362138
20;7212.824030
21;6528.677347
22;5912.090469
23;5356.272605
24;4855.296174
25;4404.140318
26;3997.421688
27;3631.328187
28;3301.246031
29;3003.757895
30;2735.808631
31;2494.375496
32;2276.696916
33;2080.073351
34;1902.362097
35;1742.353122
36;1597.616939
37;1467.129228
38;1349.252352
39;1242.660883
40;1146.324071
41;1059.339501
42;980.777268
43;909.965916
44;846.043688
45;788.390943
46;736.383126
47;689.355133
48;646.922097
49;608.294783
50;572.967552
51;540.872895
52;511.268615
53;484.247960
54;459.663834
55;437.402921
56;417.230350
57;398.949686
58;382.178860
59;366.304240
60;351.792440
61;338.610442
62;326.538567
63;315.211314
64;304.482600
65;294.183470
66;284.756877
67;276.225872
68;268.536609
69;261.537443
70;255.037543
71;248.939720
72;243.134099
73;237.440725
74;232.153422
75;226.874899
76;221.881570
77;217.118965
78;212.743964
79;208.733310
80;205.043770
81;201.719916
82;198.554896
83;195.570637
84;192.692443
85;190.008877
86;187.463469
87;185.034260
88;182.678031
89;180.337374
90;177.952547
91;175.559706
92;173.257943
93;171.055729
94;168.848905
95;166.755993
96;164.831095
97;162.952315
98;161.165997
99;159.518309
100;157.893637
101;358570.680748
102;632603.460475
103;857743.450465
104;1042948.280260
105;1162477.745595
106;1255351.242387
107;1322123.307614
108;1348499.237443
109;1345705.126063
110;1285123.997033
111;1183331.374310
112;1079541.739704
113;987279.560847
114;904677.112066
115;828706.323577
116;759743.589281
117;696317.471394
118;640712.194073
119;588418.158086
120;541322.923595
121;500958.357111
122;464196.849904
123;428149.750123
124;395029.844195
125;365992.859609
126;340209.248765
127;316556.836965
128;295157.224460
129;273137.522328
130;252848.485338
131;233252.034741
132;213891.721856
133;196139.810894
134;181592.549877
135;166314.223587
136;152988.140694
137;141444.160700
138;131818.894607
139;121686.361545
140;116077.969306
141;106899.676623
142;97729.549095
143;88715.976395
144;82776.551252
145;75700.447997
146;68810.140669
147;63904.358818
148;59417.088607
149;58703.253180
150;54604.847949
151;52188.238963
152;49407.922909
153;45370.060565
154;44824.022375
155;43427.873459
156;40856.407481
157;37587.844593
158;37124.535207
159;34929.052300
160;34690.481222
161;33500.573057
162;34480.451625
163;32266.336211
164;34622.349721
165;32896.444091
166;32585.219009
167;30514.988339
168;31166.817078
169;30417.232452
170;29824.913335
171;29243.876001
172;31250.053492
173;31080.232660
174;29188.522158
175;26714.317514
176;29077.478102
177;27288.726357
178;26619.639012
