Zeit [s];y
;-
0;1
0;"1EA7FF"
0.010000;0.000001
0.030000;0.000015
0.050000;0.000075
0.070000;0.000210
0.090000;0.000388
0.110000;0.000511
0.130000;0.000457
0.150000;0.000157
0.170000;-0.000343
0.190000;-0.000926
0.210000;-0.001445
0.230000;-0.001741
0.250000;-0.001698
0.270000;-0.001246
0.290000;-0.000420
0.310000;0.000635
0.330000;0.001742
0.350000;0.002768
0.370000;0.003670
0.390000;0.004480
0.410000;0.005301
0.430000;0.006264
0.450000;0.007464
0.470000;0.008869
0.490000;0.010329
0.510000;0.011701
0.530000;0.013450
0.550000;0.018409
0.570000;0.031791
0.590000;0.059128
0.610000;0.104309
0.630000;0.168538
0.650000;0.250400
0.670000;0.346791
0.690000;0.454245
0.710000;0.570130
0.730000;0.693334
0.750000;0.824312
0.770000;0.964597
0.790000;1.116037
0.810000;1.280076
0.830000;1.457309
0.850000;1.647399
0.870000;1.849337
0.890000;2.061869
0.910000;2.283929
0.930000;2.514925
0.950000;2.754815
0.970000;3.003980
0.990000;3.262980
1.010000;3.532296
1.030000;3.812150
1.050000;4.102446
1.070000;4.402828
1.090000;4.712814
1.110000;5.031955
1.130000;5.359942
1.150000;5.696653
1.170000;6.042127
1.190000;6.396489
1.210000;6.759859
1.230000;7.132283
1.250000;7.513699
1.270000;7.903950
1.290000;8.302824
1.310000;8.710107
1.330000;9.125625
1.350000;9.549266
1.370000;9.980977
1.390000;10.420744
1.410000;10.868548
1.430000;11.324259
1.450000;11.787448
1.470000;12.257249
1.490000;12.732376
1.510000;13.211287
1.530000;13.692395
1.550000;14.174278
1.570000;14.655830
1.590000;15.136263
1.610000;15.614951
1.630000;16.091281
1.650000;16.564589
1.670000;17.034133
1.690000;17.499124
1.710000;17.958763
1.730000;18.412317
1.750000;18.859152
1.770000;19.298728
1.790000;19.730604
1.810000;20.154363
1.830000;20.569599
1.850000;20.975940
1.870000;21.373005
1.890000;21.760431
1.910000;22.137984
1.930000;22.505542
1.950000;22.863005
1.970000;23.210285
1.990000;23.547265
2.010000;23.873835
2.030000;24.189931
2.050000;24.495513
2.070000;24.790608
2.090000;25.075282
2.110000;25.349555
2.130000;25.613447
2.150000;25.867024
2.170000;26.110374
2.190000;26.343602
2.210000;26.566875
2.230000;26.780450
2.250000;26.984614
2.270000;27.179637
2.290000;27.365774
2.310000;27.543226
2.330000;27.712174
2.350000;27.872786
2.370000;28.025228
2.390000;28.169694
2.410000;28.306420
2.430000;28.435668
2.450000;28.557668
2.470000;28.672610
2.490000;28.780715
2.510000;28.882290
2.530000;28.977728
2.550000;29.067439
2.570000;29.151770
2.590000;29.230941
2.610000;29.305086
2.630000;29.374384
2.650000;29.439101
2.670000;29.499586
2.690000;29.556227
2.710000;29.609364
2.730000;29.659192
2.750000;29.705776
2.770000;29.749098
2.790000;29.789151
