Epoche;Durchschnitt
Fehler;-
0;1
0;"2A84FF"
0;33450.065706
1;32725.742474
2;30563.293575
3;28037.626826
4;25514.911283
5;23010.361938
6;20740.798644
7;18695.560790
8;16852.741010
9;15191.754748
10;13694.814532
11;12346.443691
12;11131.111170
13;10036.108924
14;9048.852271
15;8159.013705
16;7357.711209
17;6636.231719
18;5986.682865
19;5401.715506
20;4874.999514
21;4400.737439
22;3973.822927
23;3589.452179
24;3243.432480
25;2931.921005
26;2651.391555
27;2398.822662
28;2171.482872
29;1966.818184
30;1782.515863
31;1616.598623
32;1467.198318
33;1332.686772
34;1211.564603
35;1102.499351
36;1004.255636
37;915.763573
38;836.058452
39;764.252417
40;699.521204
41;641.231452
42;588.660337
43;541.321274
44;498.594345
45;460.109687
46;425.438965
47;394.171072
48;365.981030
49;340.577177
50;317.692683
51;297.079900
52;278.505368
53;261.753557
54;246.663333
55;233.048752
56;220.771987
57;209.701895
58;199.725286
59;190.717330
60;182.606698
61;175.286298
62;168.676757
63;162.722734
64;157.360382
65;152.526737
66;148.176311
67;144.255155
68;140.724388
69;137.545707
70;134.664603
71;132.071333
72;129.736595
73;127.625414
74;125.725351
75;124.015294
76;122.473464
77;121.082381
78;119.830406
79;118.697197
80;117.677309
81;116.759409
82;115.933300
83;115.189801
84;114.520317
85;113.917227
86;113.374446
87;112.885860
88;112.445433
89;112.049049
90;111.662396
91;111.314408
92;111.001220
93;110.719350
94;110.465667
95;110.237352
96;110.031756
97;109.846719
98;109.680186
99;109.530306
100;109.395414
101;109.237462
102;109.074096
103;108.893340
104;108.729117
105;108.579188
106;108.436628
107;108.306969
108;108.145702
109;107.948160
110;107.746615
111;107.513767
112;107.187543
113;106.837067
114;106.478428
115;106.008008
116;105.531406
117;105.061725
118;104.612449
119;104.182893
120;103.795948
121;103.428833
122;103.071477
123;102.741502
124;102.435544
125;102.160182
126;101.912356
127;101.688541
128;101.486106
129;101.303137
130;101.137117
131;100.987114
132;100.840373
133;100.697179
134;100.546270
135;100.406663
136;100.281017
137;100.167936
138;100.066162
139;99.974566
140;99.883815
141;99.802138
142;99.724142
143;99.653946
144;99.590770
145;99.533615
146;99.482126
147;99.435786
148;99.392059
149;99.338441
150;99.290185
151;99.246755
152;99.206807
153;99.170853
154;99.138495
155;99.109373
156;99.083163
157;99.059574
158;99.038344
159;99.019237
160;99.002040
161;98.986563
162;98.970779
163;98.956573
164;98.943787
165;98.932280
166;98.921924
167;98.912603
168;98.904215
169;98.896665
170;98.889870
171;98.883755
172;98.878251
173;98.873298
174;98.868840
175;98.864828
176;98.861217
177;98.857967
178;98.855042
179;98.852409
180;98.850040
181;98.847908
182;98.845989
183;98.844262
184;98.842707
185;98.841308
186;98.840049
187;98.838916
188;98.837183
189;98.835623
190;98.834219
191;98.832956
