Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"2A84FF";"2A84FF";"2A84FF";"2A84FF";"2A84FF";"2A84FF"
0;-0.974242;-0.059603;0.382244;0.073092;100000000.000000;0.100000
1;-0.864895;0.052461;0.054567;0.539476;100000000.000000;0.100000
2;-0.552606;0.019700;-0.169576;0.786691;100000000.000000;0.100000
3;-0.552606;0.019700;-0.169576;0.786691;100000000.000000;0.100000
4;-0.552606;0.019700;-0.169576;0.786691;100000000.000000;0.100000
5;-1.824976;-0.233367;-1.096244;1.562563;100000000.000000;0.100000
6;-1.824976;-0.233367;-1.096244;1.562563;100000000.000000;0.100000
7;-1.824976;-0.233367;-1.096244;1.562563;100000000.000000;0.100000
8;-1.010827;0.014317;-0.604090;1.886705;100000000.000000;0.100000
9;-1.691085;-0.851828;-1.832688;1.960618;100000000.000000;0.100000
10;-1.691085;-0.851828;-1.832688;1.960618;100000000.000000;0.100000
11;-1.691085;-0.851828;-1.832688;1.960618;100000000.000000;0.100000
12;-1.691085;-0.851828;-1.832688;1.960618;100000000.000000;0.100000
13;-2.397124;-0.523080;-1.811567;2.737703;100000000.000000;0.100000
14;-1.571595;-0.021722;-1.127291;2.701721;100000000.000000;0.100000
15;-1.571595;-0.021722;-1.127291;2.701721;100000000.000000;0.100000
16;-1.571595;-0.021722;-1.127291;2.701721;100000000.000000;0.100000
17;-1.571595;-0.021722;-1.127291;2.701721;100000000.000000;0.100000
18;-1.571595;-0.021722;-1.127291;2.701721;100000000.000000;0.100000
19;-1.571595;-0.021722;-1.127291;2.701721;100000000.000000;0.100000
20;-1.571595;-0.021722;-1.127291;2.701721;100000000.000000;0.100000
21;-1.723870;-0.066401;-1.056307;3.188992;100000000.000000;0.100000
22;-1.723870;-0.066401;-1.056307;3.188992;100000000.000000;0.100000
23;-1.723870;-0.066401;-1.056307;3.188992;100000000.000000;0.100000
24;-1.723870;-0.066401;-1.056307;3.188992;100000000.000000;0.100000
25;-1.723870;-0.066401;-1.056307;3.188992;100000000.000000;0.100000
26;-1.723870;-0.066401;-1.056307;3.188992;100000000.000000;0.100000
27;-1.577757;0.003902;-0.851922;3.095770;100000000.000000;0.100000
28;-1.577757;0.003902;-0.851922;3.095770;100000000.000000;0.100000
29;-1.577757;0.003902;-0.851922;3.095770;100000000.000000;0.100000
30;-1.759544;-0.021722;-1.041113;3.218543;100000000.000000;0.100000
31;-1.759544;-0.021722;-1.041113;3.218543;100000000.000000;0.100000
32;-1.759544;-0.021722;-1.041113;3.218543;100000000.000000;0.100000
33;-1.657869;0.003902;-0.903279;3.310971;100000000.000000;0.100000
34;-1.657869;0.003902;-0.903279;3.310971;100000000.000000;0.100000
35;-1.657869;0.003902;-0.903279;3.310971;100000000.000000;0.100000
36;-1.657869;0.003902;-0.903279;3.310971;100000000.000000;0.100000
37;-1.657869;0.003902;-0.903279;3.310971;100000000.000000;0.100000
38;-1.657869;0.003902;-0.903279;3.310971;100000000.000000;0.100000
39;-1.527019;-0.001574;-0.875886;3.373977;100000000.000000;0.100000
40;-1.538372;0.002929;-0.902634;3.699022;100000000.000000;0.100000
