Epoche;Durchschnitt
Fehler;-
0;1
0;"06EDFF"
0;35778.141380
1;33748.237563
2;31216.303062
3;28897.408782
4;26593.389318
5;24170.569276
6;22015.626135
7;19970.096533
8;18035.031356
9;16357.208421
10;14769.721321
11;13383.063274
12;12110.387496
13;10945.702613
14;9889.972960
15;8934.560399
16;8072.127821
17;7296.343565
18;6595.852465
19;5963.369752
20;5393.264654
21;4879.206149
22;4415.275519
23;3995.353686
24;3617.199285
25;3275.716445
26;2967.540756
27;2690.016269
28;2439.932307
29;2214.567653
30;2011.644073
31;1828.873130
32;1664.145722
33;1515.646691
34;1381.831281
35;1261.377619
36;1152.864995
37;1054.957925
38;966.429776
39;886.447804
40;814.209289
41;748.843755
42;689.897518
43;636.429351
44;588.246895
45;544.863431
46;505.753270
47;470.414498
48;438.469004
49;409.577245
50;383.512460
51;360.040400
52;338.925589
53;319.900691
54;302.697756
55;287.175782
56;273.194443
57;260.425351
58;248.860827
59;238.379019
60;228.938501
61;220.427169
62;212.714872
63;205.755393
64;199.473795
65;193.762653
66;188.615549
67;183.949902
68;179.761242
69;175.990636
70;172.557954
71;169.403123
72;166.430990
73;163.683331
74;161.126870
75;158.770255
76;156.525478
77;154.547239
78;152.651081
79;150.924911
80;149.295296
81;147.814243
82;146.452512
83;145.121643
84;143.769603
85;142.527339
86;141.374587
87;140.357075
88;139.411389
89;138.561314
90;137.769024
91;137.010686
92;136.320542
93;135.660746
94;134.994241
95;134.392324
96;133.877222
97;133.372068
98;132.882758
99;132.410735
100;131.966442
101;32390.189925
102;59526.890540
103;82179.522941
104;100660.000567
105;116212.079821
106;126804.136909
107;135070.931680
108;139458.311639
109;141822.033397
110;142605.285437
111;141741.935006
112;139850.954924
113;136387.063609
114;133013.155422
115;129863.973062
116;126479.664488
117;123050.059321
118;120027.665967
119;117222.486424
120;114696.717492
121;112422.683569
122;109798.539727
123;102128.422736
124;94734.973987
125;86814.112176
126;78865.481496
127;71082.402213
128;64099.231830
129;57735.555227
130;52000.234998
131;46831.934925
132;42163.877047
133;37997.364348
134;34365.187980
135;31160.518173
136;28274.348487
137;25643.017694
138;23100.205548
139;20887.245056
140;18966.136341
141;17092.086297
142;15580.976019
143;14135.214252
144;12782.684176
145;11580.842705
146;10451.755922
147;9566.733111
148;8622.927411
149;7912.941426
150;7137.181005
151;6720.488647
152;6351.276614
153;5865.445400
154;5516.631024
155;5159.256835
156;4700.325721
157;4342.988565
158;4087.613807
159;3841.590891
160;3629.011995
161;3332.252421
162;3129.174138
163;2828.941189
164;2689.515586
165;2783.500114
166;2941.827379
167;2912.156074
168;2990.930006
169;2793.967541
170;2689.301181
171;2469.102565
172;2370.563646
173;2328.718777
174;2353.446097
175;2285.654957
176;2299.306540
177;2191.392315
178;2296.540744
179;2183.078229
180;2034.494222
