Zeit [s];y
;-
0;1
0;"12CAFF"
0.010000;0.000000
0.030000;0.000000
0.050000;-0.000003
0.070000;-0.000014
0.090000;-0.000021
0.110000;-0.000007
0.130000;0.000036
0.150000;0.000092
0.170000;0.000151
0.190000;0.000203
0.210000;0.000232
0.230000;0.000218
0.250000;0.000133
0.270000;-0.000047
0.290000;-0.000318
0.310000;-0.000646
0.330000;-0.000983
0.350000;-0.001279
0.370000;-0.001496
0.390000;-0.001625
0.410000;-0.001681
0.430000;-0.001706
0.450000;-0.001754
0.470000;-0.001869
0.490000;-0.002062
0.510000;-0.002283
0.530000;-0.001875
0.550000;0.002098
0.570000;0.014818
0.590000;0.041690
0.610000;0.086431
0.630000;0.150105
0.650000;0.231222
0.670000;0.326687
0.690000;0.433102
0.710000;0.547934
0.730000;0.670156
0.750000;0.800274
0.770000;0.939819
0.790000;1.090605
0.810000;1.254020
0.830000;1.430604
0.850000;1.619991
0.870000;1.821166
0.890000;2.032894
0.910000;2.254139
0.930000;2.484344
0.950000;2.723486
0.970000;2.971950
0.990000;3.230285
1.010000;3.498957
1.030000;3.778168
1.050000;4.067808
1.070000;4.367517
1.090000;4.676819
1.110000;4.995274
1.130000;5.322584
1.150000;5.658635
1.170000;6.003470
1.190000;6.357211
1.210000;6.719972
1.230000;7.091792
1.250000;7.472606
1.270000;7.862253
1.290000;8.260522
1.310000;8.667203
1.330000;9.082124
1.350000;9.505177
1.370000;9.936311
1.390000;10.375511
1.410000;10.822767
1.430000;11.278049
1.450000;11.741293
1.470000;12.212403
1.490000;12.691260
1.510000;13.177740
1.530000;13.671734
1.550000;14.173149
1.570000;14.681917
1.590000;15.197982
1.610000;15.721294
1.630000;16.251800
1.650000;16.789435
1.670000;17.334124
1.690000;17.885783
1.710000;18.444325
1.730000;19.009668
1.750000;19.581734
1.770000;20.160456
1.790000;20.745771
1.810000;21.337619
1.830000;21.935942
1.850000;22.540675
1.870000;23.151727
1.890000;23.768869
1.910000;24.391615
1.930000;25.019195
1.950000;25.650647
1.970000;26.284949
1.990000;26.921143
2.010000;27.558416
2.030000;28.196137
2.050000;28.833809
2.070000;29.470984
2.090000;30.107171
2.110000;30.741792
2.130000;31.374175
2.150000;32.003575
2.170000;32.629221
2.190000;33.250366
2.210000;33.866330
2.230000;34.476521
2.250000;35.080422
2.270000;35.677562
2.290000;36.267458
2.310000;36.849583
2.330000;37.423354
2.350000;37.988150
2.370000;38.543346
2.390000;39.088354
2.410000;39.622649
2.430000;40.145767
2.450000;40.657300
2.470000;41.156873
2.490000;41.644106
2.510000;42.118579
2.530000;42.579841
2.550000;43.027427
2.570000;43.460899
2.590000;43.879873
2.610000;44.284027
2.630000;44.673088
2.650000;45.046806
2.670000;45.404934
2.690000;45.747207
2.710000;46.073373
2.730000;46.383283
2.750000;46.676968
2.770000;46.954650
