Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"3073FF";"3073FF";"3073FF";"3073FF";"3073FF";"3073FF"
0;-0.413678;-0.043367;0.764092;0.062654;100000000.000000;0.100000
1;-0.653737;-0.569933;0.764092;0.062654;100000000.000000;0.100000
2;-0.911496;-0.169897;-0.614002;0.739067;100000000.000000;0.100000
3;-0.311441;-0.052828;-0.885556;0.739067;100000000.000000;0.100000
4;-0.653737;-0.052828;-0.898740;0.739067;100000000.000000;0.100000
5;-0.653737;-0.052828;-0.898740;0.739067;100000000.000000;0.100000
6;-0.269529;-0.043367;-0.898740;0.739067;100000000.000000;0.100000
7;-0.283547;-0.043367;-0.898740;0.739067;100000000.000000;0.100000
8;-0.283547;-0.043367;-0.898740;0.739067;100000000.000000;0.100000
9;-0.283547;-0.043367;-0.614002;0.791257;100000000.000000;0.100000
10;-0.911496;-0.531577;-0.898740;0.739067;100000000.000000;0.100000
11;-0.653737;-0.569933;-0.898740;0.739067;100000000.000000;0.100000
12;-0.911496;-0.165904;-0.643045;0.820108;100000000.000000;0.100000
13;-0.911496;-0.165904;-0.643045;0.739067;100000000.000000;0.100000
14;-0.911496;-0.165904;-0.643045;0.739067;100000000.000000;0.100000
15;-0.911496;-0.165904;-0.601126;0.820108;100000000.000000;0.100000
16;-0.911496;-0.165904;-0.643045;0.820108;100000000.000000;0.100000
17;-0.911496;-0.165904;-0.601126;0.862601;100000000.000000;0.100000
18;-0.911496;-0.165904;-0.643045;0.862601;100000000.000000;0.100000
19;-0.911496;-0.165904;-0.643045;0.862601;100000000.000000;0.100000
20;-0.911496;-0.165904;-0.643045;0.862601;100000000.000000;0.100000
21;-1.030342;-0.165904;-0.643045;0.862601;100000000.000000;0.100000
22;-1.030342;-0.171554;-0.643045;0.878850;100000000.000000;0.100000
23;-0.911496;-0.171554;-0.643045;0.878850;100000000.000000;0.100000
24;-0.911496;-0.165904;-0.643045;0.878850;100000000.000000;0.100000
25;-1.030342;-0.165352;-0.643045;0.862601;100000000.000000;0.100000
26;-0.911496;-0.165904;-0.686600;0.862601;100000000.000000;0.100000
27;-0.911496;-0.165904;-0.643045;0.932305;100000000.000000;0.100000
28;-0.911496;-0.165904;-0.646445;0.932305;100000000.000000;0.100000
29;-1.030342;-0.165904;-0.646445;0.932305;100000000.000000;0.100000
30;-0.911496;-0.166850;-0.646445;1.007169;100000000.000000;0.100000
31;-0.911496;-0.163424;-0.646445;1.007169;100000000.000000;0.100000
32;-0.911496;-0.168201;-0.686600;1.007169;100000000.000000;0.100000
33;-0.911496;-0.163424;-0.754899;1.007169;100000000.000000;0.100000
34;-0.911496;-0.163424;-0.754899;1.007169;100000000.000000;0.100000
35;-0.911496;-0.163424;-0.754899;1.007169;100000000.000000;0.100000
36;-0.911496;-0.163424;-0.754899;1.101909;100000000.000000;0.100000
37;-0.911496;-0.163424;-0.754899;1.101909;100000000.000000;0.100000
38;-0.911496;-0.163424;-0.754899;1.101909;100000000.000000;0.100000
39;-0.911496;-0.163424;-0.754899;1.115349;100000000.000000;0.100000
