Zeit [s];r [v];l [v];ySystune [v];yGenetic [v];yDifferentialEvol [v]
;-;-;-;-;-
0;4;3;1;1;1
0;ebbd34;e0162e;3189f5;2cf533;cc2cf5
0;0;0;-0.005508182;-0.004219391;-0.003252798
0.01;0;0;-0.004863787;-0.004219391;-0.003897194
0.02;0;0;-0.003897194;-0.004541589;-0.004863787
0.03;0;0;-0.002286205;-0.002930601;-0.002608403
0.04;0;0;-0.003252798;-0.003252798;-0.005185985
0.05;0;0;-0.003897194;0.001257969;-0.004863787
0.06;0;0;-0.005185985;-0.002608403;-0.00583038
0.07;0;0;-0.004219391;-0.001964008;-0.002608403
0.08;0;0;-0.003574996;-0.005185985;-0.005185985
0.09;0;0;-0.003897194;-0.005185985;-0.004541589
0.1;0;0;-0.003574996;0.004479946;-0.005185985
0.11;0;0;-0.004541589;-0.003897194;-0.002930601
0.12;0;0;-0.003574996;-0.004541589;-0.006152578
0.13;0;0;-0.00164181;0.000291376;-0.001319612
0.14;0;0;-0.003897194;-0.004863787;-0.003897194
0.15;0;0;-0.002608403;-0.004541589;-0.001964008
0.16;0;0;-0.004219391;-0.00583038;-0.003897194
0.17;0;0;-0.005185985;-0.00583038;-0.002930601
0.18;0;0;-0.003252798;-0.003574996;-0.004863787
0.19;0;0;-0.004541589;-0.005185985;-0.001964008
0.2;0;0;-0.005185985;-0.004541589;-0.005185985
0.21;0;0;-0.002608403;-0.002930601;-0.002930601
0.22;0;0;-0.005508182;-0.003574996;-0.00583038
0.23;0;0;-0.002608403;-0.004863787;-0.003897194
0.24;0;0;-0.004541589;-0.002608403;-0.005185985
0.25;0;0;-0.002930601;-0.004219391;-0.003574996
0.26;0;0;-0.003897194;-0.004863787;-0.004219391
0.27;0;0;-0.003252798;-0.004541589;-0.003897194
0.28;0;0;-0.007763566;-0.002930601;-0.005185985
0.29;0;0;-0.003574996;-0.001319612;-0.001964008
0.3;0;0;-0.002930601;-0.002930601;-0.003574996
0.31;0;0;-0.002930601;-0.004541589;-0.002286205
0.32;0;0;-0.004219391;-0.003574996;-0.003574996
0.33;0;0;-0.004863787;-0.003252798;-0.002930601
0.34;0;0;0.000613574;-0.00583038;0.00544654
0.35;0;0;-0.003252798;-0.002608403;-0.003574996
0.36;0;0;-0.007441368;-0.004863787;-0.006152578
0.37;0;0;-0.004863787;-0.001319612;-0.002608403
0.38;0;0;-0.003574996;-3.08E-05;-0.005185985
0.39;0;0;-0.002608403;-0.003252798;-0.004541589
0.4;0;0;-0.006152578;-0.005185985;-0.003252798
0.41;0;0;-0.004863787;-0.002930601;-0.005185985
0.42;0;0;-0.004541589;-0.005185985;-0.002930601
0.43;0;0;-0.007441368;-0.003252798;-0.001964008
0.44;0;0;-0.004863787;-0.003252798;-0.003574996
0.45;0;0;-0.002608403;-0.001964008;-0.004219391
0.46;0;0;-0.005185985;-0.000997415;-0.004863787
0.47;0;0;-0.001964008;-0.005508182;-0.003897194
0.48;0;0;-0.003252798;-0.003252798;-0.005508182
0.49;1;0;-0.004219391;-0.003252798;-0.004219391
0.5;1;0;-0.002608403;-0.004863787;-0.006152578
0.51;1;0;0.329255461;0.176211386;0.179111167
0.52;1;0;1.165361417;0.911468361;0.633088547
0.53;1;0;1.247522318;1.111231904;0.871193479
0.54;1;0;0.970753003;1.053236014;0.994273545
0.55;1;0;0.90470218;1.195003777;1.113809499
0.56;1;0;1.020371685;1.041959038;1.141196454
0.57;1;0;0.980096779;1.166005816;1.132497068
0.58;1;0;0.922745329;1.048080825;1.110909704
0.59;1;0;1.00071753;1.124442081;1.084811552
0.6;1;0;0.978807983;0.966564413;1.087389147
0.61;1;0;0.932733502;1.097699528;1.07031258
0.62;1;0;0.985896365;1.044214433;1.081589558
0.63;1;0;0.954320844;0.990084955;1.054524811
0.64;1;0;0.97977458;1.01811629;1.039059244
0.65;1;0;0.962698023;1.029393265;1.045181031
0.66;1;0;0.977841385;1.016505293;1.017149692
0.67;1;0;0.99620674;0.987185162;1.030037663
0.68;1;0;0.967531011;1.006194917;1.006839316
0.69;1;0;0.981385576;0.995240143;1.023271478
0.7;1;0;0.976874787;1.013927699;1.001361928
0.71;1;0;0.984929768;1.005228319;1.004261722
0.72;1;0;0.989762756;1.011672304;0.990729354
0.73;1;0;0.984285369;0.992984748;0.984929768
0.74;1;0;1.002328526;0.995884541;0.981063377
0.75;1;0;0.984929768;0.98782956;1.000073131
0.76;1;0;0.99620674;0.996851139;1.010383507
0.77;1;0;0.982996572;1.004583921;1.008450312
0.78;1;0;0.989440557;1.015860895;1.005228319
0.79;1;0;0.980418979;1.008450312;0.999428733
0.8;1;0;0.984929768;1.005228319;1.001361928
0.81;1;0;1.001039729;0.999428733;0.998784334
0.82;1;0;1.001361928;0.992662549;1.012316703
0.83;1;0;1.001361928;0.999428733;1.000395331
0.84;1;0;0.982352174;1.00490612;1.011672304
0.85;1;0;1.011672304;1.010383507;0.998139936
0.86;1;0;0.961731425;1.003939522;1.004583921
0.87;1;0;1.034226254;1.008450312;0.981385576
0.88;1;0;0.953676446;0.989118357;0.994595744
0.89;1;0;1.037126048;0.990084955;0.991051553
0.9;1;0;1.006194917;0.987185162;1.006517116
0.91;1;0;0.982352174;0.995884541;1.005550519
0.92;1;0;1.00490612;0.997817737;1.008128113
0.93;1;0;1.013283301;1.011027906;0.999428733
0.94;1;0;0.978163584;1.004583921;1.00071753
0.95;1;0;1.007483714;1.007161515;0.990084955
0.96;1;0;1.00909471;0.999106534;1.003295124
0.97;1;0;0.967208811;1.001039729;1.007483714
0.98;1;0;1.027782268;0.997495537;1.008450312
0.99;0;0;0.938210887;1.004583921;1.007161515
1;0;0;1.007483714;1.00490612;0.995884541
1.01;0;0;0.872804474;0.841551171;0.828018814
1.02;0;0;0.836395987;0.871837877;0.847350752
1.03;0;0;0.776144791;0.833496197;0.783555365
1.04;0;0;0.714604817;0.741347316;0.741669515
1.05;0;0;0.672396784;0.644687698;0.648554082
1.06;0;0;0.590558332;0.585080957;0.590236134
1.07;0;0;0.542228553;0.527085225;0.532884797
1.08;0;0;0.484232834;0.4710227;0.481977445
1.09;0;0;0.432358898;0.416893379;0.429136915
1.1;0;0;0.367919244;0.37404101;0.379196182
1.11;0;0;0.332477442;0.329899857;0.35245373
1.12;0;0;0.292847071;0.289947288;0.29478026
1.13;0;0;0.254505499;0.251605717;0.261271659
1.14;0;0;0.213264152;0.215841736;0.225185478
1.15;0;0;0.182655345;0.185877324;0.191032492
1.16;0;0;0.150113354;0.152690937;0.167189844
1.17;0;0;0.119504555;0.134003459;0.147213573
1.18;0;0;0.092439936;0.119182357;0.121115544
1.19;0;0;0.076330045;0.096628508;0.101139277
1.2;0;0;0.071174881;0.082774001;0.081163012
1.21;0;0;0.076330045;0.066986309;0.070852683
1.22;0;0;0.059253562;0.056031585;0.054742794
1.23;0;0;0.065697518;0.04088829;0.046365652
1.24;0;0;0.057642574;0.031222357;0.035733126
1.25;0;0;0.051198618;0.026711589;0.027678182
1.26;0;0;0.049265432;0.017690053;0.018334448
1.27;0;0;0.045721256;0.014468075;0.016723459
1.28;0;0;0.040566092;0.012534889;0.00963511
1.29;0;0;0.039277301;0.010601703;0.009312912
1.3;0;0;0.033799939;0.006413133;0.003835551
1.31;0;0;0.036377521;0.004479946;0.004157749
1.32;0;0;0.028322578;0.004479946;0.001257969
1.33;0;0;0.030255764;0.006413133;0.002868958
1.34;0;0;0.020589832;-0.000353019;-0.00164181
1.35;0;0;0.028966973;0.000935772;0.000935772
1.36;0;0;0.022523019;0.003191156;-0.000353019
1.37;0;0;0.017690053;0.001902365;-0.00164181
1.38;0;0;0.018656646;-0.000997415;-0.000675217
1.39;0;0;0.018656646;0.004157749;-0.002286205
