Zeit [s];r [v];l [v];u [v];y [v]
;-;-;-;-
0;4;3;1;1
0;ebbd34;e0162e;8888FF;0000AA
0;0;0;0.018932659;-0.003252798
0.01;0;0;0.025439246;-0.003897194
0.02;0;0;0.034367084;-0.004863787
0.03;0;0;0.025360557;-0.002608403
0.04;0;0;0.042572998;-0.005185985
0.05;0;0;0.045091326;-0.004863787
0.06;0;0;0.054837918;-0.00583038
0.07;0;0;0.041024155;-0.002608403
0.08;0;0;0.058236383;-0.005185985
0.09;0;0;0.058879174;-0.004541589
0.1;0;0;0.066477248;-0.005185985
0.11;0;0;0.057743296;-0.002930601
0.12;0;0;0.078978964;-0.006152578
0.13;0;0;0.056061256;-0.001319612
0.14;0;0;0.072181261;-0.003897194
0.15;0;0;0.064230539;-0.001964008
0.16;0;0;0.077145802;-0.003897194
0.17;0;0;0.074820998;-0.002930601
0.18;0;0;0.088555147;-0.004863787
0.19;0;0;0.075797259;-0.001964008
0.2;0;0;0.096213686;-0.005185985
0.21;0;0;0.087479363;-0.002930601
0.22;0;0;0.106839335;-0.00583038
0.23;0;0;0.100526219;-0.003897194
0.24;0;0;0.111328413;-0.005185985
0.25;0;0;0.106344556;-0.003574996
0.26;0;0;0.113123022;-0.004219391
0.27;0;0;0.114821436;-0.003897194
0.28;0;0;0.125623458;-0.005185985
0.29;0;0;0.111262798;-0.001964008
0.3;0;0;0.122302163;-0.003574996
0.31;0;0;0.117828484;-0.002286205
0.32;0;0;0.127265456;-0.003574996
0.33;0;0;0.126542377;-0.002930601
0.34;0;0;0.080265463;0.00544654
0.35;0;0;0.128158627;-0.003574996
0.36;0;0;0.146188827;-0.006152578
0.37;0;0;0.130771644;-0.002608403
0.38;0;0;0.147982801;-0.005185985
0.39;0;0;0.148624526;-0.004541589
0.4;0;0;0.144969581;-0.003252798
0.41;0;0;0.158975931;-0.005185985
0.42;0;0;0.150240898;-0.002930601
0.43;0;0;0.147096246;-0.001964008
0.44;0;0;0.158135237;-0.003574996
0.45;0;0;0.164913145;-0.004219391
0.46;0;0;0.172236985;-0.004863787
0.47;0;0;0.170730117;-0.003897194
0.48;0;0;0.18340687;-0.005508182
0.49;1;0;0.180570558;-0.004219391
0.5;1;0;6.015817583;-0.006152578
0.51;1;0;5.789965143;0.179111167
0.52;1;0;3.843109425;0.633088547
0.53;1;0;2.768080613;0.871193479
0.54;1;0;2.160806516;0.994273545
0.55;1;0;1.469879733;1.113809499
0.56;1;0;1.214022307;1.141196454
0.57;1;0;1.145000539;1.132497068
0.58;1;0;1.158364624;1.110909704
0.59;1;0;1.216275012;1.084811552
0.6;1;0;1.129393554;1.087389147
0.61;1;0;1.154724885;1.07031258
0.62;1;0;1.029495895;1.081589558
0.63;1;0;1.117878456;1.054524811
0.64;1;0;1.161680581;1.039059244
0.65;1;0;1.092939145;1.045181031
0.66;1;0;1.217797199;1.017149692
0.67;1;0;1.12823778;1.030037663
0.68;1;0;1.237796938;1.006839316
0.69;1;0;1.136345046;1.023271478
0.7;1;0;1.244136132;1.001361928
0.71;1;0;1.226089599;1.004261722
0.72;1;0;1.301228438;0.990729354
0.73;1;0;1.34282466;0.984929768
0.74;1;0;1.378082547;0.981063377
0.75;1;0;1.283467327;1.000073131
0.76;1;0;1.223380015;1.010383507
0.77;1;0;1.225820085;1.008450312
0.78;1;0;1.23739961;1.005228319
0.79;1;0;1.26671184;0.999428733
0.8;1;0;1.255929864;1.001361928
0.81;1;0;1.269764766;0.998784334
0.82;1;0;1.192016857;1.012316703
0.83;1;0;1.250955236;1.000395331
0.84;1;0;1.184970061;1.011672304
0.85;1;0;1.253831403;0.998139936
0.86;1;0;1.217887456;1.004583921
0.87;1;0;1.349014771;0.981385576
0.88;1;0;1.287884107;0.994595744
0.89;1;0;1.313078436;0.991051553
0.9;1;0;1.2306308;1.006517116
0.91;1;0;1.230722058;1.005550519
0.92;1;0;1.211003732;1.008128113
0.93;1;0;1.254738433;0.999428733
0.94;1;0;1.247708454;1.00071753
0.95;1;0;1.308974028;0.990084955
0.96;1;0;1.240473307;1.003295124
0.97;1;0;1.213289628;1.007483714
0.98;1;0;1.201310638;1.008450312
0.99;0;0;1.201640214;1.007161515
1;0;0;0;0.995884541
1.01;0;0;0;0.828018814
1.02;0;0;0;0.847350752
1.03;0;0;0;0.783555365
1.04;0;0;0;0.741669515
1.05;0;0;0;0.648554082
1.06;0;0;0;0.590236134
1.07;0;0;0;0.532884797
1.08;0;0;0;0.481977445
1.09;0;0;0;0.429136915
1.1;0;0;0;0.379196182
1.11;0;0;0;0.35245373
1.12;0;0;0;0.29478026
1.13;0;0;0;0.261271659
1.14;0;0;0;0.225185478
1.15;0;0;0.110163932;0.191032492
1.16;0;0;0.087168607;0.167189844
1.17;0;0;0.061871749;0.147213573
1.18;0;0;0.089132439;0.121115544
1.19;0;0;0.102874641;0.101139277
1.2;0;0;0.133542606;0.081163012
1.21;0;0;0.124876278;0.070852683
1.22;0;0;0.158701663;0.054742794
1.23;0;0;0.161168578;0.046365652
1.24;0;0;0.183860399;0.035733126
1.25;0;0;0.200558;0.027678182
1.26;0;0;0.23158132;0.018334448
1.27;0;0;0.225513045;0.016723459
1.28;0;0;0.252689896;0.00963511
1.29;0;0;0.246490135;0.009312912
1.3;0;0;0.270568146;0.003835551
1.31;0;0;0.265530534;0.004157749
1.32;0;0;0.278972707;0.001257969
1.33;0;0;0.268616653;0.002868958
1.34;0;0;0.292526372;-0.00164181
1.35;0;0;0.279000152;0.000935772
1.36;0;0;0.285793445;-0.000353019
1.37;0;0;0.293678149;-0.00164181
1.38;0;0;0.289526965;-0.000675217
1.39;0;0;0.299558908;-0.002286205
1.4;0;0;0.288451315;-3.08E-05
1.41;0;0;0.296060899;-0.001319612
1.42;0;0;0.297260593;-0.001319612
1.43;0;0;0.302210416;-0.001964008
1.44;0;0;0.305830356;-0.002286205
1.45;0;0;0.302221446;-0.001319612
1.46;0;0;0.307169699;-0.001964008
1.47;0;0;0.307037424;-0.00164181
1.48;0;0;0.308506979;-0.00164181
1.49;5;0;0.309976026;-0.00164181
1.5;5;0;10;-0.001964008
1.51;5;0;10;0.564782449
1.52;5;0;10;1.084489352
1.53;5;0;10;1.581321515
1.54;5;0;10;2.067200335
1.55;5;0;10;2.468663724
1.56;5;0;10;2.869483858
1.57;5;0;10;3.316702627
1.58;5;0;8.040022423;3.678860803
1.59;5;0;6.751151915;4.092573127
1.6;5;0;6.056933704;4.343894451
1.61;5;0;5.386069536;4.554618171
1.62;5;0;5.082399157;4.671579686
1.63;5;0;5.170980677;4.704122721
1.64;5;0;5.001314909;4.776297409
1.65;5;0;5.278727744;4.761153609
1.66;5;0;5.240776956;4.802396305
1.67;5;0;5.090990996;4.856849578
1.68;5;0;5.333910277;4.835906007
1.69;5;0;5.181987895;4.885848374
1.7;5;0;5.03463624;4.927735539
1.71;5;0;5.333771788;4.886815001
1.72;5;0;5.116212739;4.940623902
1.73;5;0;5.021849669;4.965434003
1.74;5;0;5.287171958;4.924835658
1.75;5;0;5.011146775;4.983155508
1.76;5;0;5.002652272;4.987022019
1.77;5;0;5.242186004;4.947712501
1.78;5;0;4.913024886;5.011832133
1.79;5;0;5.002138609;4.994755041
1.8;5;0;5.238875543;4.954801102
1.81;5;0;4.94497152;5.011832133
1.82;5;0;5.022837201;4.996688296
1.83;5;0;5.229809587;4.961567494
1.84;5;0;4.920800035;5.020209575
1.85;5;0;5.017827796;5.000554808
1.86;5;0;5.22527949;4.964789585
1.87;5;0;4.928547599;5.020853994
1.88;5;0;5.01565685;5.002810272
1.89;5;0;5.211825063;4.968656095
1.9;5;0;4.902444709;5.026331553
1.91;5;0;5.01492385;5.003132482
1.92;5;0;5.235203662;4.964789585
1.93;5;0;4.897221969;5.027942599
1.94;5;0;5.000838957;5.006032365
1.95;5;0;5.222417007;4.967045049
1.96;5;0;4.916285843;5.024398296
1.97;5;0;5.007906961;5.005065737
1.98;5;0;5.209678967;4.969622722
1.99;5;0;4.906994314;5.026009343
2;5;0;5.019759478;5.002810272
2.01;5;0;5.221571294;4.967689467
2.02;5;0;4.804254347;5.044053069
2.03;5;0;5.03113835;4.998621552
2.04;5;0;5.206497109;4.968656095
2.05;5;0;4.884010584;5.028587018
2.06;5;0;4.998351028;5.004743528
2.07;5;0;5.247293525;4.961245284
2.08;5;0;4.955470057;5.016987482
2.09;5;0;5.023380359;5.002810272
2.1;5;0;5.253335299;4.96285633
2.11;5;0;4.948898279;5.020531784
2.12;5;0;5.026937205;5.00409911
2.13;5;0;5.227673073;4.968978304
2.14;5;0;4.921803761;5.026009343
2.15;5;0;5.000831844;5.00861004
2.16;5;0;5.218379035;4.969944932
2.17;5;0;4.891065306;5.030520274
2.18;5;0;5.003783277;5.006676784
2.19;5;0;5.221096938;4.968333886
2.2;5;0;4.897027437;5.028587018
2.21;5;0;4.99638403;5.007321202
