Zeit [s];r [v];l [v];u [v];y [v]
;-;-;-;-
0;4;2;1;1
0;ebbd34;e0162e;8888FF;0000AA
0;0;0;0.0170612575688686;-0.00364348141851859
0.01;0;0;0.00940857198095259;-0.0013657513246738
0.02;0;0;0.0236548750112329;-0.00448995006279918
0.03;0;0;0.0152666337508137;-0.00202674496351053
0.04;0;0;0.0193519839741637;-0.00293935996958655
0.05;0;0;0.0226217517435802;-0.0032982169611529
0.06;0;0;0.0254064488978941;-0.00357102876940007
0.07;0;0;0.0207082510790279;-0.00222948468417378
0.08;0;0;0.0180980932965459;-0.00159496832691726
0.09;0;0;0.0193426865319595;-0.00177675371799365
0.1;0;0;0.0182233738293641;-0.00136535276898708
0.11;0;0;0.018095489517165;-0.00125445072263095
0.12;0;0;0.0210021405367702;-0.00177469038254649
0.13;0;0;0.0147221449672477;-0.000231381470075715
0.14;0;0;0.0222513035519392;-0.0019557514865751
0.15;0;0;0.0305553888174349;-0.00340422354291319
0.16;0;0;0.0285789016288753;-0.00255433276967151
0.17;0;0;0.0124925018997075;0.0010302364974492
0.18;0;0;0.0212494255955161;-0.00124827155581503
0.19;0;0;0.0247217309940213;-0.00167798442174324
0.2;0;0;0.0243334571867294;-0.00140940128746377
0.21;0;0;0.0237549402593189;-0.00118572809723854
0.22;0;0;0.022384550803687;-0.000808636145458507
0.23;0;0;0.0222041566369341;-0.000732436579792229
0.24;0;0;0.0208168482355646;-0.00037851810505819
0.25;0;0;0.0126107144874984;0.00137583133027261
0.26;0;0;0.0183337172134964;-0.0001228816923657
0.27;0;0;0.0133001202091926;0.00109575385807756
0.28;0;0;0.0150351723332091;0.000520811041213638
0.29;0;0;0.0172533169803239;5.22988586821663e-05
0.3;0;0;0.0217329554561695;-0.000867397597736404
0.31;0;0;0.0215434732793217;-0.000669104382469671
0.32;0;0;0.0203857913215433;-0.00038061876812734
0.33;0;0;0.0250267400034801;-0.00136381471257648
0.34;0;0;0.00952833502112621;0.00215302963063887
0.35;0;0;0.0132483488730204;0.000857433862075202
0.36;0;0;0.0215642757748494;-0.000878980722557163
0.37;0;0;0.0237521830834269;-0.00111494951550122
0.38;0;0;0.0200052694219644;-0.000195812082564479
0.39;0;0;0.0153279246296774;0.000738769215828204
0.4;0;0;0.0196462979427343;-0.000331268877110154
0.41;0;0;0.0248796239487954;-0.00132484925541877
0.42;0;0;0.0235952209608262;-0.000845952465497581
0.43;0;0;0.0192412553421492;0.000115780155101246
0.44;0;0;0.0132005922107949;0.00131032342136859
0.45;0;0;0.0182651183182301;7.6284684908199e-06
0.46;0;0;0.0142777648685521;0.000973977656933734
0.47;0;0;0.0205547777531869;-0.000537834965387981
0.48;0;0;0.0189161889147116;-6.56035423874952e-06
0.49;0;0;0.0178880005060032;0.000166481457563163
0.5;1;0;4.70879827673307;-0.00162110214455576
0.51;1;0;4.98769335383339;0.115731506906296
0.52;1;0;4.32828997895297;0.32390698836828
0.53;1;0;3.47185559165642;0.547798637558201
0.54;1;0;2.69031820229354;0.734612995736908
0.55;1;0;2.17541046114214;0.851346772088818
0.56;1;0;1.85325445631001;0.92286615261597
0.57;1;0;1.65398073329004;0.965863299417381
0.58;1;0;1.52539439712068;0.992512778806507
0.59;1;0;1.45151635821328;1.00658509343354
0.6;1;0;1.40479355149373;1.0147360026324
0.61;1;0;1.37236427640076;1.01964273343623
0.62;1;0;1.36314422158116;1.01944922320139
0.63;1;0;1.36423733806447;1.0175225574431
0.64;1;0;1.34708273577914;1.01981585615661
0.65;1;0;1.33554334024241;1.0203341545269
0.66;1;0;1.34633018048992;1.01619642832139
0.67;1;0;1.34025325674889;1.01643673085243
0.68;1;0;1.34557848283135;1.01383274171343
