Zeit [s];r [v];l [v];u [v];y [v]
;-;-;-;-
0;4;3;1;1
0;ebbd34;e0162e;8888FF;0000AA
0;0;0;0.030210843;-0.004219391
0.01;0;0;0.03480998;-0.004219391
0.02;0;0;0.041716052;-0.004541589
0.03;0;0;0.035131707;-0.002930601
0.04;0;0;0.040632997;-0.003252798
0.05;0;0;0.01188145;0.001257969
0.06;0;0;0.038193489;-0.002608403
0.07;0;0;0.036422778;-0.001964008
0.08;0;0;0.061632901;-0.005185985
0.09;0;0;0.067285624;-0.005185985
0.1;0;0;0.003730281;0.004479946
0.11;0;0;0.058827464;-0.003897194
0.12;0;0;0.067689276;-0.004541589
0.13;0;0;0.038035575;0.000291376
0.14;0;0;0.074628943;-0.004863787
0.15;0;0;0.077623535;-0.004541589
0.16;0;0;0.09180161;-0.00583038
0.17;0;0;0.098156724;-0.00583038
0.18;0;0;0.088363289;-0.003574996
0.19;0;0;0.103794713;-0.005185985
0.2;0;0;0.104833565;-0.004541589
0.21;0;0;0.098249219;-0.002930601
0.22;0;0;0.106057445;-0.003574996
0.23;0;0;0.119181933;-0.004863787
0.24;0;0;0.108334912;-0.002608403
0.25;0;0;0.122712749;-0.004219391
0.26;0;0;0.131925756;-0.004863787
0.27;0;0;0.134920349;-0.004541589
0.28;0;0;0.128336003;-0.002930601
0.29;0;0;0.119995681;-0.001319612
0.3;0;0;0.132968735;-0.002930601
0.31;0;0;0.147697768;-0.004541589
0.32;0;0;0.145727293;-0.003574996
0.33;0;0;0.147317104;-0.003252798
0.34;0;0;0.169318138;-0.00583038
0.35;0;0;0.152603897;-0.002608403
0.36;0;0;0.171595605;-0.004863787
0.37;0;0;0.151520842;-0.001319612
0.38;0;0;0.143731477;-3.08E-05
0.39;0;0;0.166834428;-0.003252798
0.4;0;0;0.184221591;-0.005185985
0.41;0;0;0.173725765;-0.002930601
0.42;0;0;0.193068669;-0.005185985
0.43;0;0;0.184879779;-0.003252798
0.44;0;0;0.188425329;-0.003252798
0.45;0;0;0.182743137;-0.001964008
0.46;0;0;0.177963099;-0.000997415
0.47;0;0;0.211347378;-0.005508182
0.48;0;0;0.201202748;-0.003252798
0.49;1;0;0.204748298;-0.003252798
0.5;1;0;7.379828542;-0.004863787
0.51;1;0;7.178631832;0.176211386
0.52;1;0;2.812121469;0.911468361
0.53;1;0;1.478313984;1.111231904
0.54;1;0;1.77232178;1.053236014
0.55;1;0;0.699237339;1.195003777
0.56;1;0;1.582483559;1.041959038
0.57;1;0;0.648573269;1.166005816
0.58;1;0;1.311969872;1.048080825
0.59;1;0;0.712815176;1.124442081
0.6;1;0;1.707577413;0.966564413
0.61;1;0;0.80509478;1.097699528
0.62;1;0;1.081555575;1.044214433
0.63;1;0;1.420928905;0.990084955
0.64;1;0;1.231031947;1.01811629
0.65;1;0;1.13054205;1.029393265
0.66;1;0;1.190781267;1.016505293
0.67;1;0;1.382722638;0.987185162
0.68;1;0;1.260580965;1.006194917
0.69;1;0;1.33226469;0.995240143
0.7;1;0;1.203650029;1.013927699
0.71;1;0;1.250756398;1.005228319
0.72;1;0;1.198918596;1.011672304
0.73;1;0;1.319998688;0.992984748
0.74;1;0;1.306882794;0.995884541
0.75;1;0;1.369042306;0.98782956
0.76;1;0;1.317713583;0.996851139
0.77;1;0;1.265779124;1.004583921
0.78;1;0;1.180039515;1.015860895
0.79;1;0;1.215810914;1.008450312
0.8;1;0;1.229669541;1.005228319
0.81;1;0;1.265495712;0.999428733
0.82;1;0;1.314564271;0.992662549
0.83;1;0;1.274116215;0.999428733
0.84;1;0;1.235520804;1.00490612
0.85;1;0;1.19095504;1.010383507
0.86;1;0;1.22577595;1.003939522
0.87;1;0;1.189184618;1.008450312
0.88;1;0;1.318390572;0.989118357
0.89;1;0;1.323330723;0.990084955
0.9;1;0;1.35490064;0.987185162
0.91;1;0;1.306581258;0.995884541
0.92;1;0;1.297225429;0.997817737
0.93;1;0;1.205019284;1.011027906
0.94;1;0;1.2391378;1.004583921
0.95;1;0;1.215685753;1.007161515
0.96;1;0;1.265553368;0.999106534
0.97;1;0;1.252685567;1.001039729
0.98;1;0;1.276928674;0.997495537
0.99;0;0;1.228905713;1.004583921
1;0;0;0;1.00490612
1.01;0;0;0;0.841551171
1.02;0;0;0;0.871837877
1.03;0;0;0;0.833496197
1.04;0;0;0;0.741347316
1.05;0;0;0;0.644687698
1.06;0;0;0;0.585080957
1.07;0;0;0;0.527085225
1.08;0;0;0;0.4710227
1.09;0;0;0;0.416893379
1.1;0;0;0;0.37404101
1.11;0;0;0;0.329899857
1.12;0;0;0;0.289947288
1.13;0;0;0;0.251605717
1.14;0;0;0;0.215841736
1.15;0;0;0;0.185877324
1.16;0;0;0.163463;0.152690937
1.17;0;0;0.130832221;0.134003459
1.18;0;0;0.090887542;0.119182357
1.19;0;0;0.122464334;0.096628508
1.2;0;0;0.116337526;0.082774001
1.21;0;0;0.139153741;0.066986309
1.22;0;0;0.144574492;0.056031585
1.23;0;0;0.191926056;0.04088829
1.24;0;0;0.216565897;0.031222357
1.25;0;0;0.214830629;0.026711589
1.26;0;0;0.250309197;0.017690053
1.27;0;0;0.254096397;0.014468075
1.28;0;0;0.252167808;0.012534889
1.29;0;0;0.252346393;0.010601703
1.3;0;0;0.2707807;0.006413133
1.31;0;0;0.277631999;0.004479946
1.32;0;0;0.272748857;0.004479946
1.33;0;0;0.254024102;0.006413133
1.34;0;0;0.295479434;-0.000353019
1.35;0;0;0.286636483;0.000935772
1.36;0;0;0.269467943;0.003191156
1.37;0;0;0.275217326;0.001902365
1.38;0;0;0.293906168;-0.000997415
1.39;0;0;0.258082381;0.004157749
1.4;0;0;0.292768339;-0.001319612
1.41;0;0;0.273444297;0.001580167
1.42;0;0;0.357078527;-0.010341148
1.43;0;0;0.241468925;0.007379726
1.44;0;0;0.286484542;-3.08E-05
1.45;0;0;0.30035975;-0.001964008
1.46;0;0;0.295579712;-0.000997415
1.47;0;0;0.298973829;-0.001319612
1.48;0;0;0.341937045;-0.007119171
1.49;5;0;0.275875005;0.003191156
1.5;5;0;10;-0.000997415
1.51;5;0;10;0.392084112
1.52;5;0;10;0.996851139
1.53;5;0;10;1.552645689
1.54;5;0;10;2.021769956
1.55;5;0;10;2.487029251
1.56;5;0;10;2.914914512
1.57;5;0;10;3.319602466
1.58;5;0;9.443158311;3.722358524
1.59;5;0;8.268102886;4.080973695
1.6;5;0;6.649087441;4.447000806
1.61;5;0;5.041741707;4.755676064
1.62;5;0;4.816660921;4.824306494
1.63;5;0;4.396807796;4.909691835
1.64;5;0;4.668269894;4.885526165
1.65;5;0;5.026054922;4.852983072
1.66;5;0;4.798724757;4.907114163
1.67;5;0;5.156049071;4.871348975
1.68;5;0;5.496988998;4.843316809
1.69;5;0;5.070256613;4.926768912
1.7;5;0;5.237745126;4.91452497
1.71;5;0;5.344755007;4.912591716
1.72;5;0;4.874810811;4.991532948
1.73;5;0;5.181645178;4.949967965
1.74;5;0;5.319232711;4.938368438
1.75;5;0;4.85810404;5.012154342
1.76;5;0;5.167838344;4.967045049
1.77;5;0;5.219908364;4.964789585
1.78;5;0;4.803805114;5.028264809
1.79;5;0;5.185952758;4.97058935
1.8;5;0;5.245694578;4.96672284
1.81;5;0;4.827484071;5.030198065
1.82;5;0;5.131392885;4.983155508
1.83;5;0;5.163595488;4.981222253
1.84;5;0;4.803405172;5.034386787
1.85;5;0;5.181186903;4.976389115
1.86;5;0;5.223071892;4.974133651
1.87;5;0;4.826774817;5.033420159
1.88;5;0;5.171004901;4.980255626
1.89;5;0;5.197140304;4.979611207
1.9;5;0;4.790258631;5.039542137
1.91;5;0;5.169342106;4.980577835
1.92;5;0;5.206661391;4.97832237
1.93;5;0;4.812719651;5.036642252
1.94;5;0;5.171893809;4.980900044
1.95;5;0;5.165028545;4.984766555
1.96;5;0;4.782518772;5.040508765
1.97;5;0;5.195153895;4.976711324
1.98;5;0;5.227459605;4.975744697
1.99;5;0;4.820178406;5.036320043
2;5;0;5.182010788;4.980255626
2.01;5;0;5.180461977;4.983477718
2.02;5;0;4.783207906;5.041475393
2.03;5;0;5.197096426;4.977355743
2.04;5;0;5.240234809;4.974778069
2.05;5;0;4.8293932;5.035997834
2.06;5;0;5.161585556;4.984122136
2.07;5;0;5.195041553;4.981866672
2.08;5;0;4.792622472;5.040830975
2.09;5;0;5.188757262;4.979288998
2.1;5;0;5.218253308;4.97832237
2.11;5;0;4.808162434;5.038897718
2.12;5;0;5.181027269;4.980900044
2.13;5;0;5.236451488;4.976066906
2.14;5;0;4.766529558;5.045341906
2.15;5;0;5.166975525;4.98251109
2.16;5;0;5.234485813;4.975744697
2.17;5;0;4.799520383;5.040186556
2.18;5;0;5.161752318;4.983477718
2.19;5;0;5.172840552;4.984444345
2.2;5;0;4.703015249;5.052430514
2.21;5;0;5.181094332;4.977677952
