Zeit [s];r [v];l [v]
;-;-
0;4;3
0;ebbd34;e0162e
0.01;0;0
0.02;0;0
0.03;0;0
0.04;0;0
0.05;0;0
0.06;0;0
0.07;0;0
0.08;0;0
0.09;0;0
0.1;0;0
0.11;0;0
0.12;0;0
0.13;0;0
0.14;0;0
0.15;0;0
0.16;0;0
0.17;0;0
0.18;0;0
0.19;0;0
0.2;0;0
0.21;0;0
0.22;0;0
0.23;0;0
0.24;0;0
0.25;0;0
0.26;0;0
0.27;0;0
0.28;0;0
0.29;0;0
0.3;0;0
0.31;0;0
0.32;0;0
0.33;0;0
0.34;0;0
0.35;0;0
0.36;0;0
0.37;0;0
0.38;0;0
0.39;0;0
0.4;0;0
0.41;0;0
0.42;0;0
0.43;0;0
0.44;0;0
0.45;0;0
0.46;0;0
0.47;0;0
0.48;0;0
0.49;0;0
0.5;1;0
0.51;1;0
0.52;1;0
0.53;1;0
0.54;1;0
0.55;1;0
0.56;1;0
0.57;1;0
0.58;1;0
0.59;1;0
0.6;1;0
0.61;1;0
0.62;1;0
0.63;1;0
0.64;1;0
0.65;1;0
0.66;1;0
0.67;1;0
0.68;1;0
0.69;1;0
0.7;1;0
0.71;1;0
0.72;1;0
0.73;1;0
0.74;1;0
0.75;1;0
0.76;1;0
0.77;1;0
0.78;1;0
0.79;1;0
0.8;1;0
0.81;1;0
0.82;1;0
0.83;1;0
0.84;1;0
0.85;1;0
0.86;1;0
0.87;1;0
0.88;1;0
0.89;1;0
0.9;1;0
0.91;1;0
0.92;1;0
0.93;1;0
0.94;1;0
0.95;1;0
0.96;1;0
0.97;1;0
0.98;1;0
0.99;1;0
1;0;0
1.01;0;0
1.02;0;0
1.03;0;0
1.04;0;0
1.05;0;0
1.06;0;0
1.07;0;0
1.08;0;0
1.09;0;0
1.1;0;0
1.11;0;0
1.12;0;0
1.13;0;0
1.14;0;0
1.15;0;0
1.16;0;0
1.17;0;0
1.18;0;0
1.19;0;0
1.2;0;0
1.21;0;0
1.22;0;0
1.23;0;0
1.24;0;0
1.25;0;0
1.26;0;0
1.27;0;0
1.28;0;0
1.29;0;0
1.3;0;0
1.31;0;0
1.32;0;0
1.33;0;0
1.34;0;0
1.35;0;0
1.36;0;0
1.37;0;0
1.38;0;0
1.39;0;0
1.4;0;0
1.41;0;0
1.42;0;0
1.43;0;0
1.44;0;0
1.45;0;0
1.46;0;0
1.47;0;0
1.48;0;0
1.49;0;0
1.5;5;0
1.51;5;0
1.52;5;0
1.53;5;0
1.54;5;0
1.55;5;0
1.56;5;0
1.57;5;0
1.58;5;0
1.59;5;0
1.6;5;0
1.61;5;0
1.62;5;0
1.63;5;0
1.64;5;0
1.65;5;0
1.66;5;0
1.67;5;0
1.68;5;0
1.69;5;0
1.7;5;0
1.71;5;0
1.72;5;0
1.73;5;0
1.74;5;0
1.75;5;0
1.76;5;0
1.77;5;0
1.78;5;0
1.79;5;0
1.8;5;0
1.81;5;0
1.82;5;0
1.83;5;0
1.84;5;0
1.85;5;0
1.86;5;0
1.87;5;0
1.88;5;0
1.89;5;0
1.9;5;0
1.91;5;0
1.92;5;0
1.93;5;0
1.94;5;0
1.95;5;0
1.96;5;0
1.97;5;0
1.98;5;0
1.99;5;0
2;5;0
2.01;5;0
2.02;5;0
2.03;5;0
2.04;5;0
2.05;5;0
2.06;5;0
2.07;5;0
2.08;5;0
2.09;5;0
2.1;5;0
2.11;5;0
2.12;5;0
2.13;5;0
2.14;5;0
2.15;5;0
2.16;5;0
2.17;5;0
2.18;5;0
2.19;5;0
2.2;5;0
2.21;5;0
2.22;5;0
2.23;5;0
2.24;5;0
2.25;5;0
2.26;5;0
2.27;5;0
2.28;5;0
2.29;5;0
2.3;5;0
2.31;5;0
2.32;5;0
2.33;5;0
2.34;5;0
2.35;5;0
2.36;5;0
2.37;5;0
2.38;5;0
2.39;5;0
2.4;5;0
2.41;5;0
2.42;5;0
2.43;5;0
2.44;5;0
2.45;5;0
2.46;5;0
2.47;5;0
2.48;5;0
2.49;5;0
2.5;5;0
2.51;0;0
2.52;0;0
2.53;0;0
2.54;0;0
2.55;0;0
2.56;0;0
2.57;0;0
2.58;0;0
2.59;0;0
2.6;0;0
2.61;0;0
2.62;0;0
2.63;0;0
2.64;0;0
2.65;0;0
2.66;0;0
2.67;0;0
2.68;0;0
2.69;0;0
2.7;0;0
2.71;0;0
2.72;0;0
2.73;0;0
2.74;0;0
2.75;0;0
2.76;0;0
2.77;0;0
2.78;0;0
2.79;0;0
2.8;0;0
2.81;0;0
2.82;0;0
2.83;0;0
2.84;0;0
2.85;0;0
2.86;0;0
2.87;0;0
2.88;0;0
2.89;0;0
2.9;0;0
2.91;0;0
2.92;0;0
2.93;0;0
2.94;0;0
2.95;0;0
2.96;0;0
2.97;0;0
2.98;0;0
2.99;0;0
3;0;0
3.01;0;0
3.02;0;0
3.03;0;0
3.04;0;0
3.05;0;0
3.06;0;0
3.07;0;0
3.08;0;0
3.09;0;0
3.1;0;0
3.11;0;0
3.12;0;0
3.13;0;0
3.14;0;0
3.15;0;0
3.16;0;0
3.17;0;0
3.18;0;0
3.19;0;0
3.2;0;0
3.21;0;0
3.22;0;0
3.23;0;0
3.24;0;0
3.25;0;0
3.26;0;0
3.27;0;0
3.28;0;0
3.29;0;0
3.3;0;0
3.31;0;0
3.32;0;0
3.33;0;0
3.34;0;0
3.35;0;0
3.36;0;0
3.37;0;0
3.38;0;0
3.39;0;0
3.4;0;0
3.41;0;0
3.42;0;0
3.43;0;0
3.44;0;0
3.45;0;0
3.46;0;0
3.47;0;0
3.48;0;0
3.49;0;0
3.5;0;0
3.51;8;0
3.52;8;0
3.53;8;0
3.54;8;0
3.55;8;0
3.56;8;0
3.57;8;0
3.58;8;0
3.59;8;0
3.6;8;0
3.61;8;0
3.62;8;0
3.63;8;0
3.64;8;0
3.65;8;0
3.66;8;0
3.67;8;0
3.68;8;0
3.69;8;0
3.7;8;0
3.71;8;0
3.72;8;0
3.73;8;0
3.74;8;0
3.75;8;0
3.76;8;0
3.77;8;0
3.78;8;0
3.79;8;0
3.8;8;0
3.81;8;0
3.82;8;0
3.83;8;0
3.84;8;0
3.85;8;0
3.86;8;0
3.87;8;0
3.88;8;0
3.89;8;0
3.9;8;0
3.91;8;0
3.92;8;0
3.93;8;0
3.94;8;0
3.95;8;0
3.96;8;0
3.97;8;0
3.98;8;0
3.99;8;0
4;8;0
4.01;8;0
4.02;8;0
4.03;8;0
4.04;8;0
4.05;8;0
4.06;8;0
4.07;8;0
4.08;8;0
4.09;8;0
4.1;8;0
4.11;8;0
4.12;8;0
4.13;8;0
4.14;8;0
4.15;8;0
4.16;8;0
4.17;8;0
4.18;8;0
4.19;8;0
4.2;8;0
4.21;8;0
4.22;8;0
4.23;8;0
4.24;8;0
4.25;8;0
4.26;8;0
4.27;8;0
4.28;8;0
4.29;8;0
4.3;8;0
4.31;8;0
4.32;8;0
4.33;8;0
4.34;8;0
4.35;8;0
4.36;8;0
4.37;8;0
4.38;8;0
4.39;8;0
4.4;8;0
4.41;8;0
4.42;8;0
4.43;8;0
4.44;8;0
4.45;8;0
4.46;8;0
4.47;8;0
4.48;8;0
4.49;8;0
4.5;8;0
4.51;0;0
4.52;0;0
4.53;0;0
4.54;0;0
4.55;0;0
4.56;0;0
4.57;0;0
4.58;0;0
4.59;0;0
4.6;0;0
4.61;0;0
4.62;0;0
4.63;0;0
4.64;0;0
4.65;0;0
4.66;0;0
4.67;0;0
4.68;0;0
4.69;0;0
4.7;0;0
4.71;0;0
4.72;0;0
4.73;0;0
4.74;0;0
4.75;0;0
4.76;0;0
4.77;0;0
4.78;0;0
4.79;0;0
4.8;0;0
4.81;0;0
4.82;0;0
4.83;0;0
4.84;0;0
4.85;0;0
4.86;0;0
4.87;0;0
4.88;0;0
4.89;0;0
4.9;0;0
4.91;0;0
4.92;0;0
4.93;0;0
4.94;0;0
4.95;0;0
4.96;0;0
4.97;0;0
4.98;0;0
4.99;0;0
5;0;0
5.01;0;0
5.02;0;0
5.03;0;0
5.04;0;0
5.05;0;0
5.06;0;0
5.07;0;0
5.08;0;0
5.09;0;0
5.1;0;0
5.11;0;0
5.12;0;0
5.13;0;0
5.14;0;0
5.15;0;0
5.16;0;0
5.17;0;0
5.18;0;0
5.19;0;0
5.2;0;0
5.21;0;0
5.22;0;0
5.23;0;0
5.24;0;0
5.25;0;0
5.26;0;0
5.27;0;0
5.28;0;0
5.29;0;0
5.3;0;0
5.31;0;0
