Zeit [s];r [v];l [v];u [v];y [v]
;-;-;-;-
0;4;3;1;1
0;ebbd34;e0162e;8888FF;0000AA
0;0;0;0.061201991;-0.005508182
0.01;0;0;0.058413618;-0.004863787
0.02;0;0;0.051533848;-0.003897194
0.03;0;0;0.036726995;-0.002286205
0.04;0;0;0.04928136;-0.003252798
0.05;0;0;0.05902289;-0.003897194
0.06;0;0;0.076435789;-0.005185985
0.07;0;0;0.069811731;-0.004219391
0.08;0;0;0.066000508;-0.003574996
0.09;0;0;0.072417778;-0.003897194
0.1;0;0;0.071930815;-0.003574996
0.11;0;0;0.08550803;-0.004541589
0.12;0;0;0.078372547;-0.003574996
0.13;0;0;0.05973001;-0.00164181
0.14;0;0;0.08609284;-0.003897194
0.15;0;0;0.07486596;-0.002608403
0.16;0;0;0.094835982;-0.004219391
0.17;0;0;0.108924621;-0.005185985
0.18;0;0;0.091560645;-0.003252798
0.19;0;0;0.10846212;-0.004541589
0.2;0;0;0.119226499;-0.005185985
0.21;0;0;0.094702579;-0.002608403
0.22;0;0;0.12899249;-0.005508182
0.23;0;0;0.10114431;-0.002608403
0.24;0;0;0.124694305;-0.004541589
0.25;0;0;0.110398877;-0.002930601
0.26;0;0;0.123464666;-0.003897194
0.27;0;0;0.119397731;-0.003252798
0.28;0;0;0.172098929;-0.007763566
0.29;0;0;0.131720846;-0.003574996
0.3;0;0;0.127398198;-0.002930601
0.31;0;0;0.12972407;-0.002930601
0.32;0;0;0.146369832;-0.004219391
0.33;0;0;0.156878499;-0.004863787
0.34;0;0;0.099879114;0.000613574
0.35;0;0;0.14235182;-0.003252798
0.36;0;0;0.191473046;-0.007441368
0.37;0;0;0.168739112;-0.004863787
0.38;0;0;0.158279369;-0.003574996
0.39;0;0;0.150376748;-0.002608403
0.4;0;0;0.191826605;-0.006152578
0.41;0;0;0.182389711;-0.004863787
0.42;0;0;0.182669885;-0.004541589
0.43;0;0;0.218494071;-0.007441368
0.44;0;0;0.195760137;-0.004863787
0.45;0;0;0.174560476;-0.002608403
0.46;0;0;0.205270415;-0.005185985
0.47;0;0;0.17358655;-0.001964008
0.48;0;0;0.189465175;-0.003252798
0.49;1;0;0.202786677;-0.004219391
0.5;1;0;10;-0.002608403
0.51;1;0;7.611966817;0.329255461
0.52;1;0;0;1.165361417
0.53;1;0;0;1.247522318
0.54;1;0;1.016556755;0.970753003
0.55;1;0;1.773666276;0.90470218
0.56;1;0;0.564083413;1.020371685
0.57;1;0;0.995414116;0.980096779
0.58;1;0;1.648448302;0.922745329
0.59;1;0;0.843404192;1.00071753
0.6;1;0;1.086274001;0.978807983
0.61;1;0;1.615031449;0.932733502
0.62;1;0;1.077719373;0.985896365
0.63;1;0;1.439751653;0.954320844
0.64;1;0;1.193185802;0.97977458
0.65;1;0;1.398977133;0.962698023
0.66;1;0;1.260322375;0.977841385
0.67;1;0;1.073849172;0.99620674
0.68;1;0;1.395478736;0.967531011
0.69;1;0;1.267308228;0.981385576
0.7;1;0;1.332201419;0.976874787
0.71;1;0;1.261055019;0.984929768
0.72;1;0;1.219315671;0.989762756
0.73;1;0;1.28830028;0.984285369
0.74;1;0;1.100292788;1.002328526
0.75;1;0;1.291764182;0.984929768
0.76;1;0;1.178425044;0.99620674
0.77;1;0;1.328215128;0.982996572
0.78;1;0;1.270110115;0.989440557
0.79;1;0;1.37873032;0.980418979
0.8;1;0;1.344150952;0.984929768
0.81;1;0;1.17711197;1.001039729
0.82;1;0;1.172706795;1.001361928
0.83;1;0;1.171625895;1.001361928
0.84;1;0;1.381764375;0.982352174
0.85;1;0;1.069991525;1.011672304
0.86;1;0;1.615626144;0.961731425
0.87;1;0;0.840500354;1.034226254
0.88;1;0;1.708334046;0.953676446
0.89;1;0;0.81788146;1.037126048
0.9;1;0;1.132095395;1.006194917
0.91;1;0;1.392098016;0.982352174
0.92;1;0;1.155504952;1.00490612
0.93;1;0;1.058531468;1.013283301
0.94;1;0;1.438208027;0.978163584
0.95;1;0;1.129759461;1.007483714
0.96;1;0;1.105920054;1.00909471
0.97;1;0;1.564100652;0.967208811
0.98;1;0;0.917087348;1.027782268
0.99;0;0;1.890274961;0.938210887
1;0;0;0;1.007483714
1.01;0;0;0;0.872804474
1.02;0;0;0;0.836395987
1.03;0;0;0;0.776144791
1.04;0;0;0;0.714604817
1.05;0;0;0;0.672396784
1.06;0;0;0;0.590558332
1.07;0;0;0;0.542228553
1.08;0;0;0;0.484232834
1.09;0;0;0;0.432358898
1.1;0;0;0;0.367919244
1.11;0;0;0;0.332477442
1.12;0;0;0;0.292847071
1.13;0;0;0;0.254505499
1.14;0;0;0;0.213264152
1.15;0;0;0;0.182655345
1.16;0;0;0;0.150113354
1.17;0;0;0;0.119504555
1.18;0;0;0.225654663;0.092439936
1.19;0;0;0.331288368;0.076330045
1.2;0;0;0.327988585;0.071174881
1.21;0;0;0.214221046;0.076330045
1.22;0;0;0.343380281;0.059253562
1.23;0;0;0.224754211;0.065697518
1.24;0;0;0.262112697;0.057642574
1.25;0;0;0.287964123;0.051198618
1.26;0;0;0.268810172;0.049265432
1.27;0;0;0.269090361;0.045721256
1.28;0;0;0.290083251;0.040566092
1.29;0;0;0.272207862;0.039277301
1.3;0;0;0.301894972;0.033799939
1.31;0;0;0.246429867;0.036377521
1.32;0;0;0.307058171;0.028322578
1.33;0;0;0.263100123;0.030255764
1.34;0;0;0.346486825;0.020589832
1.35;0;0;0.237066418;0.028966973
1.36;0;0;0.28567624;0.022523019
1.37;0;0;0.321500444;0.017690053
1.38;0;0;0.296720824;0.018656646
1.39;0;0;0.281913985;0.018656646
1.4;0;0;0.331546655;0.012857087
1.41;0;0;0.274802994;0.017045657
1.42;0;0;0.250534799;0.01801225
1.43;0;0;0.279199057;0.014145878
1.44;0;0;0.361051479;0.005768737
1.45;0;0;0.249073956;0.015434669
1.46;0;0;0.35854331;0.004479946
1.47;0;0;0.312028144;0.008346319
1.48;0;0;0.269604374;0.011568296
1.49;5;0;0.253263262;0.012212691
1.5;5;0;10;-0.004219391
1.51;5;0;10;0.576059397
1.52;5;0;10;1.073212374
1.53;5;0;10;1.593887328
1.54;5;0;10;2.048190458
1.55;5;0;10;2.441920943
1.56;5;0;10;2.897515536
1.57;5;0;10;3.31541381
1.58;5;0;10;3.700770764
1.59;5;0;10;4.089673269
1.6;5;0;6.62753502;4.437656788
1.61;5;0;3.948423789;4.718944304
1.62;5;0;2.628463459;4.857816204
1.63;5;0;5.619701055;4.598760656
1.64;5;0;5.655317911;4.62421509
1.65;5;0;2.978502981;4.891970343
1.66;5;0;5.860293071;4.640325494
1.67;5;0;3.686225585;4.86168271
1.68;5;0;3.405770578;4.896803477
1.69;5;0;6.928140708;4.587161169
1.7;5;0;3.246086559;4.948034711
1.71;5;0;4.160872625;4.869415722
1.72;5;0;7.422151349;4.585227921
1.73;5;0;6.344360573;4.711855721
1.74;5;0;5.506178824;4.807873851
1.75;5;0;4.283902789;4.931602048
1.76;5;0;4.878781548;4.882948494
1.77;5;0;4.631570228;4.913558343
1.78;5;0;4.503269232;4.931279839
1.79;5;0;5.159265354;4.877148734
1.8;5;0;5.28182694;4.874893272
1.81;5;0;5.169892184;4.893903597
1.82;5;0;5.092991204;4.908402999
1.83;5;0;5.416293963;4.885848374
1.84;5;0;5.027157311;4.929024376
1.85;5;0;4.976084134;4.938690647
1.86;5;0;5.529536091;4.893259179
1.87;5;0;4.783668084;4.968011677
1.88;5;0;5.031021745;4.948034711
1.89;5;0;5.05794357;4.949323547
1.9;5;0;4.929898231;4.964467376
1.91;5;0;5.129943433;4.949001338
1.92;5;0;5.080916008;4.957056566
1.93;5;0;4.756988024;4.989277484
1.94;5;0;5.334733753;4.938046229
1.95;5;0;4.939971;4.978000161
1.96;5;0;4.789166405;4.993143995
1.97;5;0;5.353103201;4.942879365
1.98;5;0;5.022526512;4.976711324
1.99;5;0;4.718800463;5.005710156
2;5;0;5.441028851;4.940301692
2.01;5;0;4.804609292;5.001843645
2.02;5;0;4.88190825;4.994755041
2.03;5;0;5.172478891;4.968978304
2.04;5;0;4.989453408;4.987666438
2.05;5;0;4.777275635;5.007643412
2.06;5;0;5.45858862;4.945779247
2.07;5;0;5.100649727;4.981866672
2.08;5;0;4.671108664;5.021820622
2.09;5;0;5.376970994;4.956734357
2.1;5;0;4.852813084;5.006998993
2.11;5;0;5.076384736;4.986377601
2.12;5;0;5.012013995;4.993143995
2.13;5;0;5.18213984;4.97832237
2.14;5;0;4.837754067;5.010865505
2.15;5;0;5.41268698;4.958345402
2.16;5;0;5.187978926;4.981544462
2.17;5;0;4.730052773;5.024076087
2.18;5;0;5.341042479;4.967367258
2.19;5;0;4.758324278;5.022142831
2.2;5;0;4.955556649;5.002810272
2.21;5;0;5.128751168;4.987022019
2.22;5;0;5.214233209;4.980255626
2.23;5;0;4.846832492;5.014732016
