Zeit [s];r [v];l [v];u [v];y [v]
;-;-;-;-
0;4;2;1;1
0;ebbd34;e0162e;8888FF;0000AA
0;0;0;0.040483126447985;-0.00364348141851859
0.01;0;0;0.0142685740980798;-0.00102392300063827
0.02;0;0;0.0492563274482236;-0.00409968347627339
0.03;0;0;0.0211996511527732;-0.00128174804019085
0.04;0;0;0.0319220646247802;-0.00215521183012575
0.05;0;0;0.0360942590500011;-0.00237676562709645
0.06;0;0;0.0394147936345248;-0.00250584476630811
0.07;0;0;0.024893061349142;-0.00101989993206871
0.08;0;0;0.0188326597302245;-0.000401613786689704
0.09;0;0;0.0219374904100621;-0.000652361854660688
0.1;0;0;0.0182790244701239;-0.000276502643641998
0.11;0;0;0.0180730562063842;-0.000238215314281363
0.12;0;0;0.0248098132855104;-0.000827508081703314
0.13;0;0;0.00837144401397957;0.000711052886240492
0.14;0;0;0.0287732802744838;-0.00117590189437637
0.15;0;0;0.0452611577216419;-0.00257581788898157
0.16;0;0;0.0359218516283849;-0.00155129333778055
0.17;0;0;0;0.00208191942771737
0.18;0;0;0.0250826426847562;-0.000464957952037392
0.19;0;0;0.0301525500135101;-0.000888038337727076
0.2;0;0;0.0275187806358039;-0.000587567784061043
0.21;0;0;0.025560215027124;-0.000369327753553327
0.22;0;0;0.0219618876706551;-1.90977384415796e-05
0.23;0;0;0.0218008618824323;-3.24129827699703e-06
0.24;0;0;0.0184933638327253;0.00029466504550442
0.25;0;0;0;0.00196642126353399
0.26;0;0;0.0189899289613238;0.000228926584323654
0.27;0;0;0.00542348024519636;0.00143355507758176
0.28;0;0;0.0122996382895967;0.000712304047857252
0.29;0;0;0.0175601532624227;0.00018797882889219
0.3;0;0;0.0276808646350633;-0.000736312267829703
0.31;0;0;0.0251328835711417;-0.00045440023836442
0.32;0;0;0.0218288153860019;-0.000124576941639459
0.33;0;0;0.0327965613297541;-0.00110277573777539
0.34;0;0;0;0.00251806281582634
0.35;0;0;0.00977650956074674;0.00104779852400151
0.36;0;0;0.0289867165423124;-0.00075596288052168
0.37;0;0;0.0310170707517705;-0.000884697414365842
0.38;0;0;0.0204182607305146;0.000132388168484053
0.39;0;0;0.0101075724902193;0.00105089381791214
0.4;0;0;0.0223107053974547;-0.000122452005764846
0.41;0;0;0.0331448148499918;-0.00108877529813428
0.42;0;0;0.0274268363762504;-0.000496387566855938
0.43;0;0;0.0167304615961476;0.000501742425647941
0.44;0;0;0.00379360121764543;0.00163022112212927
0.45;0;0;0.0188594206593944;0.000157852984559856
0.46;0;0;0.00800914842888409;0.00112310227860481
0.47;0;0;0.0251173095383816;-0.000496853834785219
0.48;0;0;0.0188494167825085;0.000102746076942641
0.49;0;0;0.0169404159804345;0.000267217142033898
0.5;1;0;10;-0.0015421061596994
0.51;1;0;7.1638887283152;0.357022818663307
0.52;1;0;2.76296812679113;0.799032619825808
0.53;1;0;1.60827587162296;0.917309736879143
0.54;1;0;1.37629234617047;0.944094701552456
0.55;1;0;1.36103463099169;0.949461131252757
0.56;1;0;1.34908943049313;0.954146118198323
0.57;1;0;1.34490188532439;0.95779827421187
0.58;1;0;1.32942941898972;0.962205204837579
0.59;1;0;1.34046190615624;0.963911908846447
0.6;1;0;1.33687002495653;0.966812898582725
0.61;1;0;1.32765137753938;0.970013083718629
0.62;1;0;1.35223195616488;0.96994275381351
0.63;1;0;1.36851743000049;0.970624006907946
0.64;1;0;1.32691986062558;0.976466073004788
0.65;1;0;1.323159339394;0.978485514279259
0.66;1;0;1.36430405805323;0.976319238108222
0.67;1;0;1.33515242934726;0.980634367281641
0.68;1;0;1.35621225351475;0.980122242123424
0.69;1;0;1.32395653712775;0.984445096033357
0.7;1;0;1.34692752318637;0.983488771379371
