Epoche;Durchschnitt
Fehler;-
0;1
0;8325C6
0;129.429472
1;127.584315
2;123.471369
3;118.293991
4;111.749036
5;104.420355
6;96.691643
7;89.432141
8;82.380676
9;75.647322
10;69.548872
11;63.823981
12;58.341504
13;53.281817
14;48.677592
15;44.506498
16;40.715479
17;37.289548
18;34.189585
19;31.388018
20;28.854174
21;26.565805
22;24.495259
23;22.624214
24;20.928091
25;19.394204
26;18.007724
27;16.757474
28;15.628255
29;14.608688
30;13.684742
31;12.848066
32;12.090917
33;11.406534
34;10.789110
35;10.229058
36;9.722979
37;9.266704
38;8.854240
39;8.478956
40;8.137170
41;7.824133
42;7.537636
43;7.272408
44;7.025393
45;6.798159
46;6.587441
47;6.395925
48;6.219532
49;6.059169
50;5.910716
51;5.775796
52;5.650280
53;5.533379
54;5.427578
55;5.331699
56;5.244267
57;5.164890
58;5.092830
59;5.027850
60;4.969134
61;4.915911
62;4.867847
63;4.824585
64;4.785448
65;4.750172
66;4.718227
67;4.689307
68;4.663152
69;4.639288
70;4.617686
71;4.598059
72;4.580303
73;4.564109
74;4.549484
75;4.536154
76;4.524078
77;4.513081
78;4.502945
79;4.493707
80;4.485381
81;4.477818
82;4.470902
83;4.464670
84;4.458926
85;4.453667
86;4.448809
87;4.444286
88;4.440208
89;4.436539
90;4.433122
91;4.429915
92;4.426996
93;4.424339
94;4.421838
95;4.419560
96;4.417509
97;4.415664
98;4.413964
99;4.412435
100;4.411030
101;4.409753
102;4.408603
103;4.407568
104;4.406604
105;4.405729
106;4.404884
107;4.404115
108;4.403402
109;4.402760
110;4.402161
111;4.401622
112;4.401137
113;4.400634
114;4.400127
115;4.399656
116;4.399196
117;4.398774
118;4.398394
119;4.398053
120;4.397727
121;4.397428
122;4.397100
123;4.396788
124;4.396500
125;4.396240
126;4.396006
127;4.395794
128;4.395517
129;4.395251
130;4.395011
131;4.394795
132;4.394601
133;4.394372
134;4.394158
135;4.393966
136;4.393779
137;4.393610
138;4.393459
139;4.393322
140;4.393199
141;4.393089
142;4.392989
143;4.392866
144;4.392754
145;4.392653
146;4.392563
147;4.392481
148;4.392389
149;4.392307
150;4.392231
151;4.392145
152;4.392068
153;4.391998
154;4.391935
155;4.391874
156;4.391817
157;4.391766
158;4.391712
159;4.391644
160;4.391581
161;4.391524
162;4.391473
163;4.391426
164;4.391374
165;4.391327
166;4.391242
167;4.391146
168;4.391021
169;4.390909
170;4.390800
171;4.390671
172;4.390556
173;4.390440
174;4.390336
175;4.390237
176;4.390144
177;4.390060
178;4.389985
179;4.389917
180;4.389822
181;4.389737
182;4.389660
183;4.389586
184;4.389519
185;4.389429
186;4.389342
187;4.389263
188;4.389187
189;4.389118
190;4.388996
191;4.388875
192;4.388744
193;4.388626
194;4.388520
195;4.388420
196;4.388317
197;4.388225
