Epoche;Durchschnitt
Fehler;-
0;1
0;"00AAFF"
0;179.785308
1;177.702879
2;172.218170
3;164.942989
4;156.797078
5;148.240198
6;135.627970
7;123.261966
8;112.060197
9;101.965086
10;92.869252
11;84.680543
12;77.267509
13;70.537759
14;64.492323
15;59.030441
16;54.115969
17;49.736245
18;45.692712
19;42.037433
20;38.719032
21;35.702696
22;32.967437
23;30.479121
24;28.198669
25;26.090305
26;24.228182
27;22.482555
28;20.919683
29;19.474350
30;18.162893
31;16.963739
32;15.866446
33;14.885008
34;13.987369
35;13.161004
36;12.398512
37;11.699715
38;11.057702
39;10.462447
40;9.915850
41;9.405042
42;8.942132
43;8.521438
44;8.142681
45;7.810510
46;7.511620
47;7.237926
48;7.014614
49;6.831096
50;6.656507
51;6.497837
52;6.359867
53;6.209879
54;6.069382
55;5.945575
56;5.822898
57;5.711363
58;5.610213
59;5.523004
60;5.454912
61;5.414155
62;5.387027
63;5.338519
64;5.299290
65;5.261322
66;5.226227
67;5.186560
68;5.174056
69;5.140822
70;5.113130
71;5.106701
72;5.097482
73;5.106255
74;5.112323
75;5.096893
76;5.057164
77;5.020954
78;5.021130
79;5.002082
80;4.971702
81;4.951694
82;4.959362
83;4.933562
84;4.907519
85;4.885377
86;4.873348
87;4.855327
88;4.910037
89;4.941039
90;4.922939
91;4.900972
92;4.877350
93;4.901393
94;4.923776
95;4.923089
96;4.914775
97;4.893524
98;4.874436
99;4.893872
100;4.884773
101;4.918578
102;4.890357
103;4.906964
104;4.882117
105;4.859470
106;4.849255
107;4.836744
108;4.813377
109;4.802753
110;4.788992
111;4.769904
112;4.762701
113;4.752125
114;4.732037
115;4.744720
116;4.737375
117;4.719155
118;4.703265
119;4.736840
120;4.726344
121;4.719299
122;4.699095
123;4.680747
124;4.669016
125;4.692973
126;4.679614
127;4.658915
128;4.659349
129;4.640300
130;4.621080
131;4.604899
132;4.596253
133;4.588376
134;4.647120
135;4.648629
136;4.645526
137;4.663827
138;4.667668
139;4.654152
140;4.639002
141;4.639831
142;4.626641
143;4.625373
144;4.619966
145;4.623187
146;4.624440
147;4.625507
148;4.624972
149;4.613759
150;4.664902
151;4.669153
152;4.683693
153;4.675022
154;4.650525
155;4.635956
156;4.614099
157;4.598627
158;4.584949
159;4.573770
160;4.568402
161;4.554996
162;4.544045
163;4.534571
164;4.592921
165;4.583086
166;4.574196
167;4.591361
168;4.591866
169;4.577340
170;4.560338
171;4.586325
172;4.573740
173;4.571443
174;4.571260
175;4.565347
176;4.555965
177;4.579645
178;4.591866
179;4.621807
180;4.639761
181;4.625184
182;4.625954
183;4.615713
184;4.613634
185;4.617003
186;4.601087
187;4.589083
188;4.592652
189;4.583468
190;4.570639
191;4.559165
192;4.571535
193;4.557869
194;4.541507
195;4.527712
196;4.519734
197;4.510561
