Zeit [s];y
;-
0;1
0;"06EDFF"
0.010000;0.000000
0.020000;0.000000
0.030000;0.000000
0.040000;0.000000
0.050000;0.000000
0.060000;0.000000
0.070000;0.000000
0.080000;0.000000
0.090000;0.000000
0.100000;0.000000
0.120000;0.000000
0.130000;0.000000
0.140000;0.000000
0.150000;0.000000
0.160000;0.000000
0.170000;0.000000
0.180000;0.000000
0.190000;0.000000
0.200000;0.000000
0.210000;0.000000
0.220000;0.000000
0.230000;0.000000
0.240000;0.000000
0.250000;0.000000
0.260000;0.000000
0.270000;0.000000
0.280000;0.000000
0.290000;0.000000
0.300000;0.000000
0.310000;0.000000
0.320000;0.000000
0.330000;0.000000
0.340000;0.000000
0.350000;0.000000
0.360000;0.000000
0.370000;0.000000
0.380000;0.000000
0.390000;0.000000
0.400000;0.000000
0.410000;0.000000
0.420000;0.000000
0.430000;0.000000
0.440000;0.000000
0.450000;0.000000
0.460000;0.000000
0.470000;0.000000
0.480000;0.000000
0.490000;0.000000
0.500000;0.216619
0.510000;0.622604
0.520000;0.920358
0.530000;1.072347
0.540000;1.123375
0.550000;1.123374
0.560000;1.105133
0.570000;1.084732
0.580000;1.067818
0.590000;1.055117
0.600000;1.045707
0.610000;1.038506
0.620000;1.032734
0.630000;1.027926
0.640000;1.023836
0.650000;1.020327
0.660000;1.017318
0.670000;1.014742
0.680000;1.012543
0.690000;1.010670
0.700000;1.009077
0.710000;1.007721
0.720000;1.006568
0.730000;1.005587
0.740000;1.004753
0.750000;1.004043
0.760000;1.003439
0.770000;1.002925
0.780000;1.002488
0.790000;1.002116
0.800000;1.001799
0.810000;1.001530
0.820000;1.001301
0.830000;1.001106
0.840000;1.000940
0.850000;1.000799
0.860000;1.000678
0.870000;1.000576
0.880000;1.000489
0.890000;1.000415
0.900000;1.000352
0.910000;1.000299
0.920000;1.000253
0.930000;1.000215
0.940000;1.000182
0.950000;1.000153
0.960000;1.000130
0.970000;1.000109
0.980000;1.000092
0.990000;1.000077
1.000000;0.964354
1.010000;0.894195
1.020000;0.827819
1.030000;0.766318
1.040000;0.709385
1.050000;0.656681
1.060000;0.607893
1.070000;0.562730
1.080000;0.520922
1.090000;0.482220
1.100000;0.446393
1.110000;0.413229
1.120000;0.382528
1.130000;0.354108
1.140000;0.327799
1.150000;0.303446
1.160000;0.280901
1.170000;0.260032
1.180000;0.240713
1.190000;0.222829
1.200000;0.206274
1.210000;0.190949
1.220000;0.176762
1.230000;0.163630
1.240000;0.151473
1.250000;0.140219
1.260000;0.129802
1.270000;0.120158
1.280000;0.111231
1.290000;0.102967
1.300000;0.095317
1.310000;0.088235
1.320000;0.081680
1.330000;0.075612
1.340000;0.069994
1.350000;0.064794
1.360000;0.059980
1.370000;0.055524
1.380000;0.051399
1.390000;0.047580
1.400000;0.044045
1.410000;0.040773
1.420000;0.037744
