Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF"
0;4.320505;6.358531;8.628498;1.019837;10.000000;0.100000
1;4.320505;7.470016;1.455733;1.019837;10.000000;0.100000
2;4.320505;7.470016;1.455733;1.019837;10.000000;0.100000
3;15.577334;17.852336;0.377361;1.753349;10.000000;0.100000
4;15.577334;17.852336;0.377361;1.753349;10.000000;0.100000
5;9.699393;16.265069;-1.228828;2.376995;10.000000;0.100000
6;9.699393;16.265069;-1.228828;2.376995;10.000000;0.100000
7;9.699393;16.265069;-1.228828;2.376995;10.000000;0.100000
8;4.279687;27.092864;5.306196;0.493164;10.000000;0.100000
9;12.013230;18.651988;-0.807672;4.024232;10.000000;0.100000
10;12.013230;18.651988;-0.807672;4.024232;10.000000;0.100000
11;12.013230;18.651988;-0.807672;4.024232;10.000000;0.100000
12;12.013230;18.651988;-0.807672;4.024232;10.000000;0.100000
13;16.147362;23.006264;-1.514100;2.570554;10.000000;0.100000
14;15.155661;19.889857;-1.240864;3.770361;10.000000;0.100000
15;15.155661;19.889857;-1.240864;3.770361;10.000000;0.100000
16;12.815467;30.200563;-1.315281;3.155476;10.000000;0.100000
17;12.815467;30.200563;-1.315281;3.155476;10.000000;0.100000
18;12.815467;30.200563;-1.315281;3.155476;10.000000;0.100000
19;10.594118;30.775696;-0.828654;4.203229;10.000000;0.100000
20;10.594118;30.775696;-0.828654;4.203229;10.000000;0.100000
21;14.115437;34.445150;-0.856886;4.486433;10.000000;0.100000
22;12.690039;38.469289;-1.449427;2.779219;10.000000;0.100000
23;12.690039;38.469289;-1.449427;2.779219;10.000000;0.100000
24;12.690039;38.469289;-1.449427;2.779219;10.000000;0.100000
25;12.690039;38.469289;-1.449427;2.779219;10.000000;0.100000
26;6.989613;41.598737;-0.636914;0.381817;10.000000;0.100000
27;6.531441;43.417666;-1.140863;0.515851;10.000000;0.100000
28;6.531441;43.417666;-1.140863;0.515851;10.000000;0.100000
29;6.531441;43.417666;-1.140863;0.515851;10.000000;0.100000
30;6.531441;43.417666;-1.140863;0.515851;10.000000;0.100000
31;6.989613;48.991084;-1.098414;0.313783;10.000000;0.100000
32;12.896520;54.816710;-1.050692;2.838224;10.000000;0.100000
33;12.896520;54.816710;-1.050692;2.838224;10.000000;0.100000
34;12.896520;54.816710;-1.050692;2.838224;10.000000;0.100000
35;9.367020;60.312113;-0.604837;1.655992;10.000000;0.100000
36;7.918869;60.312113;-1.613618;0.060888;10.000000;0.100000
37;9.408201;60.312113;-1.613618;1.433323;10.000000;0.100000
38;9.408201;60.312113;-1.613618;1.433323;10.000000;0.100000
39;9.408201;60.312113;-1.613618;1.433323;10.000000;0.100000
40;9.408201;60.312113;-1.613618;1.433323;10.000000;0.100000
41;6.481376;60.312113;-1.397102;0.294521;10.000000;0.100000
42;6.481376;60.312113;-1.397102;0.294521;10.000000;0.100000
43;6.481376;60.312113;-1.397102;0.294521;10.000000;0.100000
44;6.000990;69.625692;-0.087146;0.511746;10.000000;0.100000
