Epoche;Durchschnitt
Fehler;-
0;1
0;"3073FF"
0;121.336811
1;119.764190
2;116.601696
3;112.386043
4;107.657328
5;101.607674
6;94.725724
7;88.071072
8;81.470345
9;75.099123
10;68.795501
11;62.908738
12;57.439894
13;52.398467
14;47.815437
15;43.670129
16;39.914928
17;36.520906
18;33.458669
19;30.694637
20;28.188496
21;25.928490
22;23.885735
23;22.039367
24;20.370670
25;18.860087
26;17.495576
27;16.259641
28;15.142808
29;14.134757
30;13.222282
31;12.391973
32;11.640918
33;10.958645
34;10.335301
35;9.766636
36;9.250689
37;8.784214
38;8.360445
39;7.977133
40;7.630355
41;7.316836
42;7.033181
43;6.776433
44;6.544326
45;6.334786
46;6.145821
47;5.975378
48;5.821691
49;5.683166
50;5.558406
51;5.446066
52;5.344937
53;5.253542
54;5.170966
55;5.096578
56;5.029529
57;4.968770
58;4.914016
59;4.864686
60;4.820201
61;4.780002
62;4.743785
63;4.711163
64;4.681718
65;4.654931
66;4.630562
67;4.608631
68;4.588835
69;4.570951
70;4.554855
71;4.540283
72;4.527034
73;4.515071
74;4.504297
75;4.494487
76;4.485598
77;4.477598
78;4.470359
79;4.463843
80;4.457978
81;4.452624
82;4.447738
83;4.443233
84;4.439178
85;4.435487
86;4.432116
87;4.429050
88;4.426290
89;4.423731
90;4.421427
91;4.419273
92;4.417335
93;4.415590
94;4.414011
95;4.412537
96;4.411159
97;4.409911
98;4.408789
99;4.407777
100;4.406825
101;4.405928
102;4.405121
103;4.404319
104;4.403598
105;4.402949
106;4.402365
107;4.401838
108;4.401326
109;4.400855
110;4.400432
111;4.400051
112;4.399708
113;4.399399
114;4.399121
115;4.398857
116;4.398594
117;4.398356
118;4.398143
119;4.397819
120;4.397525
121;4.397252
122;4.397007
123;4.396783
124;4.396581
125;4.396389
126;4.396216
127;4.396061
128;4.395921
129;4.395780
130;4.395653
131;4.395474
132;4.395291
133;4.395126
134;4.394956
135;4.394803
136;4.394665
137;4.394541
138;4.394430
139;4.394256
140;4.394094
141;4.393879
142;4.393644
143;4.393433
144;4.393243
145;4.393071
146;4.392917
147;4.392778
148;4.392654
149;4.392541
150;4.392428
151;4.392311
152;4.392178
153;4.392059
154;4.391952
155;4.391855
156;4.391729
157;4.391518
158;4.391328
159;4.391151
160;4.390989
161;4.390843
162;4.390684
163;4.390500
164;4.390260
165;4.390044
166;4.389698
167;4.389388
168;4.389108
169;4.388822
170;4.388565
171;4.388334
172;4.388064
173;4.387794
174;4.387550
175;4.387308
176;4.387089
177;4.386892
178;4.386715
179;4.386556
180;4.386412
181;4.386282
182;4.386149
183;4.386030
184;4.385922
185;4.385826
186;4.385674
187;4.385538
188;4.385351
189;4.385180
190;4.385015
191;4.384865
192;4.384731
193;4.384610
194;4.384501
195;4.384389
196;4.384289
197;4.384198
