Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"00FFFF";"00FFFF";"00FFFF";"00FFFF";"00FFFF";"00FFFF"
0;7.386395;-4.483474;1.918088;1.365307;10.000000;0.100000
1;5.530259;4.738609;7.000031;1.365307;10.000000;0.100000
2;5.530259;8.748681;6.270638;1.365307;10.000000;0.100000
3;5.530259;8.748681;6.270638;1.365307;10.000000;0.100000
4;5.530259;8.748681;6.270638;1.345247;10.000000;0.100000
5;5.530259;8.748681;1.918088;1.365307;10.000000;0.100000
6;5.530259;8.748681;1.918088;1.365307;10.000000;0.100000
7;5.530259;8.748681;1.918088;1.269797;10.000000;0.100000
8;5.530259;8.748681;1.918088;2.251181;10.000000;0.100000
9;5.530259;8.748681;1.918088;1.365307;10.000000;0.100000
10;5.530259;8.748681;1.918088;1.365307;10.000000;0.100000
11;5.530259;8.748681;1.918088;1.365307;10.000000;0.100000
12;5.530259;11.763090;1.918088;1.365307;10.000000;0.100000
13;5.530259;11.763090;1.918088;1.269797;10.000000;0.100000
14;6.441363;8.748681;1.479456;1.365307;10.000000;0.100000
15;9.652174;8.748681;1.479456;1.365307;10.000000;0.100000
16;6.441363;11.349127;0.327731;0.250248;10.000000;0.100000
17;6.441363;11.349127;1.401447;0.250248;10.000000;0.100000
18;6.441363;11.349127;9.249699;0.250248;10.000000;0.100000
19;6.441363;17.608038;0.066965;2.858176;10.000000;0.100000
20;5.530259;31.120990;0.066965;2.858176;10.000000;0.100000
21;5.530259;31.120990;0.066965;2.858176;10.000000;0.100000
22;4.202009;31.120990;0.682025;1.365307;10.000000;0.100000
23;5.530259;31.120990;1.918088;0.250248;10.000000;0.100000
24;5.530259;57.080703;1.401447;0.250248;10.000000;0.100000
25;5.530259;57.080703;1.401447;0.250248;10.000000;0.100000
26;5.530259;57.080703;0.066965;0.250248;10.000000;0.100000
27;5.530259;57.080703;0.066965;0.250248;10.000000;0.100000
28;5.530259;57.080703;0.066965;0.083474;10.000000;0.100000
29;5.530259;57.080703;0.006452;0.250248;10.000000;0.100000
30;5.530259;57.080703;0.006452;0.250248;10.000000;0.100000
31;5.530259;57.080703;0.006452;0.250248;10.000000;0.100000
32;5.530259;57.080703;0.000927;0.250248;10.000000;0.100000
33;5.530259;57.080703;0.000927;0.470840;10.000000;0.100000
34;5.530259;57.080703;0.000927;0.470840;10.000000;0.100000
35;5.530259;57.080703;0.001106;0.470840;10.000000;0.100000
36;5.530259;92.036487;1.411479;0.470840;10.000000;0.100000
37;5.530259;57.080703;0.066965;0.902928;10.000000;0.100000
38;5.530259;57.080703;0.066965;0.815951;10.000000;0.100000
39;5.530259;92.036487;1.411479;0.815951;10.000000;0.100000
40;5.530259;92.036487;1.411479;0.250248;10.000000;0.100000
41;5.530259;89.879790;1.411479;0.470840;10.000000;0.100000
42;5.530259;92.036487;1.411479;0.815951;10.000000;0.100000
43;5.530259;57.080703;0.066965;0.921165;10.000000;0.100000
44;5.530259;72.897210;0.127285;0.921165;10.000000;0.100000
45;5.530259;72.897210;0.127285;0.921165;10.000000;0.100000
46;5.530259;72.897210;0.127285;0.815951;10.000000;0.100000
