Epoche;Durchschnitt
Fehler;-
0;1
0;"00E2FF"
0;198.023938
1;193.552436
2;190.926134
3;185.717771
4;179.330072
5;172.879787
6;161.954948
7;150.187821
8;138.516474
9;127.328208
10;117.277658
11;107.011553
12;97.614407
13;89.189266
14;81.564186
15;74.735591
16;68.528505
17;62.809467
18;57.607444
19;52.898274
20;48.625195
21;44.825229
22;41.308127
23;38.101505
24;35.174241
25;32.523599
26;30.131100
27;27.955581
28;25.986373
29;24.208027
30;22.604944
31;21.146744
32;19.811227
33;18.623881
34;17.537306
35;16.562122
36;15.672122
37;14.862319
38;14.133645
39;13.455624
40;12.802009
41;12.201197
42;11.676600
43;11.274056
44;10.884741
45;10.524199
46;10.204223
47;9.944428
48;9.671376
49;9.370255
50;9.077050
51;8.800613
52;8.551740
53;8.345038
54;8.140470
55;7.975605
56;7.812128
57;7.648446
58;7.547566
59;7.390515
60;7.243955
61;7.114009
62;6.990124
63;6.866993
64;6.751261
65;6.653945
66;6.551197
67;6.447331
68;6.339121
69;6.239450
70;6.150538
71;6.065633
72;5.962539
73;5.867724
74;5.777619
75;5.721941
76;5.719653
77;5.652012
78;5.585347
79;5.527261
80;5.485937
81;5.440686
82;5.400235
83;5.353537
84;5.306838
85;5.252963
86;5.207131
87;5.200137
88;5.176001
89;5.127279
90;5.121179
91;5.147167
92;5.115907
93;5.080712
94;5.062286
95;5.037871
96;5.031381
97;5.009472
98;4.975660
99;4.969451
100;4.957322
101;4.963225
102;4.983399
103;4.975116
104;4.951578
105;4.928486
106;4.905896
107;4.883062
108;4.860787
109;4.838313
110;4.827819
111;4.815021
112;4.799699
113;4.782733
114;4.805603
115;4.789124
116;4.810379
117;4.823543
118;4.824593
119;4.834534
120;4.828588
121;4.809865
122;4.824129
123;4.820145
124;4.811626
125;4.831758
126;4.829329
127;4.823244
128;4.823235
129;4.834207
130;4.822842
131;4.816705
132;4.805640
133;4.790144
134;4.773945
135;4.769681
136;4.756909
137;4.744851
138;4.733044
139;4.721367
140;4.721554
141;4.766848
142;4.774664
143;4.770948
144;4.762455
145;4.789774
146;4.777676
147;4.773081
148;4.759479
149;4.803056
150;4.809058
151;4.844655
152;4.858466
153;4.866092
154;4.861224
155;4.852733
156;4.840434
157;4.823227
158;4.833766
159;4.810838
160;4.789498
161;4.779006
162;4.756988
163;4.753767
164;4.733458
165;4.717375
166;4.695307
167;4.675054
168;4.689657
169;4.670474
170;4.671385
171;4.656754
172;4.640739
173;4.639168
174;4.627219
175;4.622059
176;4.616894
177;4.613667
178;4.634581
179;4.636328
180;4.636902
181;4.628357
182;4.610041
183;4.600681
184;4.599307
185;4.608021
186;4.591278
187;4.584630
188;4.566849
189;4.552015
190;4.538638
191;4.559305
192;4.552312
193;4.539153
194;4.525377
195;4.514721
196;4.505292
197;4.503086
