Zeit [s];y
;-
0;1
0;"00C6FF"
0.010000;0.000000
0.020000;0.000000
0.030000;0.000000
0.040000;0.000000
0.050000;0.000000
0.060000;0.000000
0.070000;0.000000
0.080000;0.000000
0.090000;0.000000
0.100000;0.000000
0.120000;0.000000
0.130000;0.000000
0.140000;0.000000
0.150000;0.000000
0.160000;0.000000
0.170000;0.000000
0.180000;0.000000
0.190000;0.000000
0.200000;0.000000
0.210000;0.000000
0.220000;0.000000
0.230000;0.000000
0.240000;0.000000
0.250000;0.000000
0.260000;0.000000
0.270000;0.000000
0.280000;0.000000
0.290000;0.000000
0.300000;0.000000
0.310000;0.000000
0.320000;0.000000
0.330000;0.000000
0.340000;0.000000
0.350000;0.000000
0.360000;0.000000
0.370000;0.000000
0.380000;0.000000
0.390000;0.000000
0.400000;0.000000
0.410000;0.000000
0.420000;0.000000
0.430000;0.000000
0.440000;0.000000
0.450000;0.000000
0.460000;0.000000
0.470000;0.000000
0.480000;0.000000
0.490000;0.000000
0.500000;0.229882
0.510000;0.664604
0.520000;0.986561
0.530000;1.147369
0.540000;1.192532
0.550000;1.178180
0.560000;1.143415
0.570000;1.108357
0.580000;1.080270
0.590000;1.059896
0.600000;1.045607
0.610000;1.035483
0.620000;1.028050
0.630000;1.022365
0.640000;1.017881
0.650000;1.014287
0.660000;1.011394
0.670000;1.009069
0.680000;1.007210
0.690000;1.005729
0.700000;1.004553
0.710000;1.003620
0.720000;1.002880
0.730000;1.002294
0.740000;1.001830
0.750000;1.001461
0.760000;1.001168
0.770000;1.000936
0.780000;1.000751
0.790000;1.000604
0.800000;1.000488
0.810000;1.000395
0.820000;1.000322
0.830000;1.000263
0.840000;1.000216
0.850000;1.000179
0.860000;1.000149
0.870000;1.000126
0.880000;1.000107
0.890000;1.000092
0.900000;1.000079
0.910000;1.000070
0.920000;1.000062
0.930000;1.000055
0.940000;1.000050
0.950000;1.000046
0.960000;1.000042
0.970000;1.000039
0.980000;1.000037
0.990000;1.000035
1.000000;0.964318
1.010000;0.894163
1.020000;0.827788
1.030000;0.766290
1.040000;0.709359
1.050000;0.656657
1.060000;0.607871
1.070000;0.562709
1.080000;0.520903
1.090000;0.482202
1.100000;0.446377
1.110000;0.413214
1.120000;0.382514
1.130000;0.354095
1.140000;0.327788
1.150000;0.303435
1.160000;0.280891
1.170000;0.260022
1.180000;0.240704
1.190000;0.222821
1.200000;0.206266
1.210000;0.190942
1.220000;0.176756
1.230000;0.163624
1.240000;0.151467
1.250000;0.140214
1.260000;0.129797
1.270000;0.120154
1.280000;0.111227
1.290000;0.102963
1.300000;0.095314
1.310000;0.088232
1.320000;0.081677
1.330000;0.075609
1.340000;0.069992
1.350000;0.064792
1.360000;0.059978
1.370000;0.055522
1.380000;0.051397
1.390000;0.047578
1.400000;0.044043
1.410000;0.040771
1.420000;0.037742
