Result_1Epoche;Result_1Durchschnitt;Result_2Durchschnitt;Result_3Durchschnitt;Result_4Durchschnitt;Result_5Durchschnitt
Fehler;-;-;-;-;-
0;1;1;1;1;1
0;0808FF;0642FF;057DFF;04B7FF;03F2FF
0;3495.368350;5461.623884;5635.401052;5514.328676;5442.728378
1;5450.975618;7347.501512;7483.138876;7366.132206;6603.551204
2;6838.804955;8944.573418;9048.664245;8813.104440;7194.652881
3;7683.294520;9886.032657;9915.165385;9877.274593;7841.037844
4;8141.037345;10466.589695;10676.457605;10546.285851;7944.579270
5;8311.444063;10800.136337;11077.419756;10827.347298;7849.756759
6;8354.172561;10940.749972;11184.912829;10990.412721;7750.060912
7;8362.385806;10766.082891;11097.852224;10896.095483;7722.544854
8;8360.737585;10624.262798;11053.255292;10723.875842;7565.794480
9;8279.267814;10437.450641;10945.060994;10401.476503;7458.971927
10;8317.047938;10245.123483;10578.128754;10177.166277;7372.456224
11;8284.134151;9996.374224;10157.454569;9961.296514;7225.375116
12;8121.718318;9765.610522;9740.264631;9651.940570;7086.762461
13;8130.545099;9454.734188;9355.612225;9313.916870;6950.603093
14;7880.509342;9136.744504;9016.088986;8933.533546;6819.555769
15;7759.805310;8969.728331;8752.505267;8555.243874;6696.992125
16;7568.773672;8737.864454;8527.996215;8201.633181;6616.436524
17;7428.097762;8527.045767;8197.083033;7878.300349;6546.960740
18;7403.549743;8254.434413;7955.128506;7599.125928;6462.959213
19;7292.973629;8036.697398;7673.943097;7353.600362;6416.324286
20;7097.354266;7962.797050;7512.284309;7196.970087;6353.618335
21;7272.602096;7783.372990;7296.125833;7033.885868;6305.555691
22;7282.930703;7516.602098;7051.167411;6997.869625;6416.612428
23;7046.959409;7256.136622;6836.462323;6791.931167;6495.646252
24;6822.020863;6997.600230;6693.216693;6593.820199;6633.265719
25;6592.334842;6754.992607;6545.227647;6376.155580;6549.626076
26;6419.181775;6544.731580;6373.136767;6156.454008;6618.883309
27;6326.275617;6371.426008;6190.729281;5950.053924;6543.393769
28;6520.290863;6197.175381;6027.697556;5789.947562;6584.351960
29;6504.346606;6017.230185;5884.510520;5635.584610;6577.441545
30;6478.066267;5844.539625;5731.024073;5475.755382;6408.119421
31;6396.709039;5670.775900;5710.542110;5318.630855;6272.929706
32;6232.183385;5510.143110;5606.776417;5179.393317;6139.759116
33;6045.454773;5347.090961;5456.416308;5059.106239;6069.000441
34;5870.490242;5190.183474;5309.905289;4947.467496;6046.282080
35;5823.179822;5045.738643;5226.169197;4837.268370;5956.345582
