time;u;z;y1;y2
0;0;0;1.14E-13;5.68E-14
0.02;0;0;1.14E-13;5.68E-14
0.04;0;0;1.14E-13;5.68E-14
0.06;0;0;1.14E-13;5.68E-14
0.08;0;0;1.14E-13;5.68E-14
0.1;0;0;1.14E-13;5.68E-14
0.12;0;0;1.14E-13;5.68E-14
0.14;0;0;1.14E-13;5.68E-14
0.16;0;0;1.14E-13;5.68E-14
0.18;0;0;1.14E-13;5.68E-14
0.2;0;0;1.14E-13;5.68E-14
0.22;0;0;1.14E-13;5.68E-14
0.24;0;0;1.14E-13;5.68E-14
0.26;0;0;1.14E-13;5.68E-14
0.28;0;0;1.14E-13;5.68E-14
0.3;0;0;1.14E-13;5.68E-14
0.32;0;0;1.14E-13;5.68E-14
0.34;0;0;1.14E-13;5.68E-14
0.36;0;0;1.14E-13;5.68E-14
0.38;0;0;1.14E-13;5.68E-14
0.4;0;0;1.14E-13;5.68E-14
0.42;0;0;1.14E-13;5.68E-14
0.44;0;0;1.14E-13;5.68E-14
0.46;0;0;1.14E-13;5.68E-14
0.48;0;0;1.14E-13;5.68E-14
0.5;2000;0;1.14E-13;5.68E-14
0.52;2000;0;0.009424778;5.68E-14
0.54;2000;0;0.021991149;5.68E-14
0.56;2000;0;0.04712389;-0.003141593
0.58;2000;0;0.075398224;-0.006283185
0.6;2000;0;0.113097336;-0.012566371
0.62;2000;0;0.194778745;-0.040840704
0.64;2000;0;0.241902634;-0.065973446
0.66;2000;0;0.30787608;-0.116238928
0.68;2000;0;0.351858377;-0.160221225
0.7;2000;0;0.398982267;-0.210486708
0.72;2000;0;0.493230047;-0.333008821
0.74;2000;0;0.562345085;-0.424115008
0.76;2000;0;0.606327382;-0.483805269
0.78;2000;0;0.672300828;-0.574911456
0.8;2000;0;0.810530905;-0.738274274
0.82;2000;0;0.898495499;-0.832522053
0.84;2000;0;0.980176908;-0.917345055
0.86;2000;0;1.083849465;-1.014734427
0.88;2000;0;1.291194581;-1.196946801
0.9;2000;0;1.410575101;-1.303760951
0.92;2000;0;1.583362697;-1.460840584
0.94;2000;0;1.721592774;-1.580221105
0.96;2000;0;1.831548517;-1.690176848
0.98;2000;0;1.966637001;-1.822123739
1;0;0;2.217964413;-2.082875929
1.02;0;0;2.375044046;-2.24938034
1.04;0;0;2.532123679;-2.425309529
1.06;0;0;2.66407057;-2.585530754
1.08;0;0;2.780309498;-2.730044016
1.1;0;0;2.91225639;-2.893406834
1.12;0;0;3.144734246;-3.194999729
1.14;0;0;3.292389101;-3.37407051
1.16;0;0;3.405486436;-3.512300587
1.18;0;0;3.521725365;-3.628539515
1.2;0;0;3.773052777;-3.876725335
1.22;0;0;3.917566039;-3.999247448
1.24;0;0;4.087212042;-4.137477525
1.26;0;0;4.225442119;-4.23800849
1.28;0;0;4.351105825;-4.338539455
1.3;0;0;4.60557483;-4.552167755
1.32;0;0;4.737521722;-4.662123498
1.34;0;0;4.882034984;-4.80663676
1.36;0;0;4.988849134;-4.916592503
1.38;0;0;5.101946469;-5.045397802
1.4;0;0;5.290442029;-5.284158843
1.42;0;0;5.394114586;-5.412964142
1.44;0;0;5.482079181;-5.526061478
1.46;0;0;5.664291554;-5.745972963
1.48;0;0;5.774247297;-5.855928706
1.5;0;0;5.865353484;-5.956459671
1.52;0;0;6.016149932;-6.100972933
1.54;0;0;6.126105675;-6.188937528
1.56;0;0;6.242344603;-6.2863269
1.58;0;0;6.465397681;-6.462256088
1.6;0;0;6.575353424;-6.556503868
1.62;0;0;6.719866686;-6.672742796
1.64;0;0;6.817256058;-6.766990576
1.66;0;0;6.908362245;-6.85495517
1.68;0;0;7.087433026;-7.043450729
1.7;0;0;7.175397621;-7.147123287
1.72;0;0;7.247654252;-7.235087881
1.74;0;0;7.332477253;-7.338760439
1.76;0;0;7.41101707;-7.436149811
1.78;0;0;7.586946258;-7.646636519
1.8;0;0;7.678052445;-7.737742706
1.82;0;0;7.756592262;-7.809999337
1.84;0;0;7.847698449;-7.894822338
1.86;0;0;8.020486045;-8.042477193
1.88;0;0;8.105309046;-8.114733824
1.9;0;0;8.224689567;-8.215264789
1.92;0;0;8.296946198;-8.284379828
1.94;0;0;8.388052385;-8.362919644
1.96;0;0;8.529424054;-8.510574499
1.98;0;0;8.604822278;-8.592255908
2;0;0;8.708494836;-8.70221165
2.02;0;0;8.780751467;-8.783893059
2.04;0;0;8.840441727;-8.853008098
2.06;0;0;8.906415173;-8.928406322
2.08;0;0;9.032078879;-9.063494806
2.1;0;0;9.10433551;-9.132609844
2.12;0;0;9.167167363;-9.192300104
2.14;0;0;9.239423994;-9.25827355
2.16;0;0;9.343096552;-9.35252133
2.18;0;0;9.409069998;-9.41221159
2.2;0;0;9.528450518;-9.525308926
2.22;0;0;9.591282371;-9.588140779
2.24;0;0;9.644689447;-9.644689447
2.26;0;0;9.729512448;-9.735795633
2.28;0;0;9.782919523;-9.795485894
2.3;0;0;9.839468191;-9.855176154
2.32;0;0;9.939999156;-9.958848712
2.34;0;0;9.996547824;-10.01539738
2.36;0;0;10.04053012;-10.05623808
2.38;0;0;10.09707879;-10.10964516
2.4;0;0;10.19446816;-10.20075135
2.42;0;0;10.24787524;-10.25415842
2.44;0;0;10.29185753;-10.29185753
2.46;0;0;10.37668053;-10.37982213
2.48;0;0;10.42066283;-10.42694602
2.5;0;0;10.45836194;-10.46150354
2.52;0;0;10.49920265;-10.50548583
2.54;0;0;10.58088406;-10.59345043
2.56;0;0;10.62172476;-10.63429113
2.58;0;0;10.65628228;-10.66884865
2.6;0;0;10.7316805;-10.74110528
2.62;0;0;10.77252121;-10.78194599
2.64;0;0;10.80707873;-10.81336191
2.66;0;0;10.85420262;-10.8604858
2.68;0;0;10.88876014;-10.89504332
2.7;0;0;10.95473358;-10.92960084
2.72;0;0;10.9892911;-10.99557429
2.74;0;0;11.02070703;-11.02699021
2.76;0;0;11.04898136;-11.05526455
2.78;0;0;11.08039729;-11.08668047
2.8;0;0;11.14008755;-11.14951233
2.82;0;0;11.16836188;-11.17778666
2.84;0;0;11.19035303;-11.2029194
2.86;0;0;11.21862737;-11.22805214
2.88;0;0;11.26575126;-11.27517603
2.9;0;0;11.290884;-11.30030877
2.92;0;0;11.31287515;-11.31915833
2.94;0;0;11.33486629;-11.34429107
2.96;0;0;11.37884859;-11.38199018
2.98;0;0;11.39769815;-11.40398133
3;0;0;11.4165477;-11.42283089
3.02;0;0;11.43539726;-11.44168044
3.04;0;0;11.46681319;-11.47623796
3.06;0;0;11.48566274;-11.49508752
3.08;0;0;11.49822911;-11.51079548
3.1;0;0;11.51393708;-11.52650345
3.12;0;0;11.54221141;-11.55163619
3.14;0;0;11.55477778;-11.56420256
3.16;0;0;11.56734415;-11.57676893
3.18;0;0;11.5893353;-11.5893353
3.2;0;0;11.59876008;-11.60818486
3.22;0;0;11.60818486;-11.61760963
3.24;0;0;11.61760963;-11.62389282
3.26;0;0;11.62389282;-11.6333176
3.28;0;0;11.63960078;-11.64588397
3.3;0;0;11.64274237;-11.65216715
3.32;0;0;11.64902556;-11.65530874
3.34;0;0;11.65530874;-11.66473352
3.36;0;0;11.65845034;-11.66787512
3.38;0;0;11.65845034;-11.67101671
3.4;0;0;11.66159193;-11.67101671
3.42;0;0;11.66159193;-11.67101671
3.44;0;0;11.66159193;-11.67101671
3.46;0;0;11.66159193;-11.66787512
3.48;0;0;11.66159193;-11.66787512
3.5;0;0;11.65845034;-11.66473352
3.52;0;0;11.65845034;-11.66159193
3.54;0;0;11.65845034;-11.66159193
3.56;0;0;11.65845034;-11.66159193
3.58;0;0;11.65845034;-11.66159193
3.6;0;0;11.65845034;-11.66159193
3.62;0;0;11.65845034;-11.66159193
3.64;0;0;11.65845034;-11.66159193
3.66;0;0;11.65845034;-11.66159193
3.68;0;0;11.65845034;-11.66159193
3.7;0;0;11.65845034;-11.66159193
3.72;0;0;11.65845034;-11.66159193
3.74;0;0;11.65845034;-11.66159193
3.76;0;0;11.65845034;-11.66159193
3.78;0;0;11.65845034;-11.66159193
3.8;0;0;11.65845034;-11.66159193
3.82;0;0;11.65845034;-11.66159193
3.84;0;0;11.65845034;-11.66159193
3.86;0;0;11.65845034;-11.66159193
3.88;0;0;11.65845034;-11.66159193
3.9;0;0;11.65845034;-11.66159193
3.92;0;0;11.65845034;-11.66159193
3.94;0;0;11.65845034;-11.66159193
3.96;0;0;11.65845034;-11.66159193
3.98;0;0;11.65845034;-11.66159193
4;0;0;11.65845034;-11.66159193
4.02;0;0;11.65845034;-11.66159193
4.04;0;0;11.65845034;-11.66159193
4.06;0;0;11.65845034;-11.66159193
4.08;0;0;11.65845034;-11.66159193
4.1;0;0;11.65845034;-11.66159193
4.12;0;0;11.65845034;-11.66159193
4.14;0;0;11.65845034;-11.66159193
4.16;0;0;11.65845034;-11.66159193
4.18;0;0;11.65845034;-11.66159193
4.2;0;0;11.65845034;-11.66159193
4.22;0;0;11.65845034;-11.66159193
4.24;0;0;11.65845034;-11.66159193
4.26;0;0;11.65845034;-11.66159193
4.28;0;0;11.65845034;-11.66159193
4.3;0;0;11.65845034;-11.66159193
4.32;0;0;11.65845034;-11.66159193
4.34;0;0;11.65845034;-11.66159193
4.36;0;0;11.65845034;-11.66159193
4.38;0;0;11.65845034;-11.66159193
4.4;0;0;11.65845034;-11.66159193
4.42;0;0;11.65845034;-11.66159193
4.44;0;0;11.65845034;-11.66159193
4.46;0;0;11.65845034;-11.66159193
4.48;0;0;11.65845034;-11.66159193
4.5;0;0;11.65845034;-11.66159193
4.52;0;0;11.65845034;-11.66159193
4.54;0;0;11.65845034;-11.66159193
4.56;0;0;11.65845034;-11.66159193
4.58;0;0;11.65845034;-11.66159193
4.6;0;0;11.65845034;-11.66159193
4.62;0;0;11.65845034;-11.66159193
4.64;0;0;11.65845034;-11.66159193
4.66;0;0;11.65845034;-11.66159193
4.68;0;0;11.65845034;-11.66159193
4.7;0;0;11.65845034;-11.66159193
4.72;0;0;11.65845034;-11.66159193
4.74;0;0;11.65845034;-11.66159193
4.76;0;0;11.65845034;-11.66159193
4.78;0;0;11.65845034;-11.66159193
4.8;0;0;11.65845034;-11.66159193
4.82;0;0;11.65845034;-11.66159193
4.84;0;0;11.65845034;-11.66159193
4.86;0;0;11.65845034;-11.66159193
4.88;0;0;11.65845034;-11.66159193
4.9;0;0;11.65845034;-11.66159193
4.92;0;0;11.65845034;-11.66159193
4.94;0;0;11.65845034;-11.66159193
4.96;0;0;11.65845034;-11.66159193
4.98;0;0;11.65845034;-11.66159193
5;-2000;0;11.65845034;-11.66159193
5.02;-2000;0;11.65845034;-11.66159193
5.04;-2000;0;11.64588397;-11.66159193
5.06;-2000;0;11.60818486;-11.65845034
5.08;-2000;0;11.57362734;-11.65530874
5.1;-2000;0;11.53906982;-11.64902556
5.12;-2000;0;11.44796363;-11.62075123
5.14;-2000;0;11.39769815;-11.59247689
5.16;-2000;0;11.34743266;-11.55477778
5.18;-2000;0;11.30030877;-11.51707867
5.2;-2000;0;11.2469017;-11.46053
5.22;-2000;0;11.14322914;-11.31915833
5.24;-2000;0;11.08668047;-11.24061851
5.26;-2000;0;11.0332734;-11.15893711
5.28;-2000;0;10.91075129;-10.98614951
5.3;-2000;0;10.83221147;-10.87933536
5.32;-2000;0;10.75681325;-10.79451236
