time;u;y;z1;z2;r
;-;-;-;-;-
0;1;1;1;1;1
0;0000FF;0000FF;0000FF;0000FF;0000FF
0;0.030184619;-0.005185985;0;0;0
0.01;0.03645377;-0.005508182;0;0;0
0.02;0.02236725;-0.002286205;0;0;0
0.03;0.046808031;-0.006152578;0;0;0
0.04;0.018264772;-0.000353019;0;0;0
0.05;0.03169093;-0.002608403;0;0;0
0.06;0.03015002;-0.001964008;0;0;0
0.07;0.140582707;-0.020651473;0;0;0
0.08;0.058687085;-0.003574996;0;0;0
0.09;0.063590809;-0.003897194;0;0;0
0.1;0.068767475;-0.004219391;0;0;0
0.11;0.066715776;-0.003252798;0;0;0
0.12;0.060094431;-0.00164181;0;0;0
0.13;0.074612061;-0.003897194;0;0;0
0.14;0.066661304;-0.001964008;0;0;0
0.15;0.088953166;-0.005508182;0;0;0
0.16;0.044860727;0.002868958;0;0;0
0.17;0.098688986;-0.006796973;0;0;0
0.18;0.089444332;-0.004219391;0;0;0
0.19;0.09301836;-0.004219391;0;0;0
0.2;0.096592344;-0.004219391;0;0;0
0.21;0.105792263;-0.005185985;0;0;0
0.22;0.093307166;-0.002286205;0;0;0
0.23;0.113996381;-0.005508182;0;0;0
0.24;0.094282884;-0.001319612;0;0;0
0.25;0.121654381;-0.00583038;0;0;0
0.26;0.109715105;-0.002930601;0;0;0
0.27;0.11219687;-0.002930601;0;0;0
0.28;0.12405524;-0.004541589;0;0;0
0.29;0.120400554;-0.003252798;0;0;0
0.3;0.119404547;-0.002608403;0;0;0
0.31;0.127239179;-0.003574996;0;0;0
0.32;0.169648612;-0.010341148;0;0;0
0.33;0.129650285;-0.001964008;0;0;0
0.34;0.131312805;-0.001964008;0;0;0
0.35;0.146102596;-0.004219391;0;0;0
0.36;0.134673349;-0.00164181;0;0;0
0.37;0.147314777;-0.003574996;0;0;0
0.38;0.142840823;-0.002286205;0;0;0
0.39;0.150402194;-0.003252798;0;0;0
0.4;0.155031841;-0.003574996;0;0;0
0.41;0.161809768;-0.004219391;0;0;0
0.42;0.150380361;-0.00164181;0;0;0
0.43;0.166772285;-0.004219391;0;0;0
0.44;0.15534283;-0.00164181;0;0;0
0.45;0.16985938;-0.003897194;0;0;0
0.46;0.169408856;-0.003252798;0;0;0
0.47;0.181539619;-0.004863787;0;0;0
0.48;0.172531346;-0.002608403;0;0;0
0.49;0.178490092;-0.003252798;0;0;0
0.5;6.011042816;-0.004863787;0;0;1
0.51;6.479844947;0.060864551;0;0;1
0.52;3.772397889;0.662730823;0;0;1
0.53;2.040265121;1.00941691;0;0;1
0.54;1.91036131;1.030359863;0;0;1
0.55;1.907114729;1.026493471;0;0;1
0.56;1.582711337;1.078367564;0;0;1
0.57;1.24061274;1.125730879;0;0;1
0.58;1.117183123;1.128630674;0;0;1
0.59;1.11319519;1.110587505;0;0;1
0.6;1.190132761;1.081267358;0;0;1
0.61;0.783697032;1.139263257;0;0;1
0.62;1.168276179;1.052913815;0;0;1
0.63;0.954646184;1.081911757;0;0;1
0.64;1.264046575;1.016827493;0;0;1
0.65;1.109122597;1.04099244;0;0;1
0.66;1.194396859;1.020371685;0;0;1
0.67;1.203375842;1.015860895;0;0;1
0.68;1.186171557;1.016505293;0;0;1
0.69;1.220930989;1.008128113;0;0;1
0.7;1.260912936;1.000073131;0;0;1
0.71;1.213952873;1.008128113;0;0;1
0.72;1.332699193;0.986540764;0;0;1
0.73;1.278451354;0.997817737;0;0;1
0.74;1.26528309;1.000395331;0;0;1
0.75;1.189920284;1.013283301;0;0;1
0.76;1.242413079;1.002328526;0;0;1
0.77;1.184166069;1.011994504;0;0;1
0.78;1.265881191;0.99620674;0;0;1
0.79;1.272831947;0.995562342;0;0;1
0.8;1.306583408;0.990407154;0;0;1
0.81;1.29219324;0.994273545;0;0;1
0.82;1.237020533;1.004583921;0;0;1
0.83;1.167486369;1.015860895;0;0;1
0.84;1.20091807;1.007805913;0;0;1
0.85;1.248675964;0.998462135;0;0;1
0.86;1.206833097;1.005872718;0;0;1
0.87;1.284359161;0.991695951;0;0;1
0.88;1.233246473;1.001684128;0;0;1
0.89;1.250560044;0.998462135;0;0;1
0.9;1.167460088;1.012961101;0;0;1
0.91;1.259609509;0.995240143;0;0;1
0.92;1.182990352;1.00909471;0;0;1
0.93;1.28029116;0.991051553;0;0;1
0.94;1.261605726;0.995562342;0;0;1
0.95;1.330989936;0.984285369;0;0;1
0.96;1.273029095;0.99652894;0;0;1
0.97;1.266580852;0.998139936;0;0;1
0.98;1.181878969;1.012961101;0;0;1
0.99;1.189638706;1.009739109;0;0;1
1;0;0.994595744;0;0;0
1.01;0;0.812875464;0;0;0
1.02;0;0.872482275;0;0;0
1.03;0;0.862171906;0;0;0
1.04;0;0.664664015;0;0;0
1.05;0;0.632121951;0;0;0
1.06;0;0.587980744;0;0;0
1.07;0;0.528374019;0;0;0
1.08;0;0.506786723;0;0;0
1.09;0;0.441702649;0;0;0
1.1;0;0.3943395;0;0;0
1.11;0;0.34890955;0;0;0
1.12;0;0.306379392;0;0;0
1.13;0;0.264493639;0;0;0
1.14;0;0.22808526;0;0;0
1.15;0.077126692;0.196832055;0;0;0
1.16;0.105478141;0.163323468;0;0;0
1.17;0.102211019;0.140125219;0;0;0
1.18;0.126101299;0.115638181;0;0;0
1.19;0.133232768;0.097595101;0;0;0
1.2;0.150026059;0.080518617;0;0;0
1.21;0.170036028;0.06537532;0;0;0
1.22;0.19725056;0.051198618;0;0;0
1.23;0.228975201;0.038310708;0;0;0
1.24;0.230361973;0.032511148;0;0;0
1.25;0.261041562;0.022523019;0;0;0
1.26;0.264552207;0.018656646;0;0;0
1.27;0.282590305;0.012857087;0;0;0
1.28;0.288663803;0.009957307;0;0;0
1.29;0.319697656;0.003191156;0;0;0
1.3;0.30582988;0.005124342;0;0;0
1.31;0.318453601;0.002224562;0;0;0
1.32;0.327907696;0.000291376;0;0;0
1.33;0.333373188;-0.000675217;0;0;0
1.34;0.324654479;0.000935772;0;0;0
1.35;0.322071625;0.001257969;0;0;0
1.36;0.309838635;0.003191156;0;0;0
1.37;0.340975079;-0.002608403;0;0;0
1.38;0.333892199;-0.000997415;0;0;0
1.39;0.340446471;-0.001964008;0;0;0
1.4;0.329065892;0.000291376;0;0;0
1.41;0.362657066;-0.005508182;0;0;0
1.42;0.314896384;0.003513353;0;0;0
1.43;0.347631984;-0.002608403;0;0;0
1.44;0.327418654;0.001257969;0;0;0
1.45;0.348936845;-0.002608403;0;0;0
1.46;0.336223805;-3.08E-05;0;0;0
1.47;0.345705628;-0.00164181;0;0;0
1.48;0.345299909;-0.001319612;0;0;0
1.49;0.33899472;-3.08E-05;0;0;0
1.5;10;-0.003252798;0;0;5
1.51;10;0.550605714;0;0;5
1.52;10;1.051947217;0;0;5
1.53;10;1.484661448;0;0;5
1.54;10;1.967640161;0;0;5
1.55;10;2.448042784;0;0;5
1.56;10;2.864006404;0;0;5
1.57;10;3.293826124;0;0;5
1.58;8.313892734;3.638262946;0;0;5
1.59;7.177565042;4.031676124;0;0;5
1.6;6.311768506;4.321339949;0;0;5
1.61;5.380576975;4.580072594;0;0;5
1.62;5.152855657;4.680279308;0;0;5
1.63;5.230311264;4.713466762;0;0;5
1.64;4.919571785;4.808518269;0;0;5
1.65;5.222192347;4.784352623;0;0;5
1.66;5.235847286;4.813351399;0;0;5
1.67;5.016763661;4.878115361;0;0;5
1.68;5.282920892;4.850083193;0;0;5
1.69;5.21837964;4.882948494;0;0;5
1.7;5.045351233;4.929668794;0;0;5
1.71;5.275331915;4.900347775;0;0;5
1.72;5.147575628;4.936757393;0;0;5
1.73;5.011476431;4.969300513;0;0;5
1.74;5.185376747;4.943845992;0;0;5
1.75;5.056401687;4.974133651;0;0;5
1.76;4.946775798;4.996688296;0;0;5
1.77;5.209999069;4.95190122;0;0;5
1.78;5.025442884;4.990566321;0;0;5
1.79;4.978789539;4.999910389;0;0;5
1.8;5.175523689;4.966078422;0;0;5
1.81;5.010841705;4.99926597;0;0;5
1.82;4.964323463;5.007321202;0;0;5
1.83;5.115399937;4.980255626;0;0;5
1.84;5.006224922;5.001843645;0;0;5
1.85;4.987533632;5.004743528;0;0;5
1.86;5.058281301;4.991855158;0;0;5
1.87;4.973040189;5.007643412;0;0;5
1.88;4.981321381;5.005065737;0;0;5
1.89;5.166199742;4.972522605;0;0;5
1.9;5.020451652;5.001521435;0;0;5
1.91;5.020796321;5.001199226;0;0;5
1.92;5.0532972;4.995399459;0;0;5
1.93;4.965062044;5.011187714;0;0;5
1.94;4.977850758;5.007321202;0;0;5
1.95;5.157076236;4.975422488;0;0;5
1.96;5.033260151;5.000232598;0;0;5
1.97;5.021577822;5.002165854;0;0;5
1.98;5.060770024;4.99507725;0;0;5
1.99;4.959688781;5.01312097;0;0;5
2;4.99522829;5.005065737;0;0;5
2.01;5.099482162;4.986377601;0;0;5
2.02;4.962642065;5.011832133;0;0;5
2.03;5.01615638;5.000877017;0;0;5
2.04;5.075203157;4.990566321;0;0;5
2.05;4.977952405;5.00861004;0;0;5
2.06;4.97981441;5.006998993;0;0;5
2.07;5.174333006;4.972522605;0;0;5
2.08;5.004230477;5.005710156;0;0;5
2.09;5.025431898;5.001199226;0;0;5
2.1;5.027951889;5.000554808;0;0;5
2.11;4.95037727;5.013765388;0;0;5
2.12;4.991013515;5.004743528;0;0;5
2.13;5.118061543;4.982188881;0;0;5
2.14;4.988537469;5.006998993;0;0;5
2.15;5.025533509;4.99958818;0;0;5
2.16;5.063183554;4.993143995;0;0;5
2.17;4.945010835;5.014409807;0;0;5
2.18;4.996361261;5.003454691;0;0;5
2.19;5.077624173;4.988955274;0;0;5
2.2;4.989259811;5.005710156;0;0;5
2.21;5.001100031;5.002810272;0;0;5
2.22;5.150426838;4.976711324;0;0;5
2.23;5.006801099;5.004743528;0;0;5
2.24;5.015713051;5.002488063;0;0;5
2.25;5.105303765;4.98669981;0;0;5
2.26;4.960720329;5.013443179;0;0;5
2.27;5.003523754;5.00409911;0;0;5
2.28;5.061746873;4.993466204;0;0;5
2.29;4.939565171;5.015376435;0;0;5
2.3;4.999488301;5.002810272;0;0;5
2.31;5.101941156;4.984766555;0;0;5
2.32;4.951501429;5.012798761;0;0;5
2.33;5.007985861;5.001199226;0;0;5
2.34;5.079925478;4.988633065;0;0;5
2.35;4.94309185;5.013765388;0;0;5
2.36;5.00438697;5.001199226;0;0;5
2.37;5.145719621;4.976711324;0;0;5
2.38;4.973980696;5.009576667;0;0;5
2.39;5.042578782;4.996366087;0;0;5
2.4;5.039853423;4.997332715;0;0;5
2.41;4.935038876;5.015698644;0;0;5
2.42;5.052839908;4.993143995;0;0;5
2.43;5.105358907;4.985088764;0;0;5
2.44;4.954659592;5.01312097;0;0;5
2.45;5.024012114;4.99926597;0;0;5
2.46;5.061970444;4.992821785;0;0;5
2.47;4.930978028;5.016343063;0;0;5
2.48;5.001354686;5.001843645;0;0;5
2.49;5.110272721;4.982833299;0;0;5
2.5;0;5.011832133;0;0;0
2.51;0;4.821084407;0;0;0
2.52;0;4.622604049;0;0;0
2.53;0;4.28815262;0;0;0
2.54;0;3.896027364;0;0;0
2.55;0;3.648895717;0;0;0
2.56;0;3.378243663;0;0;0
2.57;0;3.148512097;0;0;0
2.58;0;2.908470446;0;0;0
2.59;0;2.707415766;0;0;0
2.6;0;2.518282873;0;0;0
2.61;0;2.302729684;0;0;0
2.62;0;2.136151432;0;0;0
2.63;0;1.976983993;0;0;0
2.64;0;1.823294134;0;0;0
2.65;0;1.678303839;0;0;0
2.66;0;1.546201684;0;0;0
2.67;0;1.428276435;0;0;0
2.68;0;1.312284466;0;0;0
2.69;0;1.199192372;0;0;0
2.7;0;1.096088531;0;0;0
2.71;0;1.004583921;0;0;0
2.72;0;0.918556741;0;0;0
2.73;0.037107885;0.83865138;0;0;0
2.74;0;0.760679246;0;0;0
2.75;0.192524987;0.689795514;0;0;0
2.76;0;0.640176917;0;0;0
2.77;0.2548969;0.578636986;0;0;0
2.78;0;0.542228553;0;0;0
2.79;0.267249377;0.492287794;0;0;0
2.8;0.073847168;0.453946186;0;0;0
2.81;0;0.413993594;0;0;0
2.82;0.150845682;0.374685407;0;0;0
2.83;0.049586808;0.337632613;0;0;0
2.84;0;0.30670159;0;0;0
2.85;0.174708723;0.267071224;0;0;0
2.86;0.098991415;0.241295379;0;0;0
2.87;0.048863155;0.214875142;0;0;0
2.88;0.004240992;0.19135469;0;0;0
2.89;0.033930241;0.1584905;0;0;0
2.9;0.038953416;0.134647855;0;0;0
2.91;0.077303112;0.108549828;0;0;0
2.92;0.107757398;0.087606969;0;0;0
2.93;0.129698926;0.071174881;0;0;0
2.94;0.154308333;0.05667598;0;0;0
2.95;0.200576144;0.040566092;0;0;0
2.96;0.245487865;0.027033787;0;0;0
2.97;0.224973683;0.026711589;0;0;0
2.98;0.238485478;0.020589832;0;0;0
2.99;0.257181057;0.014468075;0;0;0
3;0.260431772;0.011890494;0;0;0
3.01;0.280865976;0.00673533;0;0;0
3.02;0.281285651;0.005768737;0;0;0
3.03;0.282521238;0.004802144;0;0;0
3.04;0.284572743;0.003835551;0;0;0
3.05;0.296816807;0.001257969;0;0;0
3.06;0.286862469;0.002868958;0;0;0
3.07;0.30742075;-0.000997415;0;0;0
3.08;0.289994643;0.002224562;0;0;0
3.09;0.290464295;0.001902365;0;0;0
3.1;0.30433126;-0.000675217;0;0;0
3.11;0.299750546;0.000291376;0;0;0
3.12;0.294347933;0.001257969;0;0;0
3.13;0.310627368;-0.00164181;0;0;0
3.14;0.306856828;-0.000675217;0;0;0
3.15;0.311641065;-0.001319612;0;0;0
3.16;0.290713812;0.00254676;0;0;0
3.17;0.326518356;-0.003897194;0;0;0
3.18;0.307769281;-3.08E-05;0;0;0
3.19;0.321372762;-0.002286205;0;0;0
3.2;0.320006376;-0.00164181;0;0;0
3.21;0.318091213;-0.000997415;0;0;0
3.22;0.323128608;-0.00164181;0;0;0
3.23;0.33621051;-0.003574996;0;0;0
3.24;0.309670369;0.001580167;0;0;0
3.25;0.331268902;-0.002286205;0;0;0
3.26;0.373018479;-0.009052357;0;0;0
3.27;0.345484906;-0.002930601;0;0;0
3.28;0.31463723;0.002868958;0;0;0
3.29;0.331382342;-0.000353019;0;0;0
3.3;0.307722165;0.003835551;0;0;0
3.31;0.327393769;-3.08E-05;0;0;0
3.32;0.310956745;0.002868958;0;0;0
3.33;0.333317486;-0.001319612;0;0;0
3.34;0.321717928;0.000935772;0;0;0
3.35;0.323207542;0.000613574;0;0;0
3.36;0.330593595;-0.000675217;0;0;0
3.37;0.324066452;0.000613574;0;0;0
3.38;0.325821503;0.000291376;0;0;0
3.39;0.337223688;-0.00164181;0;0;0
3.4;0.329632704;-3.08E-05;0;0;0
3.41;0.331926294;-0.000353019;0;0;0
3.42;0.319487811;0.001902365;0;0;0
3.43;0.32951527;-3.08E-05;0;0;0
3.44;0.335552253;-0.000997415;0;0;0
3.45;0.325527845;0.000935772;0;0;0
3.46;0.332616419;-0.000353019;0;0;0
3.47;0.3220413;0.001580167;0;0;0
3.48;0.321077893;0.001580167;0;0;0
3.49;0.327613473;0.000291376;0;0;0
3.5;10;0.005768737;0;0;8
3.51;10;0.483910635;0;0;8
3.52;10;1.021016083;0;0;8
3.53;10;1.494649652;0;0;8
3.54;10;1.951207906;0;0;8
3.55;10;2.422266613;0;0;8
3.56;10;2.853695904;0;0;8
3.57;10;3.227452068;0;0;8
3.58;10;3.648895717;0;0;8
3.59;10;3.996233439;0;0;8
3.6;10;4.371604274;0;0;8
3.61;10;4.666102147;0;0;8
3.62;10;5.022142831;0;0;8
3.63;10;5.334364185;0;0;8
3.64;10;5.57988882;0;0;8
3.65;10;5.86407957;0;0;8
3.66;10;6.15568213;0;0;8
3.67;9.623735504;6.42795281;0;0;8
3.68;9.61794354;6.657691949;0;0;8
3.69;9.526261346;6.868743195;0;0;8
3.7;9.244497765;7.081728295;0;0;8
3.71;8.932304867;7.268936549;0;0;8
3.72;8.322706763;7.479989425;0;0;8
3.73;8.091294997;7.595343763;0;0;8
3.74;7.869046602;7.692331764;0;0;8
3.75;7.832813365;7.743242459;0;0;8
3.76;7.805958619;7.785131033;0;0;8
3.77;7.850515282;7.808653088;0;0;8
3.78;7.803876574;7.844419515;0;0;8
3.79;7.835712592;7.861497184;0;0;8
3.8;7.734927439;7.898874739;0;0;8
3.81;7.821904731;7.898552519;0;0;8
3.82;7.828512696;7.912085776;0;0;8
3.83;7.797400547;7.930130123;0;0;8
3.84;7.833523052;7.933996769;0;0;8
3.85;7.834489447;7.943341165;0;0;8
3.86;7.891307182;7.941730062;0;0;8
3.87;7.82008603;7.962352182;0;0;8
3.88;8.061476529;7.926263477;0;0;8
3.89;7.971482484;7.952363342;0;0;8
3.9;8.127568654;7.932385666;0;0;8
3.91;8.011762977;7.962029961;0;0;8
3.92;7.957114928;7.976852113;0;0;8
