time;u;y;z1;z2;r
;-;-;-;-;-
0;1;1;1;1;1
0;00FF00;00FF00;00FF00;00FF00;00FF00
0;0.018676165;-0.002608403;0;0;0
0.01;0.035360938;-0.004541589;0;0;0
0.02;0.04031127;-0.004541589;0;0;0
0.03;0.045261602;-0.004541589;0;0;0
0.04;0.040984192;-0.003252798;0;0;0
0.05;0.058371355;-0.005185985;0;0;0
0.06;0.052489401;-0.003574996;0;0;0
0.07;0.047158405;-0.002286205;0;0;0
0.08;0.075026659;-0.00583038;0;0;0
0.09;0.06754016;-0.003897194;0;0;0
0.1;0.06717423;-0.003252798;0;0;0
0.11;0.082254458;-0.004863787;0;0;0
0.12;0.082942115;-0.004219391;0;0;0
0.13;0.092155122;-0.004863787;0;0;0
0.14;0.085921973;-0.003252798;0;0;0
0.15;0.1010022;-0.004863787;0;0;0
0.16;0.087848244;-0.002286205;0;0;0
0.17;0.092647143;-0.002608403;0;0;0
0.18;0.113945787;-0.005185985;0;0;0
0.19;0.103449961;-0.002930601;0;0;0
0.2;0.111258187;-0.003574996;0;0;0
0.21;0.124382675;-0.004863787;0;0;0
0.22;0.143525815;-0.006796973;0;0;0
0.23;0.150934516;-0.006796973;0;0;0
0.24;0.128353055;-0.002608403;0;0;0
0.25;0.147344763;-0.004863787;0;0;0
0.26;0.166487903;-0.006796973;0;0;0
0.27;0.143906442;-0.002608403;0;0;0
0.28;0.165205086;-0.005185985;0;0;0
0.29;0.152402325;-0.002608403;0;0;0
0.3;0.162166291;-0.003574996;0;0;0
0.31;0.168369972;-0.003897194;0;0;0
0.32;0.174924849;-0.004219391;0;0;0
0.33;0.167989308;-0.002608403;0;0;0
0.34;0.173139403;-0.002930601;0;0;0
0.35;0.187868435;-0.004541589;0;0;0
0.36;0.195125702;-0.004863787;0;0;0
0.37;0.184278682;-0.002608403;0;0;0
0.38;0.187121841;-0.002608403;0;0;0
0.39;0.194578871;-0.003252798;0;0;0
0.4;0.191203615;-0.002286205;0;0;0
0.41;0.205230256;-0.003897194;0;0;0
0.42;0.202557391;-0.002930601;0;0;0
0.43;0.205751746;-0.002930601;0;0;0
0.44;0.225094649;-0.005185985;0;0;0
0.45;0.226133501;-0.004541589;0;0;0
0.46;0.219549156;-0.002930601;0;0;0
0.47;0.234278188;-0.004541589;0;0;0
0.48;0.227693843;-0.002930601;0;0;0
0.49;0.242422875;-0.004541589;0;0;0
0.5;7.409680159;-0.004863787;0;0;1
0.51;7.060839456;0.196832055;0;0;1
0.52;3.068646646;0.876670862;0;0;1
0.53;1.994235648;1.04550323;0;0;1
0.54;1.139512323;1.157950828;0;0;1
0.55;1.384903546;1.099632724;0;0;1
0.56;0.969479778;1.142485252;0;0;1
0.57;1.095618525;1.103176918;0;0;1
0.58;1.368415924;1.049369622;0;0;1
0.59;0.998551231;1.093510935;0;0;1
0.6;1.01658559;1.076756567;0;0;1
0.61;1.267428283;1.030037663;0;0;1
0.62;0.955546618;1.069023782;0;0;1
0.63;1.212511086;1.02262708;0;0;1
0.64;1.263976814;1.011994504;0;0;1
0.65;1.177080507;1.02230488;0;0;1
0.66;1.108936197;1.028426667;0;0;1
0.67;1.239437405;1.005872718;0;0;1
0.68;1.175362475;1.013927699;0;0;1
0.69;1.250152204;1.001361928;0;0;1
0.7;1.267123274;0.998784334;0;0;1
0.71;1.328428959;0.990407154;0;0;1
0.72;1.35272684;0.988473959;0;0;1
0.73;1.379131903;0.986540764;0;0;1
0.74;1.356891328;0.991695951;0;0;1
0.75;1.225218998;1.011350105;0;0;1
0.76;1.226689064;1.00941691;0;0;1
0.77;1.188741272;1.013283301;0;0;1
0.78;1.298837593;0.995884541;0;0;1
0.79;1.169520537;1.014572098;0;0;1
0.8;1.328964893;0.990084955;0;0;1
0.81;1.229038857;1.005550519;0;0;1
0.82;1.294504136;0.995562342;0;0;1
0.83;1.140161864;1.017794091;0;0;1
0.84;1.33531234;0.98782956;0;0;1
0.85;1.138645978;1.017149692;0;0;1
0.86;1.299894651;0.99201815;0;0;1
0.87;1.220930898;1.004261722;0;0;1
0.88;1.366237144;0.983318771;0;0;1
0.89;1.41210304;0.979452381;0;0;1
0.9;1.254558119;1.004583921;0;0;1
0.91;1.166511564;1.016183094;0;0;1
0.92;1.273447111;0.998784334;0;0;1
0.93;1.177880428;1.012316703;0;0;1
0.94;1.252119194;1.000073131;0;0;1
0.95;1.270495054;0.997495537;0;0;1
0.96;1.243234613;1.001684128;0;0;1
0.97;1.241398914;1.001684128;0;0;1
0.98;1.161127028;1.012638902;0;0;1
0.99;1.258084063;0.997173338;0;0;1
1;0;1.003295124;0;0;0
1.01;0;0.821252637;0;0;0
1.02;0;0.838973579;0;0;0
1.03;0;0.800631906;0;0;0
1.04;0;0.71653801;0;0;0
1.05;0;0.648554082;0;0;0
1.06;0;0.583469964;0;0;0
1.07;0;0.526440828;0;0;0
1.08;0;0.467800716;0;0;0
1.09;0;0.42237075;0;0;0
1.1;0;0.374685407;0;0;0
1.11;0;0.331510848;0;0;0
1.12;0;0.292202675;0;0;0
1.13;0;0.258371876;0;0;0
1.14;0;0.218097122;0;0;0
1.15;0;0.187810512;0;0;0
1.16;0.096906498;0.159779291;0;0;0
1.17;0.098074281;0.135292251;0;0;0
1.18;0.093635807;0.115315983;0;0;0
1.19;0.097129833;0.097272903;0;0;0
1.2;0.127211615;0.078263232;0;0;0
1.21;0.136489078;0.065053123;0;0;0
1.22;0.16247249;0.051520816;0;0;0
1.23;0.177829816;0.041532685;0;0;0
1.24;0.194846458;0.032833346;0;0;0
1.25;0.212117634;0.025422798;0;0;0
1.26;0.223624692;0.019945437;0;0;0
1.27;0.229567394;0.016079064;0;0;0
1.28;0.246645249;0.011246098;0;0;0
1.29;0.26207023;0.007379726;0;0;0
1.3;0.256333264;0.007057528;0;0;0
1.31;0.267096043;0.004479946;0;0;0
1.32;0.259905966;0.004802144;0;0;0
1.33;0.236216144;0.007379726;0;0;0
1.34;0.290459503;-0.001319612;0;0;0
1.35;0.275749332;0.000935772;0;0;0
1.36;0.272422405;0.001257969;0;0;0
1.37;0.284892832;-0.000675217;0;0;0
1.38;0.290242689;-0.001319612;0;0;0
1.39;0.291681066;-0.001319612;0;0;0
1.4;0.272357024;0.001580167;0;0;0
1.41;0.266020771;0.002224562;0;0;0
1.42;0.282051482;-0.000353019;0;0;0
1.43;0.300891757;-0.002930601;0;0;0
1.44;0.304086112;-0.002930601;0;0;0
1.45;0.286518047;-3.08E-05;0;0;0
1.46;0.307314062;-0.002930601;0;0;0
1.47;0.301280674;-0.00164181;0;0;0
1.48;0.328446538;-0.005185985;0;0;0
1.49;0.274118937;0.003191156;0;0;0
1.5;10;-0.001319612;0;0;5
1.51;10;0.561238265;0;0;5
1.52;10;1.097377328;0;0;5
1.53;10;1.583899118;0;0;5
1.54;10;2.055923289;0;0;5
1.55;10;2.484773835;0;0;5
1.56;10;2.907181633;0;0;5
1.57;10;3.345701017;0;0;5
1.58;9.561365748;3.705603844;0;0;5
1.59;8.076979574;4.109972277;0;0;5
1.6;6.786247888;4.425735112;0;0;5
1.61;5.188240142;4.736343557;0;0;5
1.62;4.665863902;4.849438775;0;0;5
1.63;4.691554731;4.868771304;0;0;5
1.64;4.543910022;4.909369626;0;0;5
1.65;5.108714259;4.844283435;0;0;5
1.66;5.010831555;4.881659658;0;0;5
1.67;5.105217292;4.886492792;0;0;5
1.68;5.408887353;4.861360501;0;0;5
1.69;5.264706408;4.902603238;0;0;5
1.7;5.001746207;4.954156684;0;0;5
1.71;5.321636394;4.916458224;0;0;5
1.72;5.188916303;4.947712501;0;0;5
1.73;4.948304402;4.989277484;0;0;5
1.74;5.285281424;4.943845992;0;0;5
1.75;5.106559478;4.977355743;0;0;5
1.76;4.914382009;5.007643412;0;0;5
1.77;5.263638474;4.957700984;0;0;5
1.78;4.99368295;5.001843645;0;0;5
1.79;4.897085616;5.015054226;0;0;5
1.8;5.302860809;4.956089938;0;0;5
1.81;4.946994627;5.012476551;0;0;5
1.82;4.898789905;5.017309691;0;0;5
1.83;5.348246997;4.95190122;0;0;5
1.84;4.948499144;5.015054226;0;0;5
1.85;4.899791775;5.019565156;0;0;5
1.86;5.284500951;4.96285633;0;0;5
1.87;5.002005028;5.007965621;0;0;5
1.88;4.910269828;5.019565156;0;0;5
1.89;5.255759705;4.968333886;0;0;5
1.9;4.911924778;5.021176203;0;0;5
1.91;4.930369055;5.015376435;0;0;5
1.92;5.289652693;4.96285633;0;0;5
1.93;4.924104097;5.019565156;0;0;5
1.94;4.902778076;5.019565156;0;0;5
1.95;5.308250409;4.959956448;0;0;5
1.96;4.948169716;5.016343063;0;0;5
1.97;4.916513664;5.018276319;0;0;5
1.98;5.298013633;4.962211912;0;0;5
1.99;5.064667515;5.000554808;0;0;5
2;4.948711846;5.016665272;0;0;5
2.01;5.23507311;4.974133651;0;0;5
2.02;4.926442757;5.021176203;0;0;5
2.03;4.917202809;5.019242947;0;0;5
2.04;5.290728104;4.964145167;0;0;5
2.05;4.972222065;5.014087598;0;0;5
2.06;4.917647264;5.019565156;0;0;5
2.07;5.270058194;4.967367258;0;0;5
2.08;4.9157418;5.021820622;0;0;5
2.09;4.949632792;5.013765388;0;0;5
2.1;5.29683036;4.963178539;0;0;5
2.11;4.974763911;5.013765388;0;0;5
2.12;4.941303488;5.016343063;0;0;5
2.13;5.29491947;4.964467376;0;0;5
2.14;4.925307808;5.021498412;0;0;5
2.15;4.93878684;5.016343063;0;0;5
2.16;5.317780014;4.960923075;0;0;5
2.17;5.037391345;5.006032365;0;0;5
2.18;4.931614264;5.019887366;0;0;5
2.19;5.265217846;4.970267141;0;0;5
2.2;4.861600189;5.031164693;0;0;5
2.21;5.012192177;5.005387947;0;0;5
2.22;5.269319374;4.968656095;0;0;5
2.23;4.842080553;5.033097949;0;0;5
2.24;4.98364424;5.00828783;0;0;5
2.25;5.163786002;4.981866672;0;0;5
2.26;4.913630179;5.019565156;0;0;5
2.27;5.003041053;5.00409911;0;0;5
2.28;5.349239743;4.955123311;0;0;5
2.29;4.816786731;5.036320043;0;0;5
2.3;4.959452379;5.010865505;0;0;5
2.31;5.279819582;4.964467376;0;0;5
2.32;4.836383313;5.031809112;0;0;5
2.33;5.041641328;4.998299343;0;0;5
2.34;5.18191613;4.978966789;0;0;5
2.35;4.808035144;5.034386787;0;0;5
2.36;5.054316848;4.994755041;0;0;5
2.37;5.2722795;4.965111794;0;0;5
2.38;4.892737344;5.023431668;0;0;5
2.39;5.040223223;4.99926597;0;0;5
2.4;5.340935637;4.957378775;0;0;5
2.41;4.845243482;5.033097949;0;0;5
2.42;4.966044002;5.011187714;0;0;5
2.43;5.309130173;4.961567494;0;0;5
2.44;4.741968731;5.046630744;0;0;5
2.45;5.113325655;4.987666438;0;0;5
2.46;5.140611346;4.985733182;0;0;5
2.47;4.980828785;5.010221086;0;0;5
2.48;4.942003578;5.014087598;0;0;5
2.49;5.325762217;4.958345402;0;0;5
2.5;0;5.016020854;0;0;0
2.51;0;4.992499576;0;0;0
2.52;0;4.549140638;0;0;0
2.53;0;4.091928714;0;0;0
2.54;0;3.884750159;0;0;0
2.55;0;3.615708586;0;0;0
2.56;0;3.318958057;0;0;0
2.57;0;3.083426934;0;0;0
2.58;0;2.822764408;0;0;0
2.59;0;2.611721578;0;0;0
2.6;0;2.415500369;0;0;0
2.61;0;2.21863503;0;0;0
2.62;0;2.046579452;0;0;0
2.63;0;1.894500528;0;0;0
2.64;0;1.733400136;0;0;0
2.65;0;1.588409922;0;0;0
2.66;0;1.453085838;0;0;0
2.67;0;1.338382652;0;0;0
2.68;0;1.232056734;0;0;0
2.69;0;1.129597273;0;0;0
2.7;0;1.019727286;0;0;0
2.71;0;0.934022298;0;0;0
2.72;0;0.851861538;0;0;0
2.73;0;0.771634006;0;0;0
2.74;0.09707183;0.694950694;0;0;0
2.75;0;0.63469954;0;0;0
2.76;0.186223375;0.576703794;0;0;0
2.77;0;0.529018416;0;0;0
2.78;0.228936082;0.48294404;0;0;0
2.79;0.027805657;0.437514071;0;0;0
2.8;0;0.393695103;0;0;0
2.81;0.176095938;0.350198342;0;0;0
2.82;0.022766697;0.318300723;0;0;0
2.83;0;0.274803978;0;0;0
2.84;0.236404924;0.240006587;0;0;0
2.85;0.168580518;0.212941954;0;0;0
2.86;0.091038603;0.19135469;0;0;0
2.87;0.064710038;0.165901052;0;0;0
2.88;0.082274476;0.138192032;0;0;0
2.89;0.090823799;0.115960378;0;0;0
2.9;0.135140291;0.092117738;0;0;0
2.91;0.150078774;0.076007848;0;0;0
2.92;0.166428477;0.062153342;0;0;0
2.93;0.181731032;0.050554223;0;0;0
2.94;0.209676624;0.038955103;0;0;0
2.95;0.243344444;0.028322578;0;0;0
2.96;0.265532357;0.02091203;0;0;0
2.97;0.256579859;0.018978844;0;0;0
2.98;0.300487118;0.009957307;0;0;0
2.99;0.287326718;0.010279505;0;0;0
3;0.308419155;0.005768737;0;0;0
3.01;0.292903489;0.007057528;0;0;0
3.02;0.299052397;0.005124342;0;0;0
3.03;0.286546058;0.006090935;0;0;0
3.04;0.307590166;0.002224562;0;0;0
3.05;0.312086199;0.001257969;0;0;0
3.06;0.317635819;0.000291376;0;0;0
3.07;0.308090477;0.001580167;0;0;0
3.08;0.315595837;0.000291376;0;0;0
3.09;0.301436624;0.002224562;0;0;0
3.1;0.308239593;0.000935772;0;0;0
3.11;0.302605731;0.001580167;0;0;0
3.12;0.335487381;-0.003252798;0;0;0
3.13;0.302121963;0.001902365;0;0;0
3.14;0.334652418;-0.002930601;0;0;0
3.15;0.314777418;0.000291376;0;0;0
3.16;0.325994495;-0.001319612;0;0;0
3.17;0.297442711;0.002868958;0;0;0
3.18;0.324305709;-0.001319612;0;0;0
3.19;0.330357957;-0.001964008;0;0;0
3.2;0.334805661;-0.002286205;0;0;0
3.21;0.325762947;-0.000675217;0;0;0
3.22;0.361102966;-0.005508182;0;0;0
3.23;0.327888981;-3.08E-05;0;0;0
3.24;0.34637806;-0.002608403;0;0;0
3.25;0.326151864;0.000613574;0;0;0
3.26;0.323176133;0.000935772;0;0;0
3.27;0.315235336;0.001902365;0;0;0
3.28;0.331617242;-0.000675217;0;0;0
3.29;0.332353228;-0.000675217;0;0;0
3.3;0.351544699;-0.003252798;0;0;0
3.31;0.318179281;0.001902365;0;0;0
3.32;0.343788929;-0.001964008;0;0;0
3.33;0.327474214;0.000613574;0;0;0
3.34;0.329112354;0.000291376;0;0;0
3.35;0.326487818;0.000613574;0;0;0
3.36;0.353502248;-0.003252798;0;0;0
3.37;0.327057637;0.000935772;0;0;0
3.38;0.330651517;0.000291376;0;0;0
3.39;0.32341311;0.001257969;0;0;0
3.4;0.340497408;-0.001319612;0;0;0
3.41;0.332708043;-3.08E-05;0;0;0
3.42;0.330434703;0.000291376;0;0;0
3.43;0.337037909;-0.000675217;0;0;0
3.44;0.337773896;-0.000675217;0;0;0
3.45;0.32928214;0.000613574;0;0;0
3.46;0.35629657;-0.003252798;0;0;0
3.47;0.346000507;-0.001319612;0;0;0
3.48;0.333597272;0.000613574;0;0;0
3.49;0.337542347;-3.08E-05;0;0;0
3.5;10;-0.002608403;0;0;8
3.51;10;0.58218117;0;0;8
3.52;10;1.102532519;0;0;8
3.53;10;1.597753732;0;0;8
3.54;10;2.036913414;0;0;8
3.55;10;2.444176358;0;0;8
3.56;10;2.88688283;0;0;8
3.57;10;3.320891283;0;0;8
3.58;10;3.700770764;0;0;8
3.59;10;4.099017256;0;0;8
3.6;10;4.426057319;0;0;8
3.61;10;4.767919987;0;0;8
3.62;10;5.106883924;0;0;8
3.63;10;5.378184808;0;0;8
3.64;10;5.663341567;0;0;8
3.65;10;5.964609846;0;0;8
3.66;10;6.252023964;0;0;8
3.67;10;6.494651204;0;0;8
3.68;9.616064048;6.704090955;0;0;8
3.69;9.501327641;6.917397835;0;0;8
3.7;9.188688795;7.125872025;0;0;8
3.71;8.611895837;7.339502255;0;0;8
3.72;8.088320433;7.513177946;0;0;8
3.73;7.823011215;7.624343484;0;0;8
3.74;7.754909098;7.691042886;0;0;8
3.75;7.812514213;7.730031453;0;0;8
3.76;8.00296075;7.744531338;0;0;8
3.77;7.997649062;7.784164373;0;0;8
3.78;7.935294642;7.825730749;0;0;8
3.79;7.843782383;7.865041607;0;0;8
3.8;7.840925713;7.885985925;0;0;8
3.81;7.792168712;7.910152453;0;0;8
3.82;7.790897303;7.924007933;0;0;8
3.83;7.804515689;7.933674548;0;0;8
3.84;7.809904555;7.943018945;0;0;8
3.85;7.828179017;7.949141136;0;0;8
3.86;7.862851283;7.952041121;0;0;8
3.87;7.875905766;7.957518872;0;0;8
3.88;7.880682398;7.963318844;0;0;8
3.89;7.955271357;7.958485534;0;0;8
3.9;7.882860022;7.974918788;0;0;8
3.91;8.044010344;7.956229989;0;0;8
3.92;7.817174715;7.994574255;0;0;8
