time;u;y;z1;z2;r
;-;-;-;-;-
0;1;1;1;1;1
0;FF0000;FF0000;FF0000;FF0000;FF0000
0;0.02898224;-0.002608403;0;0;0
0.01;0.04537229;-0.003897194;0;0;0
0.02;0.048465299;-0.003897194;0;0;0
0.03;0.047978337;-0.003574996;0;0;0
0.04;0.072295468;-0.005508182;0;0;0
0.05;0.069507095;-0.004863787;0;0;0
0.06;0.04114749;-0.001964008;0;0;0
0.07;0.085665894;-0.00583038;0;0;0
0.08;0.061653399;-0.003252798;0;0;0
0.09;0.082134846;-0.004863787;0;0;0
0.1;0.057355213;-0.002286205;0;0;0
0.11;0.069909578;-0.003252798;0;0;0
0.12;0.065331218;-0.002608403;0;0;0
0.13;0.106781075;-0.006152578;0;0;0
0.14;0.093764209;-0.004541589;0;0;0
0.15;0.129588395;-0.007441368;0;0;0
0.16;0.07463471;-0.001964008;0;0;0
0.17;0.122733086;-0.006152578;0;0;0
0.18;0.077496469;-0.00164181;0;0;0
0.19;0.114599216;-0.004863787;0;0;0
0.2;0.089819583;-0.002286205;0;0;0
0.21;0.127433755;-0.005508182;0;0;0
0.22;0.113905464;-0.003897194;0;0;0
0.23;0.131318363;-0.005185985;0;0;0
0.24;0.106794443;-0.002608403;0;0;0
0.25;0.141084355;-0.005508182;0;0;0
0.26;0.116816147;-0.002930601;0;0;0
0.27;0.122721991;-0.003252798;0;0;0
0.28;0.132463521;-0.003897194;0;0;0
0.29;0.131976558;-0.003574996;0;0;0
0.3;0.120493965;-0.002286205;0;0;0
0.31;0.16168811;-0.00583038;0;0;0
0.32;0.187795227;-0.007763566;0;0;0
0.33;0.147417144;-0.003574996;0;0;0
0.34;0.157414386;-0.004219391;0;0;0
0.35;0.153603163;-0.003574996;0;0;0
0.36;0.081261038;0.003191156;0;0;0
0.37;0.15748777;-0.003897194;0;0;0
0.38;0.160580779;-0.003897194;0;0;0
0.39;0.160093816;-0.003574996;0;0;0
0.4;0.159351141;-0.003252798;0;0;0
0.41;0.190572505;-0.00583038;0;0;0
0.42;0.166560009;-0.003252798;0;0;0
0.43;0.165561621;-0.002930601;0;0;0
0.44;0.175047438;-0.003574996;0;0;0
0.45;0.19936457;-0.005508182;0;0;0
0.46;0.185836279;-0.003897194;0;0;0
0.47;0.217569067;-0.006474775;0;0;0
0.48;0.194067996;-0.003897194;0;0;0
0.49;0.243700646;-0.008085764;0;0;0
0.5;10;-0.001964008;0;0;1
0.51;5.533021743;0.516452676;0;0;1
0.52;2.419145346;0.831240804;0;0;1
0.53;0;1.105432314;0;0;1
0.54;0.91702667;0.978485783;0;0;1
0.55;0;1.138296659;0;0;1
0.56;2.151297343;0.868938085;0;0;1
0.57;0.65147984;1.013283301;0;0;1
0.58;0.583657698;1.018438489;0;0;1
0.59;0.995042743;0.980096779;0;0;1
0.6;0.885539312;0.991373752;0;0;1
0.61;1.708622972;0.917912342;0;0;1
0.62;0.542255619;1.028748866;0;0;1
0.63;2.345233256;0.864427299;0;0;1
0.64;0.587656506;1.032293058;0;0;1
0.65;2.477321003;0.859916513;0;0;1
0.66;0.218545609;1.073212374;0;0;1
0.67;0;1.111554103;0;0;1
0.68;2.56261311;0.857016722;0;0;1
0.69;0.495878687;1.053236014;0;0;1
0.7;0.510907744;1.048080825;0;0;1
0.71;2.137443312;0.898258198;0;0;1
0.72;1.018894517;1.006194917;0;0;1
0.73;2.503253117;0.872160076;0;0;1
0.74;0.005641002;1.106076713;0;0;1
0.75;3.132703215;0.81706405;0;0;1
0.76;2.830392096;0.857338921;0;0;1
0.77;0;1.296496677;0;0;1
0.78;0;1.218846548;0;0;1
0.79;2.209717422;0.923389727;0;0;1
0.8;0;1.184693391;0;0;1
0.81;0;1.147640444;0;0;1
0.82;2.979356568;0.859594314;0;0;1
0.83;0;1.156339831;0;0;1
0.84;1.297215291;1.021016083;0;0;1
0.85;1.839014234;0.970753003;0;0;1
0.86;1.368187574;1.015216496;0;0;1
0.87;1.749909846;0.97977458;0;0;1
0.88;0.584564967;1.086100349;0;0;1
0.89;2.302646264;0.925322922;0;0;1
0.9;0;1.206602963;0;0;1
0.91;0;1.160206225;0;0;1
0.92;3.468129644;0.825763422;0;0;1
0.93;0;1.184371191;0;0;1
0.94;0;1.164072619;0;0;1
0.95;4.300929651;0.763256836;0;0;1
0.96;2.838447172;0.91179056;0;0;1
0.97;1.247339563;1.061290998;0;0;1
0.98;0.633057302;1.112198502;0;0;1
0.99;1.524928427;1.023915877;0;0;1
1;0;1.134108065;0;0;0
1.01;0;0.937888688;0;0;0
1.02;0;0.93724429;0;0;0
1.03;0;0.873448872;0;0;0
1.04;0;0.749724485;0;0;0
1.05;0;0.712349426;0;0;0
1.06;0;0.646298691;0;0;0
1.07;0;0.582825567;0;0;0
1.08;0;0.528696217;0;0;0
1.09;0;0.475855675;0;0;0
1.1;0;0.42430394;0;0;0
1.11;0;0.37404101;0;0;0
1.12;0;0.335055028;0;0;0
1.13;0;0.290913882;0;0;0
1.14;0;0.25611649;0;0;0
1.15;0;0.2216413;0;0;0
1.16;0;0.19135469;0;0;0
1.17;0.017830315;0.157846104;0;0;0
1.18;0.157473828;0.134003459;0;0;0
1.19;0.262340428;0.114993785;0;0;0
1.2;0.267734878;0.106294443;0;0;0
1.21;0.333733172;0.092762134;0;0;0
1.22;0.252952533;0.09340653;0;0;0
1.23;0.318439396;0.080840815;0;0;0
1.24;0.17194067;0.088251364;0;0;0
1.25;0.334598241;0.067308507;0;0;0
1.26;0.163039706;0.077941034;0;0;0
1.27;0.330300092;0.057320376;0;0;0
1.28;0.173828595;0.067308507;0;0;0
1.29;0.342367535;0.047332245;0;0;0
1.3;0.18666318;0.057964771;0;0;0
1.31;0.330398014;0.04088829;0;0;0
1.32;0.169067991;0.052487409;0;0;0
1.33;0.349369689;0.032511148;0;0;0
1.34;0.223327977;0.041532685;0;0;0
1.35;0.258385052;0.035410928;0;0;0
1.36;0.258920958;0.032833346;0;0;0
1.37;0.311622183;0.025744996;0;0;0
1.38;0.183790489;0.035410928;0;0;0
1.39;0.309625446;0.021556425;0;0;0
1.4;0.253137499;0.0251006;0;0;0
1.41;0.279756064;0.02091203;0;0;0
1.42;0.245259379;0.022523019;0;0;0
1.43;0.295403479;0.016401262;0;0;0
1.44;0.257326822;0.018656646;0;0;0
1.45;0.281899688;0.015112471;0;0;0
1.46;0.262745745;0.015756866;0;0;0
1.47;0.300359939;0.011246098;0;0;0
1.48;0.277114599;0.012534889;0;0;0
1.49;0.220626654;0.016723459;0;0;0
1.5;10;0.005768737;0;0;5
1.51;10;0.471667096;0;0;5
1.52;10;0.924678524;0;0;5
1.53;10;1.48949445;0;0;5
1.54;10;1.996960464;0;0;5
1.55;10;2.501206151;0;0;5
1.56;10;2.949390266;0;0;5
1.57;10;3.30639209;0;0;5
1.58;10;3.73524674;0;0;5
1.59;10;4.062285724;0;0;5
1.6;6.397992693;4.4595669;0;0;5
1.61;3.909137134;4.722166388;0;0;5
1.62;2.557978782;4.863615963;0;0;5
1.63;5.075622076;4.646769657;0;0;5
1.64;5.717552334;4.61422664;0;0;5
1.65;2.579672264;4.92419124;0;0;5
1.66;6.875086127;4.543018689;0;0;5
1.67;6.944202519;4.569439733;0;0;5
1.68;3.548301154;4.905825328;0;0;5
1.69;2.59555438;4.998299343;0;0;5
1.7;6.24860102;4.669646437;0;0;5
1.71;6.310301217;4.687690098;0;0;5
1.72;3.715571116;4.943523783;0;0;5
1.73;4.361849904;4.889392672;0;0;5
1.74;5.047509453;4.835583799;0;0;5
1.75;5.951298672;4.765986736;0;0;5
1.76;5.37446337;4.834617173;0;0;5
1.77;4.800440526;4.898092313;0;0;5
1.78;5.353892306;4.855560742;0;0;5
1.79;4.952992623;4.90195882;0;0;5
1.8;4.887599091;4.914847179;0;0;5
1.81;5.098384524;4.90195882;0;0;5
1.82;5.015090502;4.916458224;0;0;5
1.83;4.948929786;4.928379957;0;0;5
1.84;5.396001674;4.893259179;0;0;5
1.85;4.94370182;4.941590529;0;0;5
1.86;4.943517185;4.945779247;0;0;5
1.87;5.022350449;4.942557156;0;0;5
1.88;4.838813582;4.963178539;0;0;5
1.89;5.190245824;4.93417972;0;0;5
1.9;5.059899023;4.950612383;0;0;5
1.91;4.834168101;4.97445586;0;0;5
1.92;5.158749634;4.947068083;0;0;5
1.93;5.36544357;4.932246466;0;0;5
1.94;4.871460926;4.981544462;0;0;5
1.95;5.176096211;4.95544552;0;0;5
1.96;4.996650859;4.974778069;0;0;5
1.97;4.780381572;4.996043878;0;0;5
1.98;5.238194017;4.955123311;0;0;5
1.99;5.008882985;4.978966789;0;0;5
2;4.857311227;4.994110622;0;0;5
2.01;5.388259977;4.946745874;0;0;5
2.02;5.237199722;4.964145167;0;0;5
2.03;4.753701497;5.010221086;0;0;5
2.04;5.22890306;4.96672284;0;0;5
2.05;4.915203909;4.997332715;0;0;5
2.06;4.863619236;5.002165854;0;0;5
2.07;5.219910308;4.969944932;0;0;5
2.08;4.946615144;4.996688296;0;0;5
2.09;4.934923027;4.997977133;0;0;5
2.1;5.34107976;4.961567494;0;0;5
2.11;5.060112977;4.989599693;0;0;5
2.12;4.628014669;5.029231437;0;0;5
2.13;5.549961621;4.944168201;0;0;5
2.14;4.692087188;5.025364924;0;0;5
2.15;5.430937606;4.957056566;0;0;5
2.16;5.149970838;4.985410973;0;0;5
2.17;4.445529045;5.049852838;0;0;5
2.18;5.906025332;4.914847179;0;0;5
2.19;3.94368945;5.097539846;0;0;5
2.2;6.938002283;4.821084407;0;0;5
2.21;6.184974678;4.901636611;0;0;5
2.22;2.854782677;5.208380008;0;0;5
2.23;6.666895194;4.850405402;0;0;5
2.24;5.987259361;4.922257986;0;0;5
2.25;2.211087252;5.267666659;0;0;5
2.26;3.724265502;5.112361488;0;0;5
2.27;6.001536634;4.899381149;0;0;5
2.28;5.476356166;4.953834474;0;0;5
2.29;6.862692044;4.832361711;0;0;5
2.3;4.861999539;5.024398296;0;0;5
2.31;4.771033735;5.030842484;0;0;5
2.32;4.904080022;5.016665272;0;0;5
2.33;4.389639233;5.061774588;0;0;5
2.34;5.196256107;4.984766555;0;0;5
2.35;5.025760955;5.001199226;0;0;5
2.36;4.165584551;5.078529482;0;0;5
2.37;6.616489593;4.852338654;0;0;5
2.38;4.778947067;5.028264809;0;0;5
2.39;3.775566239;5.116550213;0;0;5
2.4;5.34423365;4.967045049;0;0;5
2.41;5.595934587;4.946745874;0;0;5
2.42;4.306402035;5.06660773;0;0;5
2.43;6.365797736;4.876504316;0;0;5
2.44;5.518664207;4.961567494;0;0;5
2.45;4.120705456;5.090129026;0;0;5
2.46;4.149417387;5.081107158;0;0;5
2.47;6.104223394;4.899381149;0;0;5
2.48;3.062230178;5.180347746;0;0;5
2.49;3.570676459;5.121705568;0;0;5
2.5;0;4.75438723;0;0;0
2.51;0;4.529163754;0;0;0
2.52;0;4.359360398;0;0;0
2.53;0;3.987856079;0;0;0
2.54;0;3.693037836;0;0;0
2.55;0;3.450417484;0;0;0
2.56;0;3.169777554;0;0;0
2.57;0;2.946490436;0;0;0
2.58;0;2.700327306;0;0;0
2.59;0;2.499595139;0;0;0
2.6;0;2.316262161;0;0;0
2.61;0;2.122618971;0;0;0
2.62;0;1.953785514;0;0;0
2.63;0;1.806861894;0;0;0
2.64;0;1.66606022;0;0;0
2.65;0;1.516881464;0;0;0
2.66;0;1.381879638;0;0;0
2.67;0;1.268787498;0;0;0
2.68;0;1.175349603;0;0;0
2.69;0;1.069668181;0;0;0
2.7;0;0.979130182;0;0;0
2.71;0;0.886336833;0;0;0
2.72;0;0.809331276;0;0;0
2.73;0;0.733292346;0;0;0
2.74;0;0.684318136;0;0;0
2.75;0;0.605057268;0;0;0
2.76;0;0.544483943;0;0;0
2.77;0;0.48294404;0;0;0
2.78;0;0.434936484;0;0;0
2.79;0.530713394;0.386606741;0;0;0
2.8;0.435101591;0.367597046;0;0;0
2.81;0.304457133;0.353098126;0;0;0
2.82;0.224699494;0.335055028;0;0;0
2.83;0.248761187;0.308956977;0;0;0
2.84;0.221936037;0.289302892;0;0;0
2.85;0.271568945;0.264171441;0;0;0
2.86;0.258807956;0.246450548;0;0;0
2.87;0.306650834;0.224541082;0;0;0
2.88;0.271642828;0.211653162;0;0;0
2.89;0.289823024;0.194898867;0;0;0
2.9;0.271180607;0.182655345;0;0;0
2.91;0.301634986;0.166867646;0;0;0
2.92;0.219320146;0.162356875;0;0;0
2.93;0.240824577;0.148824562;0;0;0
2.94;0.298128746;0.133036866;0;0;0
2.95;0.292783355;0.124015325;0;0;0
2.96;0.233738348;0.120471148;0;0;0
2.97;0.27416548;0.10822763;0;0;0
2.98;0.23481033;0.104039058;0;0;0
2.99;0.273958893;0.093084332;0;0;0
3;0.286001937;0.085351584;0;0;0
3.01;0.289862182;0.078907628;0;0;0
3.02;0.230817175;0.07858543;0;0;0
3.03;0.275847114;0.068919496;0;0;0
3.04;0.285588741;0.063119936;0;0;0
3.05;0.310673109;0.056353782;0;0;0
3.06;0.265947997;0.056353782;0;0;0
3.07;0.292822351;0.049909827;0;0;0
3.08;0.213831781;0.053454002;0;0;0
3.09;0.321766953;0.039921697;0;0;0
3.1;0.222063683;0.046043454;0;0;0
3.11;0.325140317;0.033477742;0;0;0
3.12;0.262771054;0.036699719;0;0;0
3.13;0.308823829;0.029933566;0;0;0
3.14;0.288647104;0.029611369;0;0;0
3.15;0.308105793;0.025744996;0;0;0
3.16;0.359272812;0.019301041;0;0;0
3.17;0.243715383;0.028322578;0;0;0
3.18;0.26419692;0.024456205;0;0;0
3.19;0.377246323;0.012534889;0;0;0
3.2;0.277798773;0.020589832;0;0;0
3.21;0.275777623;0.019301041;0;0;0
3.22;0.346378776;0.011568296;0;0;0
3.23;0.294238009;0.015434669;0;0;0
3.24;0.242608664;0.018978844;0;0;0
3.25;0.363585144;0.00673533;0;0;0
3.26;0.304540144;0.011568296;0;0;0
3.27;0.288199102;0.012212691;0;0;0
3.28;0.321466251;0.008346319;0;0;0
3.29;0.300522386;0.00963511;0;0;0
3.3;0.296455535;0.009312912;0;0;0
3.31;0.346343984;0.004157749;0;0;0
3.32;0.300084598;0.008024121;0;0;0
3.33;0.322356115;0.00544654;0;0;0
3.34;0.307293633;0.006413133;0;0;0
3.35;0.338003656;0.003191156;0;0;0
3.36;0.321151186;0.004479946;0;0;0
3.37;0.382035262;-0.001319612;0;0;0
3.38;0.218403917;0.013501482;0;0;0
3.39;0.368787306;-0.000997415;0;0;0
3.4;0.308719453;0.004479946;0;0;0
3.41;0.308743995;0.004157749;0;0;0
3.42;0.323344139;0.00254676;0;0;0
3.43;0.332062899;0.001580167;0;0;0
3.44;0.352288713;-0.000353019;0;0;0
3.45;0.338249076;0.000935772;0;0;0
3.46;0.344666425;0.000291376;0;0;0
3.47;0.344435252;0.000291376;0;0;0
3.48;0.326304217;0.001902365;0;0;0
3.49;0.324794482;0.001902365;0;0;0
3.5;10;0.000613574;0;0;8
3.51;10;0.539650965;0;0;8
3.52;10;1.068379383;0;0;8
3.53;10;1.521714467;0;0;8
3.54;10;1.999538074;0;0;8
3.55;10;2.479296397;0;0;8
3.56;10;2.941012979;0;0;8
3.57;10;3.328301982;0;0;8
3.58;10;3.715592211;0;0;8
3.59;10;4.081295902;0;0;8
3.6;10;4.457311447;0;0;8
3.61;10;4.756964898;0;0;8
3.62;10;5.111072649;0;0;8
3.63;10;5.41717229;0;0;8
3.64;10;5.670430221;0;0;8
3.65;10;5.949143643;0;0;8
3.66;10;6.246224118;0;0;8
3.67;10;6.512373009;0;0;8
3.68;10;6.747267831;0;0;8
3.69;10;6.956063795;0;0;8
3.7;9.66316689;7.161315914;0;0;8
3.71;8.155610943;7.356902028;0;0;8
3.72;6.557266203;7.546688699;0;0;8
3.73;6.090008459;7.621121292;0;0;8
3.74;7.117488151;7.555710828;0;0;8
3.75;7.337630641;7.567632928;0;0;8
3.76;6.868071117;7.640776665;0;0;8
3.77;8.391921224;7.529288883;0;0;8
3.78;7.566131088;7.637232253;0;0;8
3.79;8.047373185;7.619832416;0;0;8
3.8;8.119959713;7.640454445;0;0;8
3.81;7.861120688;7.689431789;0;0;8
3.82;7.781803606;7.718753766;0;0;8
3.83;7.700696297;7.746142437;0;0;8
3.84;7.755381439;7.759353446;0;0;8
3.85;7.710076167;7.780619954;0;0;8
3.86;7.68369485;7.798664269;0;0;8
3.87;7.707436573;7.810908628;0;0;8
3.88;7.778744062;7.817997468;0;0;8
3.89;7.765660619;7.832175151;0;0;8
3.9;7.744905243;7.846030616;0;0;8
3.91;7.874263443;7.845386175;0;0;8
3.92;7.764258203;7.866330488;0;0;8
3.93;7.999232971;7.85473056;0;0;8
3.94;7.914033537;7.872774893;0;0;8
3.95;8.18327616;7.857630542;0;0;8
3.96;7.970467318;7.886952586;0;0;8
3.97;8.038705991;7.888885908;0;0;8
3.98;7.847634105;7.914019099;0;0;8
