time;u;y;z1;z2
0;0;-0.00550818222624275;0;0
0.01;0;-0.00357499607411654;0;0
0.02;0;-0.00228620529732876;0;0
0.03;0;-0.00518598453530937;0;0
0.04;0;-0.00293060068659323;0;0
0.05;0;-0.00260840299217866;0;0
0.06;0;-0.00454158915213755;0;0
0.07;0;-0.00518598453530937;0;0
0.08;0;-0.00454158915213755;0;0
0.09;0;-0.00518598453530937;0;0
0.1;0;-0.00196400760204349;0;0
0.11;0;-0.00260840299217866;0;0
0.12;0;-0.00293060068659323;0;0
0.13;0;-0.00583037991674116;0;0
0.14;0;-0.00454158915213755;0;0
0.15;0;-0.00518598453530937;0;0
0.16;0;-0.00293060068659323;0;0
0.17;0;-0.00260840299217866;0;0
0.18;0;-0.00679697298562698;0;0
0.19;0;-0.00711917067438591;0;0
0.2;0;-0.00486378684394098;0;0
0.21;0;-0.00357499607411654;0;0
0.22;0;-0.00260840299217866;0;0
0.23;0;-0.00389719376722537;0;0
0.24;0;-0.00454158915213755;0;0
0.25;0;-0.00357499607411654;0;0
0.26;0;-0.00454158915213755;0;0
0.27;0;-0.00583037991674116;0;0
0.28;0;-0.00486378684394098;0;0
0.29;0;-0.00518598453530937;0;0
0.3;0;-0.00196400760204349;0;0
0.31;0;-0.00228620529732876;0;0
0.32;0;-0.00260840299217866;0;0
0.33;0;-0.00454158915213755;0;0
0.34;0;-0.00357499607411654;0;0
0.35;0;-0.00325279838057251;0;0
0.36;0;-0.00486378684394098;0;0
0.37;0;-0.00293060068659323;0;0
0.38;0;-0.00421939145989902;0;0
0.39;0;-0.00518598453530937;0;0
0.4;0;-0.00293060068659323;0;0
0.41;0;-0.00518598453530937;0;0
0.42;0;-0.00454158915213755;0;0
0.43;0;-0.00325279838057251;0;0
0.44;0;-0.00293060068659323;0;0
0.45;0;-0.00518598453530937;0;0
0.46;0;-0.00518598453530937;0;0
0.47;0;-0.00260840299217866;0;0
0.48;0;-0.00325279838057251;0;0
0.49;0;-0.00357499607411654;0;0
0.5;0;-0.00228620529732876;0;0
0.51;0;-0.00905235679781076;0;0
0.52;0;-0.00486378684394098;0;0
0.53;0;-0.00518598453530937;0;0
0.54;0;0.000291376277147057;0;0
0.55;0;-0.00518598453530937;0;0
0.56;0;-0.00421939145989902;0;0
0.57;0;-0.00518598453530937;0;0
0.58;0;-0.00518598453530937;0;0
0.59;0;-0.00550818222624275;0;0
0.6;0;-0.00454158915213755;0;0
0.61;0;-0.00454158915213755;0;0
0.62;0;-0.00486378684394098;0;0
0.63;0;-0.00486378684394098;0;0
0.64;0;-0.00421939145989902;0;0
0.65;0;-0.00550818222624275;0;0
0.66;0;-0.00454158915213755;0;0
0.67;0;-0.00293060068659323;0;0
0.68;0;-0.00486378684394098;0;0
0.69;0;-0.00421939145989902;0;0
0.7;0;-0.00293060068659323;0;0
0.71;0;-0.00228620529732876;0;0
0.72;0;-0.00454158915213755;0;0
0.73;0;-0.00389719376722537;0;0
0.74;0;-0.00454158915213755;0;0
0.75;0;-0.00486378684394098;0;0
0.76;0;-0.00228620529732876;0;0
0.77;0;-0.00260840299217866;0;0
0.78;0;-0.00486378684394098;0;0
0.79;0;-0.00454158915213755;0;0
0.8;0;-0.00228620529732876;0;0
0.81;0;-0.00293060068659323;0;0
0.82;0;-0.00518598453530937;0;0
0.83;0;-0.00357499607411654;0;0
0.84;0;-0.00293060068659323;0;0
0.85;0;-0.00550818222624275;0;0
0.86;0;-0.00389719376722537;0;0
0.87;0;-0.00325279838057251;0;0
0.88;0;-0.000997414513575076;0;0
0.89;0;-0.00325279838057251;0;0
0.9;0;-0.00486378684394098;0;0
0.91;0;-0.00454158915213755;0;0
0.92;0;-0.00228620529732876;0;0
0.93;0;-0.00486378684394098;0;0
0.94;0;-0.00454158915213755;0;0
0.95;0;-0.00325279838057251;0;0
0.96;0;-0.00293060068659323;0;0
0.97;0;-0.00486378684394098;0;0
0.98;0;-0.00486378684394098;0;0
0.99;0;-0.00550818222624275;0;0
1;10;-0.00808576373805426;0;0
1.01;10;0.468122914235341;0;0
1.02;10;0.889236624641569;0;0
1.03;10;1.46275184069078;0;0
1.04;10;1.94476388445902;0;0
1.05;10;2.44514296440361;0;0
1.06;10;2.92264739030982;0;0
1.07;10;3.29447053224761;0;0
1.08;10;3.70850369251344;0;0
1.09;10;4.03232053653035;0;0
1.1;10;4.41993537790925;0;0
1.11;10;4.71926651265161;0;0
1.12;10;5.0598413311097;0;0
1.13;10;5.38978438756258;0;0
1.14;10;5.64980868390728;0;0
1.15;10;5.90435610934301;0;0
1.16;10;6.18532575999495;0;0
1.17;10;6.46081867889777;0;0
1.18;10;6.70634646243271;0;0
1.19;10;6.93189756766552;0;0
1.2;10;7.14230509905301;0;0
1.21;10;7.35045766751196;0;0
1.22;10;7.54314429199722;0;0
1.23;10;7.74034248218885;0;0
1.24;10;7.92368571257493;0;0
1.25;10;8.11218494306732;0;0
1.26;10;8.27136245484201;0;0
1.27;10;8.41926252713168;0;0
1.28;10;8.53816281106129;0;0
1.29;10;8.66898558082126;0;0
1.3;10;8.78756406991197;0;0
1.31;10;8.95640988409415;0;0
1.32;10;9.12106718417603;0;0
1.33;10;9.18486796978964;0;0
1.34;10;9.22901299392228;0;0
1.35;10;9.30119178343061;0;0
1.36;10;9.43523831863065;0;0
1.37;10;9.51805086003152;0;0
1.38;10;9.47293895658595;0;0
1.39;10;9.56219611048584;0;0
1.4;10;9.69044306943222;0;0
1.41;10;9.68722078086642;0;0
1.42;10;9.71428800990943;0;0
1.43;10;9.77970052791404;0;0
1.44;10;9.84994655884439;0;0
1.45;10;9.8541355448237;0;0
1.46;10;9.88216953512929;0;0
1.47;10;9.94854891866303;0;0
1.48;10;9.9591825158015;0;0
1.49;10;9.97046057536025;0;0
1.5;10;10.0316843630264;0;0
1.51;10;10.0371622838208;0;0
1.52;10;10.0471514347547;0;0
1.53;10;10.0990305994867;0;0
1.54;10;10.0987083685151;0;0
1.55;10;10.1180422298043;0;0
1.56;10;10.1544543517576;0;0
1.57;10;10.1512320392085;0;0
1.58;10;10.1815217838637;0;0
1.59;10;10.1876441808814;0;0
1.6;10;10.1976333562796;0;0
1.61;10;10.2356566840389;0;0
1.62;10;10.2085892279495;0;0
1.63;10;10.2466125625406;0;0
1.64;10;10.2804469056634;0;0
1.65;10;10.2208340280255;0;0
1.66;10;10.3017142167019;0;0
1.67;10;10.3071921616621;0;0
1.68;10;10.2375900742195;0;0
1.69;10;10.3345818938947;0;0
1.7;10;10.3165368924431;0;0
1.71;10;10.2630463839912;0;0
1.72;10;10.357460385619;0;0
1.73;10;10.3123478750182;0;0
1.74;10;10.30848108996;0;0
1.75;10;10.3545602946393;0;0
1.76;10;10.3281372499014;0;0
1.77;10;10.3561714562775;0;0
1.78;10;10.3365152872265;0;0
1.79;10;10.350371274581;0;0
1.8;10;10.3780832588271;0;0
1.81;10;10.317181356688;0;0
1.82;10;10.3877502330711;0;0
1.83;10;10.367771821342;0;0
1.84;10;10.3381264483836;0;0
1.85;10;10.4219068878291;0;0
1.86;10;10.3519824361075;0;0
1.87;10;10.3500490422809;0;0
1.88;10;10.4380185241668;0;0
1.89;10;10.3432821643749;0;0
1.9;10;10.3774387939326;0;0
1.91;10;10.4302849381853;0;0
1.92;10;10.3597160120329;0;0
1.93;10;10.3948393485023;0;0
1.94;10;10.4096620471013;0;0
1.95;10;10.3993506042113;0;0
1.96;10;10.3987061390893;0;0
1.97;10;10.3706719129565;0;0
1.98;10;10.4444631799123;0;0
1.99;10;10.3761498641644;0;0
2;10;10.3709941453667;0;0
2.01;10;10.4560635619987;0;0
2.02;10;10.3658384270097;0;0
2.03;10;10.3867835355769;0;0
2.04;10;10.4441409471086;0;0
2.05;10;10.3787277237285;0;0
2.06;10;10.4103065123406;0;0
2.07;10;10.4164289324584;0;0
2.08;10;10.4219068878291;0;0
2.09;10;10.4045063254354;0;0
2.1;10;10.3893613955958;0;0
2.11;10;10.4567080277359;0;0
2.12;10;10.3829167457553;0;0
2.13;10;10.3825945132813;0;0
2.14;10;10.4637971513031;0;0
2.15;10;10.3726053074436;0;0
2.16;10;10.3999950693401;0;0
2.17;10;10.4447854127177;0;0
2.18;10;10.392261488249;0;0
2.19;10;10.4173956304287;0;0
2.2;10;10.420295724433;0;0
2.21;10;10.4367295931007;0;0
2.22;10;10.403217395088;0;0
2.23;10;10.4022506973455;0;0
2.24;10;10.4715307416056;0;0
2.25;10;10.3832389782309;0;0
2.26;10;10.3900058606178;0;0
2.27;10;10.4644416171235;0;0
2.28;10;10.3813055834028;0;0
2.29;10;10.4132066060029;0;0
2.3;10;10.442852015911;0;0
2.31;10;10.3996728367748;0;0
2.32;10;10.4231958185771;0;0
2.33;10;10.3967727437648;0;0
2.34;10;10.4454298783338;0;0
2.35;10;10.4077286514248;0;0
2.36;10;10.3690607509312;0;0
2.37;10;10.4718529745565;0;0
2.38;10;10.380338886012;0;0
2.39;10;10.3967727437648;0;0
2.4;10;10.4644416171235;0;0
2.41;10;10.3829167457553;0;0
2.42;10;10.4264181455681;0;0
2.43;10;10.4357628948193;0;0
2.44;10;10.4125621407326;0;0
2.45;10;10.4209401897862;0;0
2.46;10;10.397417208866;0;0
2.47;10;10.4583191921094;0;0
2.48;10;10.3999950693401;0;0
2.49;10;10.3748609344236;0;0
2.5;10;10.4773309349878;0;0
2.51;10;10.3780832588271;0;0
2.52;10;10.4128843733669;0;0
2.53;10;10.4618637538834;0;0
2.54;10;10.3871057680732;0;0
2.55;10;10.4241625166562;0;0
2.56;10;10.4280293091284;0;0
2.57;10;10.4280293091284;0;0
2.58;10;10.420295724433;0;0
2.59;10;10.3951615810418;0;0
2.6;10;10.4676639463295;0;0
2.61;10;10.392905953302;0;0
2.62;10;10.3838834431874;0;0
2.63;10;10.4715307416056;0;0
2.64;10;10.3842056756682;0;0
2.65;10;10.4144955365644;0;0
2.66;10;10.4538079319728;0;0
2.67;10;10.3987061390893;0;0
2.68;10;10.4267403782767;0;0
2.69;10;10.419329026416;0;0
2.7;10;10.4454298783338;0;0
2.71;10;10.4170733977702;0;0
2.72;10;10.3716386101923;0;0
2.73;10;10.4770087020074;0;0
2.74;10;10.3858168380982;0;0
2.75;10;10.3970949763145;0;0
2.76;10;10.4715307416056;0;0
2.77;10;10.3848501406351;0;0
2.78;10;10.417717863089;0;0
2.79;10;10.4447854127177;0;0
2.8;10;10.4190067937471;0;0
2.81;10;10.4228735858875;0;0
2.82;10;10.4199734917589;0;0
2.83;10;10.460897055197;0;0
2.84;10;10.4057952558105;0;0
2.85;10;10.4045063254354;0;0
2.86;10;10.4811977308882;0;0
2.87;10;10.3832389782309;0;0
2.88;10;10.419329026416;0;0
2.89;10;10.4679861792597;0;0
2.9;10;10.3893613955958;0;0
2.91;10;10.4367295931007;0;0
2.92;10;10.4157844671535;0;0
2.93;10;10.436085127578;0;0
2.94;10;10.4180400957509;0;0
2.95;10;10.420295724433;0;0
2.96;10;10.4763642360518;0;0
2.97;10;10.4057952558105;0;0
2.98;10;10.3787277237285;0;0
2.99;10;10.4750753041613;0;0
3;10;10.3819500483386;0;0
3.01;10;10.4119176754691;0;0
3.02;10;10.4560635619987;0;0
3.03;10;10.3999950693401;0;0
