StepGain;Disturbance;yAverage
0;0;-0.00382752939663474
0;1;-0.00390676398513245
0;2;-0.00386848307419055
1;0;0.68604233449065
1;1;0.558054560906352
1;2;0.476969014435781
2;0;1.67286416625229
2;1;1.35816444861454
2;2;1.15893337739538
3;0;2.70384250970704
3;1;2.2001961650936
3;2;1.8761893069481
4;0;3.77602460513986
4;1;3.08818980715501
4;2;2.63499991647046
5;0;4.85570007740977
5;1;3.9851029720128
5;2;3.3885095453639
6;0;5.9504470095257
6;1;4.94054095991629
6;2;4.23349547538418
7;0;7.06799779635817
7;1;5.91056428354786
7;2;5.07472996329463
8;0;8.17510812726723
8;1;6.86151407374243
8;2;5.88851985221726
9;0;9.29144950744408
9;1;7.94633686382789
9;2;6.87219824742242
10;0;10.4246908701329
10;1;9.00191704381086
10;2;7.81694786501805
