StepGain;yAverageD0;yAverageD1;yAverageD2
0;-0.00382752939663474;-0.00390676398513245;-0.00386848307419055
1;0.68604233449065;0.558054560906352;0.476969014435781
2;1.67286416625229;1.35816444861454;1.15893337739538
3;2.70384250970704;2.2001961650936;1.8761893069481
4;3.77602460513986;3.08818980715501;2.63499991647046
5;4.85570007740977;3.9851029720128;3.3885095453639
6;5.9504470095257;4.94054095991629;4.23349547538418
7;7.06799779635817;5.91056428354786;5.07472996329463
8;8.17510812726723;6.86151407374243;5.88851985221726
9;9.29144950744408;7.94633686382789;6.87219824742242
10;10.4246908701329;9.00191704381086;7.81694786501805
